,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
12,25-02-2020 10:26:47,Tbilisi,BB6E,WEEDSH0P,1 gr сжатая марихуана EUPHORIA шишки low thc.,True,7,нет,Тбилиси,1 гр,0.0035,2251,858,78,35,,,,,,,,,1 gr szhataja marihuana EUPHORIA shishki low thc.
13,25-02-2020 10:26:47,Tbilisi,SF03,CRAZYFROG,"1 mdma very strong best quality , import califronia , лучши мдма на саите",True,8,нет,Тбилиси,1 гр,0.0101,6430,2451,222,100,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
14,25-02-2020 10:26:47,Tbilisi,SF03,CRAZYFROG,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,2,нет,Тбилиси,1 гр,0.0086,5466,2083,189,85,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
15,25-02-2020 10:26:47,Tbilisi,ABOAB,ProGrow,1G -- AK-47 -> Sativa,True,6,нет,Тбилиси,1 гр,0.0037,2379,907,82,37,,,,,,,,,1G -- AK-47 -> Sativa
16,25-02-2020 10:26:47,Tbilisi,SF03,CRAZYFROG,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,3,нет,Тбилиси,1 гр,0.0093,5901,2255,205,,85,,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
17,25-02-2020 10:26:47,Tbilisi,03F3,geoshop,1gr bubble hash thc 25% гашиш вишего качество HQ,True,9,нет,Тбилиси,1 гр,0.0086,5466,2083,189,85,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
18,25-02-2020 10:26:47,Tbilisi,0WE,Khachapuri,1gr mdma (скидка в биткоин 5%),True,4,нет,Тбилиси,1 гр,0.0094,6248,2388,217,,90,,,,,,,,1gr mdma (skidka v bitkoin 5%)
19,25-02-2020 10:26:47,Tbilisi,SF03,CRAZYFROG,"1gr mexica sativa марихуана шишки ,Оплата BITCOIN -10% Скидка.",True,4,нет,Тбилиси,1 гр,0.0035,2251,858,78,35,,,,,,,,,"1gr mexica sativa marihuana shishki ,Oplata BITCOIN -10% Skidka."
20,25-02-2020 10:26:47,Tbilisi,X4ZM,ZYX,Afghan HQ buds ! NEW ! 1G,True,6,нет,Тбилиси,1 гр,0.0048,3022,1152,105,47,,,,,,,,,Afghan HQ buds ! NEW ! 1G
21,25-02-2020 10:26:47,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0175,12217,4657,423,190,,,,,,,,,Cocaine Pure VHQ 1g
22,25-02-2020 10:26:47,Tbilisi,YOI,Hashland,HASH Mexicana 1 g SALE -10% for bitcoin.,True,2,нет,Тбилиси,1 гр,0.0065,4512,1724,156,,65,,,,,,,,HASH Mexicana 1 g SALE -10% for bitcoin.
23,25-02-2020 10:26:47,Tbilisi,5JG6,BenderMan,Ketamine 1g,True,1,нет,Тбилиси,1 гр,0.0102,6430,2451,222,100,,,,,,,,,Ketamine 1g
24,25-02-2020 10:26:47,Tbilisi,LYHBG,Playboy,Ketamine 1g.,True,1,нет,Тбилиси,1 гр,0.0091,5723,2181,198,89,,,,,,,,,Ketamine 1g.
25,25-02-2020 10:26:47,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 1piece",True,2,нет,Тбилиси,1 гр,0.0041,2572,980,89,40,,,,,,,,,"LSD - 250 ug, 1piece"
26,25-02-2020 10:26:47,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.0193,12796,4877,443,199,,,,,,,,,VHQ BEST Cocaine 1g.
27,25-02-2020 10:26:47,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,3,нет,Тбилиси,1 гр,0.0414,28935,11030,1001,450,,,,,,,,,Metadon 1gr
28,25-02-2020 10:26:47,Tbilisi,EYO96,ROCKSHOP,"Метадон, 1gr",True,3,нет,Тбилиси,1 гр,0.0405,25720,9804,890,400,,,,,,,,,"Metadon, 1gr"
29,25-02-2020 10:26:47,Tbilisi,0WE,Khachapuri,🍃 1гр ГАШИШ 🍃,True,1,нет,Тбилиси,1 гр,0.0063,4180,1593,145,65,,,,,,,,,🍃 1gr GAShISh 🍃
30,25-02-2020 10:26:47,Tbilisi,X4ZM,ZYX,MDMA 0.8g + ketamine 0.3g ! VHQ ! SALE ! -5% with btc,True,1,нет,Тбилиси,1.1 гр,0.0097,6430,2451,222,100,,,,,,,,,MDMA 0.8g + ketamine 0.3g ! VHQ ! SALE ! -5% with btc
31,25-02-2020 10:26:47,Tbilisi,JVZTQ,partyshop,2 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,1,нет,Тбилиси,2 гр,0.0238,15111,5760,523,235,,,,,,,,,2 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
32,25-02-2020 10:27:45,Tbilisi,0WE,Khachapuri,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,2,нет,Тбилиси,2 гр,0.0073,4859,1857,168,,70,,,,,,,,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
33,25-02-2020 10:27:45,Tbilisi,ABOAB,ProGrow,2G -- AK-47 -> Sativa,True,12,нет,Тбилиси,2 гр,0.0064,4180,1593,145,65,,True,,,,,,,2G -- AK-47 -> Sativa
34,25-02-2020 10:27:45,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,2 гр,0.0081,5080,1936,176,79,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
35,25-02-2020 10:27:45,Tbilisi,LYHBG,Playboy,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,2 гр,0.0368,23148,8824,801,360,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
36,25-02-2020 10:27:45,Tbilisi,5JG6,BenderMan,"Cocaine, 2 g",True,1,нет,Тбилиси,2 гр,0.0409,25720,9804,890,400,,,,,,,,,"Cocaine, 2 g"
37,25-02-2020 10:27:45,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,3,нет,Тбилиси,2 гр,0.0346,22184,8456,767,345,,True,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
38,25-02-2020 10:27:45,Tbilisi,5JG6,BenderMan,Ketamine 2 g,True,5,нет,Тбилиси,2 гр,0.0184,11574,4412,400,180,,,,,,,,,Ketamine 2 g
39,25-02-2020 10:27:45,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 2 pieces",True,7,нет,Тбилиси,2 гр,0.0072,4501,1716,156,70,,,,,,,,,"LSD - 250 ug, 2 pieces"
40,25-02-2020 10:27:45,Tbilisi,UJP9,420Inc,THC Snow Buds Only 2G (THC 23+%),True,1,нет,Тбилиси,2 гр,0.0086,5466,2083,189,85,,,,,,,,,THC Snow Buds Only 2G (THC 23+%)
41,25-02-2020 10:27:45,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0353,22441,8554,776,349,,,True,,,,,,Kokain KOLUMBIA 2g
42,25-02-2020 10:27:45,Tbilisi,0WE,Khachapuri,🍃 2гр ГАШИШ 🍃,True,8,нет,Тбилиси,2 гр,0.0107,7073,2696,245,110,,,,,,,,,🍃 2gr GAShISh 🍃
43,25-02-2020 10:27:45,Tbilisi,0WE,Khachapuri,3 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,3 гр,0.0105,6942,2653,241,,100,,,,,,,,3 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
44,25-02-2020 10:27:45,Tbilisi,03F3,geoshop,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0248,15754,6005,545,245,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
45,25-02-2020 10:27:45,Tbilisi,X4ZM,ZYX,NEW ! Easy Bud ! 3g,True,6,нет,Тбилиси,3 гр,0.0081,5144,1961,178,80,,,,,,,,,NEW ! Easy Bud ! 3g
46,25-02-2020 10:27:45,Tbilisi,WLV7F,AGsgrowgro,metadon sirop 4ml,True,4,нет,Тбилиси,4 гр,0.0068,4308,1642,149,67,,,,,,,,,metadon sirop 4ml
47,25-02-2020 10:27:45,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,7,нет,Тбилиси,5 гр,0.0158,9967,3799,345,155,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
48,25-02-2020 10:27:45,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,2,нет,Тбилиси,5 гр,0.0175,12217,4657,423,190,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
49,25-02-2020 10:27:45,Tbilisi,0WE,Khachapuri,"5 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,5 гр,0.0173,11454,4377,397,,165,,,,,,,,"5 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
50,25-02-2020 10:27:45,Tbilisi,0WE,Khachapuri,5 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,5 гр,0.0173,11454,4377,397,,165,,,,,,,,5 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
51,25-02-2020 10:27:45,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0179,11253,4289,389,175,,,,,,,,,5x Extasy Duracell 223mg MDMA.
52,25-02-2020 10:27:45,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 5 pieces",True,3,нет,Тбилиси,5 гр,0.0153,9645,3677,334,150,,,,,,,,,"LSD - 250 ug, 5 pieces"
53,25-02-2020 10:27:45,Tbilisi,LYHBG,Playboy,NEW !!! 5G OG KusH !!! NEW,True,2,нет,Тбилиси,5 гр,0.0163,10224,3897,354,159,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
54,25-02-2020 10:27:45,Tbilisi,LYHBG,Playboy,NEW !!! 5G White Widow !!! NEW,True,2,нет,Тбилиси,5 гр,0.0157,9902,3775,343,154,,,,,,,,,NEW !!! 5G White Widow !!! NEW
55,25-02-2020 10:27:45,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.079,55234,21054,1911,859,,,,,,,,,VHQ BEST Cocaine 5g.
56,25-02-2020 10:27:45,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.006,4180,1593,145,65,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
57,25-02-2020 10:27:45,Tbilisi,SM7B,SWEETWEED,гашиш евро 5г,True,1,нет,Тбилиси,5 гр,0.0204,13503,5147,467,210,,,,,,,,,gashish evro 5g
58,25-02-2020 10:27:45,Tbilisi,0WE,Khachapuri,🍃 5гр ГАШИШ 🍃,True,3,нет,Тбилиси,5 гр,0.0262,17361,6618,601,270,,,,,,,,,🍃 5gr GAShISh 🍃
59,25-02-2020 10:27:45,Tbilisi,0WE,Khachapuri,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,10 гр,0.0315,20826,7959,722,,300,,,,,,,,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
60,25-02-2020 10:27:45,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,13,нет,Тбилиси,10 гр,0.027,17168,6544,594,267,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
61,25-02-2020 10:27:45,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 10 pieces",True,3,нет,Тбилиси,10 гр,0.0306,19290,7353,667,300,,,,,,,,,"LSD - 250 ug, 10 pieces"
62,25-02-2020 10:27:45,Tbilisi,0V3X,arinaneb,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light",True,2,нет,Тбилиси,10 гр,0.0322,22505,8579,779,350,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light"
63,25-02-2020 10:27:45,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0389,25720,9804,890,400,,,,,,,,,gashish evro 10g
64,25-02-2020 10:27:45,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,14,нет,Тбилиси,10 гр,0.0087,6109,2328,211,95,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
