,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vazisubani,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,03-07-2020 13:18:18,Tbilisi,54915c4374,Heroin (sirec) made from Azerbaijan 0.2 гр.,True,1,нет,Тбилиси,0.2 гр,0.0102,6770,2626,232,96.0,,,,,,,,,,,Heroin (sirec) made from Azerbaijan 0.2 gr.
1,1,03-07-2020 13:18:18,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,True,2,нет,Тбилиси,0.25 гр,0.0106,7052,2735,242,100.0,,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,2,03-07-2020 13:18:18,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,6,нет,Тбилиси,0.5 гр,0.0035,2327,903,80,33.0,,,,,,,,,,,0.5 gr HYBRID buds
3,3,03-07-2020 13:18:18,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,0.5 гр,0.0035,2327,903,80,33.0,True,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
4,4,03-07-2020 13:18:18,Tbilisi,16a8841259,0.5г Ak - 47,True,17,нет,Тбилиси,0.5 гр,0.0034,2257,875,77,32.0,,,,,,,,,,,0.5g Ak - 47
5,5,03-07-2020 13:18:18,Tbilisi,16a8841259,0.5г Ayahuasca Purple 100% Indica,True,3,нет,Тбилиси,0.5 гр,0.0033,2186,848,75,31.0,,,,,,,,,,,0.5g Ayahuasca Purple 100% Indica
6,6,03-07-2020 13:18:18,Tbilisi,16a8841259,0.5г Jamaican,True,19,нет,Тбилиси,0.5 гр,0.0033,2186,848,75,31.0,,,,,,,,,,,0.5g Jamaican
7,7,03-07-2020 13:18:18,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",True,1,нет,Тбилиси,0.5 гр,0.0149,9873,3829,339,140.0,,,,,,,,,,,"Black Geroin, Sirec 0.5g"
8,8,03-07-2020 13:18:18,Tbilisi,2f51af8159,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G,,13,нет,Тбилиси,0.5 гр,0.0034,2257,875,77,32.0,True,,,,,,,,,,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G
9,9,03-07-2020 13:18:18,Tbilisi,52fe6d0af9,VHQ Hash From Morroco Iso 0.5G THC 23%+,True,11,нет,Тбилиси,0.5 гр,0.0058,3879,1504,133,55.0,,True,,,,,,,,,VHQ Hash From Morroco Iso 0.5G THC 23%+
10,10,03-07-2020 13:18:18,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,4,нет,Тбилиси,1 гр,0.0064,4231,1641,145,60.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
11,11,03-07-2020 13:18:18,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,1 гр,0.0064,4231,1641,145,60.0,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
