,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,23-03-2020 19:20:40,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,6,нет,Тбилиси,0.12 гр,0.0149,8897,3108,282,110.0,,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,23-03-2020 19:20:40,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,1,нет,Тбилиси,0.25 гр,0.0134,7279,2543,230,90.0,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,2,23-03-2020 19:20:40,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,4,нет,Тбилиси,0.25 гр,0.0283,15367,5368,486,190.0,,,,,,,,,,,"Metadon VHQ 0,25"
3,3,23-03-2020 19:20:40,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,True,2,нет,Тбилиси,0.5 гр,0.0097,5257,1836,166,65.0,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
4,4,23-03-2020 19:20:40,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,1,нет,Тбилиси,0.5 гр,0.0596,32353,11300,1024,400.0,,,,,,,,,,,Metadon VHQ 0.5 24/7
5,5,23-03-2020 19:20:40,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0149,8007,2797,253,99.0,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
6,6,23-03-2020 19:20:40,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0067,3640,1271,115,45.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,7,23-03-2020 19:20:40,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,4,нет,Тбилиси,1 гр,0.0067,3640,1271,115,45.0,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
8,8,23-03-2020 19:20:40,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,4,нет,Тбилиси,1 гр,0.0075,4044,1413,128,50.0,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
9,9,23-03-2020 19:20:40,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,8,нет,Тбилиси,1 гр,0.0069,3721,1300,118,46.0,,,,,,,,,,,Amsterdam weed sativa 1gr
10,10,23-03-2020 19:20:40,Tbilisi,edfbad0151,Blue Cheese Auto 1G pressed buds(Hydro),True,1,нет,Тбилиси,1 гр,0.0066,3640,1271,115,45.0,,,,,,,,,,,Blue Cheese Auto 1G pressed buds(Hydro)
11,11,23-03-2020 19:20:40,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.027000000000000003,15287,5339,484,189.0,,,,,,,,,,,Cocaine Pure VHQ 1g
