,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Дигоми,$,Gldani,Vazisubani,Saburtalo,Vake,Didube,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,19-06-2020 06:41:25,Tbilisi,54915c4374,Heroin (sirec) made from Azerbaijan 0.2 гр.,True,3,нет,Тбилиси,0.2 гр,0.0095,7046,2723,241,90.0,,,,,,,,,,,,,Heroin (sirec) made from Azerbaijan 0.2 gr.
1,1,19-06-2020 06:41:25,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,,1,нет,Тбилиси,0.25 гр,0.0124,8534,3297,292,109.0,True,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
2,2,19-06-2020 06:41:25,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,True,2,нет,Тбилиси,0.25 гр,0.0103,6962,2690,238,,,100.0,,,,,,,,,,,NEW Iranian Sirec 0.25g.
3,3,19-06-2020 06:41:25,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G,,1,нет,Тбилиси,0.5 гр,0.0175,11765,4546,403,,,169.0,True,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G
4,4,19-06-2020 06:41:25,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,8,нет,Тбилиси,0.5 гр,0.0031,2089,807,71,,,30.0,,True,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
5,5,19-06-2020 06:41:25,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,,1,нет,Тбилиси,0.5 гр,0.003,2019,780,69,,,29.0,,,True,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
6,6,19-06-2020 06:41:25,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0136,9050,3497,310,,,130.0,,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
7,7,19-06-2020 06:41:25,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,1 гр,0.0062,4177,1614,143,,,60.0,,,,True,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
8,8,19-06-2020 06:41:25,Tbilisi,cb721d4bca,1 г марихуана шишки VHQ индика THC 20%,,9,нет,Тбилиси,1 гр,0.004,2715,1049,93,,,39.0,,,True,,,,,,,,1 g marihuana shishki VHQ indika THC 20%
9,9,19-06-2020 06:41:25,Tbilisi,69672fee0d,1 гр INDICA марихуана шишки тгк 21% VHQ!!,True,1,нет,Тбилиси,1 гр,0.004,2715,1049,93,,,39.0,,,,,,,,,,,1 gr INDICA marihuana shishki tgk 21% VHQ!!
10,10,19-06-2020 06:41:25,Tbilisi,16a8841259,Ak - 47 1г,True,1,нет,Тбилиси,1 гр,0.0057,3829,1480,131,,,55.0,,,,,,,,,,,Ak - 47 1g
11,11,19-06-2020 06:41:25,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,6,нет,Тбилиси,1 гр,0.0309,20816,8043,712,,,299.0,,,,,,,,,,,Cocaine Pure VHQ 1g
12,12,19-06-2020 06:41:25,Tbilisi,54915c4374,Марки н-боооом!!! 1 шт.,True,1,нет,Тбилиси,1 гр,0.0019,1253,484,43,,,18.0,,,,,,,,,,,Marki n-boooom!!! 1 sht.
13,13,19-06-2020 06:41:25,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,3,нет,Тбилиси,1 гр,0.0249,16639,6429,569,,,239.0,True,,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
14,14,19-06-2020 06:41:25,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,8,нет,Тбилиси,2 гр,0.0123,8285,3201,283,,,119.0,,,,,,,,,,,2 G Hybrid Marijuana Buds
15,15,19-06-2020 06:41:25,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,2 гр,0.0124,8354,3228,286,,,120.0,,,,True,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
16,16,19-06-2020 06:41:25,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0088,5918,2287,202,,,85.0,,,True,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
17,17,19-06-2020 06:41:25,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,7,нет,Тбилиси,3 гр,0.0071,4804,1856,164,,,69.0,,True,True,,True,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
18,18,19-06-2020 06:41:25,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,2,нет,Тбилиси,4 гр,0.0111,7449,2878,255,,,107.0,,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
19,19,19-06-2020 06:41:25,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,4 гр,0.0145,9747,3766,333,,,140.0,,,,True,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
20,20,19-06-2020 06:41:25,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,2,нет,Тбилиси,5 гр,0.0225,16708,6456,572,,,240.0,,,,,,,,,,,5g. marihuana shishki Critical
21,21,19-06-2020 06:41:25,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,10,нет,Тбилиси,5 гр,0.0183,12183,4708,417,,,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
22,22,19-06-2020 06:41:25,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1184,81453,31473,2787,,,1170.0,,,,,,,,,,,VHQ BEST Cocaine 5g.
23,23,19-06-2020 06:41:25,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,5 гр,0.0052,3829,1480,131,,,55.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
24,24,19-06-2020 06:41:25,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,True,1,нет,Тбилиси,10 гр,0.0014,975,377,33,,,14.0,,,,,,,,,,,GABAGAMA 10 shtuk
25,25,19-06-2020 06:41:25,Tbilisi,83f3d55917,Химка !! 10 г %%5%% скидка новинка !!!!,,2,нет,Тбилиси,10 гр,0.0064,4525,1749,155,,,65.0,,,,,,True,,,,,Himka !! 10 g %%5%% skidka novinka !!!!
26,26,19-06-2020 06:41:25,Tbilisi,7bd1a5deba,11 - GRAMM BEASTWEED,True,3,нет,Тбилиси,11 гр,0.0174,12879,4977,441,,,185.0,,,,,,,,,,,11 - GRAMM BEASTWEED
27,27,19-06-2020 06:41:25,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0469,34809,13450,1191,,,500.0,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
28,28,19-06-2020 06:41:25,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2084,139236,53800,4763,,,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
29,29,19-06-2020 06:41:25,Tbilisi,54915c4374,Сирец (геройн) очень сильный 1 гр (предзаказ на 10% дешевле!!!),True,нет,20,Тбилиси,1 гр,0.0361,24366,9415,834,,,350.0,,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 1 gr (predzakaz na 10% deshevle!!!)
30,30,19-06-2020 06:41:25,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,1,Тбилиси,2 гр,0.0219,14620,5649,500,,,210.0,,,,,,,,,,,✨✨2gram. MDMA✨✨
31,31,19-06-2020 06:41:25,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,4,Тбилиси,2 гр,0.0385,25689,9926,879,,,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
32,32,19-06-2020 06:41:25,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,4,Тбилиси,3 гр,0.0604,40309,15575,1379,,,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
33,33,19-06-2020 06:41:25,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0413,27847,10760,953,,,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
34,34,19-06-2020 06:41:59,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0568,38290,14795,1310,,,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
35,35,19-06-2020 06:41:59,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0279,18797,7263,643,,,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
36,36,19-06-2020 06:41:59,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0289,19493,7532,667,,,280.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
37,37,19-06-2020 06:41:59,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0284,19145,7398,655,,,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
38,38,19-06-2020 06:41:59,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0248,16708,6456,572,,,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
39,39,19-06-2020 06:41:59,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0289,19493,7532,667,,,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
40,40,19-06-2020 06:41:59,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0279,18797,7263,643,,,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
41,41,19-06-2020 06:41:59,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0206,15246,5891,522,,,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
42,42,19-06-2020 06:41:59,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0279,18797,7263,643,,,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
43,43,19-06-2020 06:41:59,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2562,190000,87429,6513,,,,,,,,,,,,,,reagent 25i nbome. 5gr
