,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Didube,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
16,16,12-07-2020 21:59:53,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,2,нет,Тбилиси,2 гр,0.0116,7835,2998,267,,True,110.0,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
17,17,12-07-2020 21:59:53,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,120.0,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
18,18,12-07-2020 21:59:53,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,2,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,120.0,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
19,19,12-07-2020 21:59:53,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,120.0,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
20,20,12-07-2020 21:59:53,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,3,нет,Тбилиси,2 гр,0.0105,7123,2725,243,,True,100.0,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
21,21,12-07-2020 21:59:53,Tbilisi,0dec0e1c48,2gr HYBRID buds,,4,нет,Тбилиси,2 гр,0.0093,6268,2398,214,,True,88.0,,,,,,,,,,2gr HYBRID buds
22,22,12-07-2020 21:59:53,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,1,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,120.0,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
23,23,12-07-2020 21:59:53,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",True,4,нет,Тбилиси,2 гр,0.0105,7835,2998,267,,,110.0,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
24,24,12-07-2020 21:59:53,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",,3,нет,Тбилиси,2 гр,0.0105,7835,2998,267,,True,110.0,,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
25,25,12-07-2020 21:59:53,Tbilisi,8528108b62,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0143,10684,4088,365,,True,150.0,,,,,,,,,,3g. marihuana shishki Critical
26,26,12-07-2020 21:59:53,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,17,нет,Тбилиси,3 гр,0.0058,3918,1499,134,,True,55.0,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
27,27,12-07-2020 21:59:53,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,5,нет,Тбилиси,3 гр,0.0036,2422,927,83,,,34.0,,True,,,,,,,,Marijuana Super Skunk leaves 3g plan
28,28,12-07-2020 21:59:53,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,5 гр,0.0274,18520,7085,632,,True,260.0,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
29,29,12-07-2020 21:59:53,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,2,нет,Тбилиси,5 гр,0.0284,19232,7358,656,,True,270.0,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
30,30,12-07-2020 21:59:53,Tbilisi,8528108b62,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.023,17095,6540,583,,True,240.0,,,,,,,,,,5g. marihuana shishki Critical
31,31,12-07-2020 21:59:53,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,1,нет,Тбилиси,5 гр,0.023,17095,6540,583,,,240.0,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
32,32,12-07-2020 21:59:53,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,2,нет,Тбилиси,5 гр,0.0242,16383,6268,559,,,230.0,,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
33,33,12-07-2020 21:59:53,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram + 🎁,,1,нет,Тбилиси,10 гр,0.0402,29917,11445,1021,,True,420.0,,,,,,,,,,Northern Lights Regular [budsonly] 10gram + 🎁
34,34,12-07-2020 21:59:53,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0459,32053,12263,1094,,True,450.0,,,,,,,,,,Gashish Evro 10gr
35,35,12-07-2020 22:00:41,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0068,4630,1771,158,,True,65.0,,,,,,,,,,Silver haze leaves list'ja 15gr sale
36,36,12-07-2020 22:00:41,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2124,142460,54500,4860,,True,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
37,37,12-07-2020 22:00:41,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,5,Тбилиси,1 гр,0.0371,24883,9517,850,310.0,True,,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
38,38,12-07-2020 22:00:41,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gram,,нет,10,Тбилиси,3 гр,0.0144,10684,4088,365,,True,150.0,,,,,,,,,,Northern Lights Regular [budsonly] 3gram
39,39,12-07-2020 22:00:41,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,2,Тбилиси,4 гр,0.0421,28492,10900,972,,True,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
40,40,12-07-2020 22:00:41,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0263,17807,6813,608,,True,250.0,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
41,41,12-07-2020 22:00:41,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,4,Тбилиси,5 гр,0.0579,39176,14988,1337,,True,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
42,42,12-07-2020 22:00:41,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,2,6,Тбилиси,5 гр,0.0284,19232,7358,656,,True,270.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
43,43,12-07-2020 22:00:41,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,5,Тбилиси,5 гр,0.0295,19944,7630,680,,True,280.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
44,44,12-07-2020 22:00:41,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0289,19588,7494,668,,True,275.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
45,45,12-07-2020 22:00:41,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0253,17095,6540,583,,True,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
46,46,12-07-2020 22:00:41,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0295,19944,7630,680,,True,280.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
47,47,12-07-2020 22:00:41,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0284,19232,7358,656,,True,270.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
48,48,12-07-2020 22:00:41,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.021,15599,5968,532,,True,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
49,49,12-07-2020 22:00:41,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0284,19232,7358,656,,True,270.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
50,50,12-07-2020 22:00:41,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 5G A+++,,нет,5,Тбилиси,5 гр,0.0526,35615,13625,1215,,True,500.0,,,,,,,,,,VHQ MDMA Champagne Imported 5G A+++
51,51,12-07-2020 22:00:41,Tbilisi,f374062dcd,Кристаллы Синие очень мощные на рынке 5 гр,,нет,1,Тбилиси,5 гр,0.0804,59833,22890,2041,,True,840.0,,,,,,,,,,Kristally Sinie ochen' moschnye na rynke 5 gr
52,52,12-07-2020 22:00:41,Tbilisi,7f1273da70,марихуана пудра высокое качество 5грам,,нет,10,Тбилиси,5 гр,0.0077,5698,2180,194,,True,80.0,,,,,,,,,,marihuana pudra vysokoe kachestvo 5gram
53,53,12-07-2020 22:00:41,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2552,190000,87429,6482,,True,,,,,,,,,,,reagent 25i nbome. 5gr
54,54,12-07-2020 22:00:41,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.287,213689,81750,7290,,,3000.0,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
55,55,12-07-2020 22:00:41,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,5 гр,0.0239,16054,6140,549,200.0,True,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
56,56,12-07-2020 22:00:41,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0947,64107,24525,2187,,True,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
57,57,12-07-2020 22:00:41,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0579,39176,14988,1337,,True,550.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
58,58,12-07-2020 22:00:41,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0737,49861,19075,1701,,True,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
59,59,12-07-2020 22:00:41,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0442,29917,11445,1021,,True,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
60,60,12-07-2020 22:00:41,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0842,56984,21800,1944,,True,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
61,61,12-07-2020 22:00:41,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2342,158486,60631,5407,,True,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
62,62,12-07-2020 22:00:41,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0527,35318,13508,1207,440.0,True,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
63,63,12-07-2020 22:00:41,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0467,31305,11973,1070,390.0,True,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
64,64,12-07-2020 22:00:41,Tbilisi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,4,Тбилиси,11 гр,0.0478,32027,12249,1095,399.0,True,,,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
65,65,12-07-2020 22:00:41,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0622,46299,17713,1580,,True,650.0,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
66,66,12-07-2020 22:00:41,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2526,170952,65400,5832,,True,2400.0,,,,,,,,,,100 gr marijuana buds
67,67,12-07-2020 22:00:41,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2631,178075,68125,6075,,True,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
68,68,12-07-2020 22:00:41,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.621,420256,160775,14337,,True,5900.0,,,,,,,,,,180 gr marihuana persoalno
69,69,12-07-2020 22:01:30,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2525,170952,65400,5832,,True,2400.0,,,,,,,,,,100 gr marijuana buds
70,70,12-07-2020 22:01:30,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.263,178075,68125,6075,,True,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
71,71,12-07-2020 22:01:30,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6208,420256,160775,14337,,True,5900.0,,,,,,,,,,180 gr marihuana persoalno
