,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,11-03-2020 00:09:59,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,7,нет,Тбилиси,0.25 гр,0.0243,15124,5426,494,210,,,,,,,,,Metadon VHQ 0.25 24/7
1,11-03-2020 00:09:59,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G,True,2,нет,Тбилиси,0.35 гр,0.039,23047,8269,753,320,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
2,11-03-2020 00:09:59,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,7,нет,Тбилиси,0.5 гр,0.0121,7130,2558,233,99,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
3,11-03-2020 00:09:59,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0126,7850,2817,256,109,,,,,,,,,Pure COCAINE VHQ 0.5g
4,11-03-2020 00:09:59,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,2,нет,Тбилиси,0.5 гр,0.0036,2161,775,71,30,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
5,11-03-2020 00:09:59,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,2,нет,Тбилиси,0.5 гр,0.0121,7130,2558,233,99,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
6,11-03-2020 00:09:59,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,1 гр,0.0054,3241,1163,106,45,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
7,11-03-2020 00:09:59,Tbilisi,ABOAB,ProGrow,1G ---> INDICA,,5,нет,Тбилиси,1 гр,0.0041,2521,904,82,35,True,,,,,,,,1G ---> INDICA
8,11-03-2020 00:09:59,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0054,3241,1163,106,45,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
9,11-03-2020 00:09:59,Tbilisi,LYHBG,Playboy,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,6,нет,Тбилиси,1 гр,0.0241,14260,5116,466,198,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
