,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Saburtalo,Gldani,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,11-03-2020 19:11:37,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,26,нет,Тбилиси,0.12 гр,0.012,7862,2904,255,110.0,,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,11-03-2020 19:11:37,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0229,15009,5544,487,210.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,11-03-2020 19:11:37,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G,True,2,нет,Тбилиси,0.35 гр,0.0387,22871,8448,743,320.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
3,3,11-03-2020 19:11:37,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0114,7076,2614,230,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,11-03-2020 19:11:37,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,6,нет,Тбилиси,0.5 гр,0.012,7076,2614,230,99.0,,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
5,5,11-03-2020 19:11:37,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,6,нет,Тбилиси,0.5 гр,0.0125,7790,2878,253,109.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
6,6,11-03-2020 19:11:37,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,5,нет,Тбилиси,1 гр,0.0124,7697,2845,250,,95.0,,,,,,,,,,1gr mdma (skidka v bitkoin 5%)
7,7,11-03-2020 19:11:37,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,1 гр,0.024,14151,5227,460,198.0,,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
8,8,11-03-2020 19:11:37,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,9,нет,Тбилиси,1 гр,0.018000000000000002,10721,3960,348,150.0,,,,,,,,,,,Apvp VHQ 1g 24/7
9,9,11-03-2020 19:11:37,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,6,нет,Тбилиси,1 гр,0.0206,12793,4726,415,179.0,,,,,,,,,,,Cocaine Pure VHQ 1g
10,10,11-03-2020 19:11:37,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,1,нет,Тбилиси,1 гр,0.0653,42883,15840,1392,600.0,,,,,,,,,,,Metadon VHQ 1 24/7
11,11,11-03-2020 19:11:37,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,3,нет,Тбилиси,1 гр,0.0229,13508,4990,439,189.0,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
12,12,11-03-2020 19:11:37,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,1,нет,Тбилиси,1 гр,0.0152,10006,3696,325,140.0,,,,,,,,,,,NZT-52 mind storm limited 1g muka
13,13,11-03-2020 19:11:37,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,4,нет,Тбилиси,1 гр,0.0229,14223,5254,462,199.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
14,14,11-03-2020 19:11:37,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0224,13508,4990,439,189.0,,,,,,,,,,,Kokain HQ 1g.
15,15,11-03-2020 19:11:37,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0214,12793,4726,415,179.0,,True,,,,,,,,,Kokain KOLUMBIA 1g
16,16,11-03-2020 19:11:37,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.098,64325,23760,2089,900.0,,,,,,,,,,,Metadon 1gr
17,17,11-03-2020 19:11:37,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,20,нет,Тбилиси,1 гр,0.0022,1429,528,46,20.0,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
18,18,11-03-2020 19:11:37,Tbilisi,dd631c4acf,☃️❄1g. New COCAINE!!❄☃️,True,3,нет,Тбилиси,1 гр,0.0218,12865,4752,418,180.0,,,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
19,19,11-03-2020 19:11:37,Tbilisi,7ee4f68218,2 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,2 гр,0.0235,14584,5391,474,,180.0,,,,,,,,,,2 gr mdma (skidka v bitkoin 5%)
20,20,11-03-2020 19:11:37,Tbilisi,64284550d9,2G ---> INDICA,,26,нет,Тбилиси,2 гр,0.0079,4789,1769,156,67.0,,,True,,,,,,,,2G ---> INDICA
21,21,11-03-2020 19:11:37,Tbilisi,4659482266,Marijuana Blackberry 2g. Indica,,2,нет,Тбилиси,2 гр,0.01,5932,2191,193,83.0,,,,True,,,,,,,Marijuana Blackberry 2g. Indica
22,22,11-03-2020 19:11:37,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0425,27874,10296,905,390.0,,,,,,,,,,,VHQ BEST Cocaine 2g.
23,23,11-03-2020 19:11:37,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.0339,21065,7787,685,,260.0,,,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
24,24,11-03-2020 19:11:37,Tbilisi,64284550d9,3G ---> INDICA,,21,нет,Тбилиси,3 гр,0.0101,6647,2455,216,93.0,,,True,,,,,,,,3G ---> INDICA
25,25,11-03-2020 19:11:37,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0192,11364,4198,369,159.0,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
26,26,11-03-2020 19:11:37,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0188,11078,4092,360,155.0,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
27,27,11-03-2020 19:11:37,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,5 гр,0.0489,30383,11231,988,,375.0,,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
28,28,11-03-2020 19:11:37,Tbilisi,e56bb6ca93,5gr georgian indica (hight quality),True,6,нет,Тбилиси,5 гр,0.0151,9935,3670,323,139.0,,True,,,,,,,,,5gr georgian indica (hight quality)
29,29,11-03-2020 19:11:37,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0212,12508,4620,406,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
30,30,11-03-2020 19:11:37,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,1,нет,Тбилиси,5 гр,0.0178,10721,3960,348,150.0,,,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
31,31,11-03-2020 19:11:37,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,True,5,4,Тбилиси,5 гр,0.0943,56248,20777,1826,787.0,,,,,True,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
32,32,11-03-2020 19:11:37,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,6,нет,Тбилиси,5 гр,0.0185,12150,4488,395,170.0,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
33,33,11-03-2020 19:11:37,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,9,нет,Тбилиси,5 гр,0.0071,4646,1716,151,65.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
34,34,11-03-2020 19:12:35,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,True,4,4,Тбилиси,5.5 гр,0.0528,31734,11722,1030,444.0,,,,,True,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
35,35,11-03-2020 19:12:35,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0439,26087,9636,847,365.0,,,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
36,36,11-03-2020 19:12:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0321,19083,7049,620,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
37,37,11-03-2020 19:12:35,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,3,нет,Тбилиси,10 гр,0.0108,7076,2614,230,99.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
38,38,11-03-2020 19:12:35,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0462,28589,10560,928,400.0,,,,,,,,,,,gashish evro 10g
39,39,11-03-2020 19:12:35,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,True,2,2,Тбилиси,11 гр,0.102,60608,22387,1968,848.0,,,,,True,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
