,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Тбилиси,Vake,€,Didube,Авлобари,Центр,Батуми,Кутаиси,desc_en
24,24,04-04-2020 19:49:37,Tbilisi,bb1791277e,CHEESE WEED BUDS+leaves 2gr saburtalo !!,,,4,нет,Тбилиси,2 гр,0.0069,3731,1327,124,48.0,,True,,,,,,,,CHEESE WEED BUDS+leaves 2gr saburtalo !!
25,25,04-04-2020 19:49:37,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,,,1,нет,Тбилиси,2 гр,0.0468,27984,9954,930,360.0,,True,,,,,,,,Cocaine Pure VHQ 2 g
26,26,04-04-2020 19:49:37,Tbilisi,ae784bef73,Gorilla Glue! 2G ! NEW ! BUDS !,,,4,нет,Тбилиси,2 гр,0.0107,5830,2074,194,75.0,,True,,,,,,,,Gorilla Glue! 2G ! NEW ! BUDS !
27,27,04-04-2020 19:49:37,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,,,1,нет,Тбилиси,2 гр,0.0533,31870,11337,1060,410.0,,True,,,,,,,,VHQ BEST Cocaine 2g.
28,28,04-04-2020 19:49:37,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,True,,11,нет,Тбилиси,2 гр,0.0046,2721,968,90,35.0,,True,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
29,29,04-04-2020 19:49:37,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,,2,нет,Тбилиси,2 гр,0.0046,2721,968,90,35.0,,True,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
30,30,04-04-2020 19:49:37,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍2 LSD 200ug.🌈️‍🌈️‍🤩,,,2,нет,Тбилиси,2 гр,0.0129,6918,2461,230,89.0,,True,,,,,,,,️‍🤩🌈️‍🌈️‍2 LSD 200ug.🌈️‍🌈️‍🤩
31,31,04-04-2020 19:49:37,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,,1,нет,Тбилиси,3 гр,0.0158,8473,3014,282,109.0,,True,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
32,32,04-04-2020 19:49:37,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,,2,нет,Тбилиси,5 гр,0.0439,24874,8848,827,320.0,,True,,,,,,,,"5 Grm MDMA , Purity A +++"
33,33,04-04-2020 19:49:37,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,,2,нет,Тбилиси,5 гр,0.0425,23320,8295,775,300.0,,True,,,,,,,,5 Grm Mdma Pure Quality A +++
