,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Saburtalo,Didube,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
0,0,16-07-2020 23:57:03,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,True,14,нет,Тбилиси,1 гр,0.0063,4274,1650,144,60.0,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
1,1,16-07-2020 23:57:03,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,True,3,нет,Тбилиси,1 гр,0.0062,4203,1623,142,59.0,,,,,,,,,,,1 G Hybrid Marijuana Buds
2,2,16-07-2020 23:57:03,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,,15,нет,Тбилиси,1 гр,0.0063,4274,1650,144,60.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
3,3,16-07-2020 23:57:03,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,,4,нет,Тбилиси,1 гр,0.0062,4203,1623,142,59.0,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
4,4,16-07-2020 23:57:03,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,,2,нет,Тбилиси,1 гр,0.0063,4274,1650,144,60.0,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
5,5,16-07-2020 23:57:03,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,,14,нет,Тбилиси,1 гр,0.0062,4203,1623,142,59.0,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
6,6,16-07-2020 23:57:03,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),True,,9,нет,Тбилиси,1 гр,0.0053,3562,1375,120,50.0,,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
7,7,16-07-2020 23:57:03,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,,8,нет,Тбилиси,1 гр,0.0413,27709,10698,934,389.0,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
8,8,16-07-2020 23:57:03,Tbilisi,ae784bef73,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,True,,1,нет,Тбилиси,1 гр,0.0061,4131,1595,139,58.0,,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
9,9,16-07-2020 23:57:03,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,True,,2,нет,Тбилиси,1 гр,0.0053,3918,1513,132,55.0,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
10,10,16-07-2020 23:57:03,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,True,,3,нет,Тбилиси,1 гр,0.0073,4874,1881,165,,60.0,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
11,11,16-07-2020 23:57:03,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,True,6,нет,Тбилиси,2 гр,0.0104,7052,2723,238,99.0,,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
12,12,16-07-2020 23:57:03,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,True,9,нет,Тбилиси,2 гр,0.0115,7764,2998,262,109.0,,,,,,,,,,,2 G Hybrid Marijuana Buds
13,13,16-07-2020 23:57:03,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,,8,нет,Тбилиси,2 гр,0.0126,8548,3300,288,120.0,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
14,14,16-07-2020 23:57:03,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,,1,нет,Тбилиси,2 гр,0.0126,8548,3300,288,120.0,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
15,15,16-07-2020 23:57:03,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,True,,3,нет,Тбилиси,2 гр,0.0116,7835,3025,264,110.0,,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
16,16,16-07-2020 23:57:03,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,,3,нет,Тбилиси,2 гр,0.0126,8548,3300,288,120.0,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
17,17,16-07-2020 23:57:03,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,,3,нет,Тбилиси,2 гр,0.0105,7123,2750,240,100.0,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
18,18,16-07-2020 23:57:03,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,True,,1,нет,Тбилиси,2 гр,0.0105,7123,2750,240,100.0,,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
19,19,16-07-2020 23:57:03,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,True,5,нет,Тбилиси,2 гр,0.0105,7835,3025,264,110.0,,,True,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
20,20,16-07-2020 23:57:03,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,,3,нет,Тбилиси,2 гр,0.0126,8548,3300,288,120.0,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
21,21,16-07-2020 23:57:03,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 2gram,True,,1,нет,Тбилиси,2 гр,0.0091,6767,2613,228,95.0,,,,,,,,,,,Northern Lights Regular [budsonly] 2gram
22,22,16-07-2020 23:57:03,Tbilisi,8528108b62,3g. марихуана шишки Critical,True,,1,нет,Тбилиси,3 гр,0.0124,9260,3575,312,130.0,,,,,,,,,,,3g. marihuana shishki Critical
23,23,16-07-2020 23:57:03,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,,27,нет,Тбилиси,3 гр,0.0058,3918,1513,132,55.0,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
24,24,16-07-2020 23:57:03,Tbilisi,83f3d55917,Badazz Kush 3G VHQ 25% THC,,,3,нет,Тбилиси,3 гр,0.0158,10685,4125,360,150.0,,True,,,,,,,,,Badazz Kush 3G VHQ 25% THC
25,25,16-07-2020 23:57:03,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,True,10,нет,Тбилиси,3 гр,0.0036,2422,935,82,34.0,,,,,,,,,,,Marijuana Super Skunk leaves 3g plan
26,26,16-07-2020 23:57:03,Tbilisi,e771f4c371,4.2G Peppermint Kush 26%THC *VHQ*,True,,2,нет,Тбилиси,4.2 гр,0.0221,14959,5775,504,210.0,,,,,,,,,,,4.2G Peppermint Kush 26%THC *VHQ*
27,27,16-07-2020 23:57:03,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,,1,нет,Тбилиси,5 гр,0.0274,18520,7150,624,260.0,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
28,28,16-07-2020 23:57:03,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,,1,нет,Тбилиси,5 гр,0.0295,19945,7700,672,280.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
29,29,16-07-2020 23:57:03,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,,2,нет,Тбилиси,5 гр,0.0284,19232,7425,648,270.0,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
30,30,16-07-2020 23:57:03,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,,1,нет,Тбилиси,5 гр,0.0187,13890,5363,468,195.0,,,,,,,,,,,5g. marihuana shishki Critical
31,31,16-07-2020 23:57:03,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,,2,нет,Тбилиси,10 гр,0.0459,32054,12375,1081,450.0,,,,,,,,,,,Gashish Evro 10gr
