,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,29-02-2020 01:03:07,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,1,нет,Тбилиси,0.5 гр,0.0122,7302,2692,244,109.0,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
1,1,29-02-2020 01:03:07,Tbilisi,adf2d19b92,Bio-555 вес 0.5,True,1,нет,Тбилиси,0.5 гр,0.0055,3685,1359,123,55.0,,,,,,,,,Bio-555 ves 0.5
2,2,29-02-2020 01:03:07,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,1,нет,Тбилиси,0.8 гр,0.0166,10049,3705,335,150.0,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
3,3,29-02-2020 01:03:07,Tbilisi,64284550d9,1G -- ФОТО РАБОТАЕТ -> Sativa,,24,нет,Тбилиси,1 гр,0.0042,2613,963,87,39.0,True,,,,,,,,1G -- FOTO RABOTAET -> Sativa
4,4,29-02-2020 01:03:07,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,5,нет,Тбилиси,1 гр,0.0221,13264,4891,442,198.0,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
5,5,29-02-2020 01:03:07,Tbilisi,7c395c455d,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1 гр,0.0089,5359,1976,179,80.0,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
6,6,29-02-2020 01:03:07,Tbilisi,ae784bef73,Afghan HQ buds ! NEW ! 1G Фото на хостинге!,True,2,нет,Тбилиси,1 гр,0.0052,3149,1161,105,47.0,,,,,,,,,Afghan HQ buds ! NEW ! 1G Foto na hostinge!
7,7,29-02-2020 01:03:07,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,1,нет,Тбилиси,1 гр,0.0045,2680,988,89,40.0,,,,,,,,,"LSD - 250 ug, 1piece"
8,8,29-02-2020 01:03:07,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,1,нет,Тбилиси,1 гр,0.0191,12058,4446,402,180.0,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
9,9,29-02-2020 01:03:07,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,1,нет,Тбилиси,2 гр,0.0086,5694,2100,190,85.0,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
10,10,29-02-2020 01:03:07,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,2 гр,0.0403,24117,8892,804,360.0,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
11,11,29-02-2020 01:03:07,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!,,2,нет,Тбилиси,2 гр,0.0351,21437,7904,715,320.0,True,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!
12,12,29-02-2020 01:03:07,Tbilisi,8219f5e7b8,Ketamine 2 g,True,1,нет,Тбилиси,2 гр,0.0201,12058,4446,402,180.0,,,,,,,,,Ketamine 2 g
13,13,29-02-2020 01:03:07,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,2,нет,Тбилиси,2 гр,0.0078,4689,1729,156,70.0,,,,,,,,,"LSD - 250 ug, 2 pieces"
14,14,29-02-2020 01:03:07,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,2,нет,Тбилиси,2 гр,0.0386,23380,8620,780,349.0,,True,,,,,,,Kokain KOLUMBIA 2g
15,15,29-02-2020 01:03:07,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0178,10652,3927,355,159.0,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
16,16,29-02-2020 01:03:07,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0173,10384,3829,346,155.0,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
17,17,29-02-2020 01:03:07,Tbilisi,366326d4d6,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.0951,56942,20995,1899,850.0,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
18,18,29-02-2020 01:03:07,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,2,нет,Тбилиси,5 гр,0.0168,10049,3705,335,150.0,,,,,,,,,"LSD - 250 ug, 5 pieces"
19,19,29-02-2020 01:03:07,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,1,нет,Тбилиси,5 гр,0.0172,10317,3804,344,154.0,,,,,,,,,NEW !!! 5G White Widow !!! NEW
20,20,29-02-2020 01:03:07,Tbilisi,8219f5e7b8,"LSD - 250 ug, 10 pieces",True,1,нет,Тбилиси,10 гр,0.0335,20097,7410,670,300.0,,,,,,,,,"LSD - 250 ug, 10 pieces"
21,21,29-02-2020 01:03:07,Tbilisi,e501bd0ada,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road",True,1,нет,Тбилиси,10 гр,0.0255,16078,5928,536,240.0,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road"
22,22,29-02-2020 01:03:07,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0425,26796,9880,894,400.0,,,,,,,,,gashish evro 10g
23,23,29-02-2020 01:03:07,Tbilisi,e501bd0ada,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road",True,2,нет,Тбилиси,20 гр,0.0478,30146,11115,1005,450.0,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road"
