,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
22,13-06-2020 07:02:50,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,7,Тбилиси,5 гр,0.0234,15898,6187,547,230,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
23,13-06-2020 07:02:50,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0245,16589,6456,571,240,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
24,13-06-2020 07:02:50,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,8,Тбилиси,5 гр,0.0245,16589,6456,571,240,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
25,13-06-2020 07:02:50,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0234,15898,6187,547,230,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
26,13-06-2020 07:02:50,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0203,15138,5891,521,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
27,13-06-2020 07:02:50,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - INDICA - 5 G.,True,нет,2,Тбилиси,5 гр,0.0257,17280,6725,595,250,,,,,,,,,MARIXYANA - INDICA - 5 G.
28,13-06-2020 07:02:50,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0239,16244,6322,559,235,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
29,13-06-2020 07:02:50,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2546,190000,87429,6482,,,,,,,,,,reagent 25i nbome. 5gr
30,13-06-2020 07:02:50,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2779,207366,80700,7134,3000,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
31,13-06-2020 07:02:50,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.0987,66288,25797,2281,959,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
32,13-06-2020 07:02:50,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,9,Тбилиси,5 гр,0.0196,13133,5111,452,190,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
33,13-06-2020 07:02:50,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,10,Тбилиси,5 гр,0.0503,33801,13154,1163,489,,,,,,,,,💘✨5g. MDMA ✨💘
34,13-06-2020 07:03:30,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0917,62210,24210,2140,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
35,13-06-2020 07:03:30,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0408,27649,10760,951,400,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
36,13-06-2020 07:03:30,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0713,48385,18830,1665,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
