,time_stamp,region,sell_code,sell_name,description,Saburtalo,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Vake,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,06-04-2020 08:58:40,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,True,2,нет,Тбилиси,0.2 гр,0.0044,2721,968,90,35,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
1,06-04-2020 08:58:40,Tbilisi,A3I9,Joookerrr,MDMA 0.4 грам.,,,4,нет,Тбилиси,0.4 гр,0.0082,5053,1797,167,65,True,,,,,,,,,MDMA 0.4 gram.
2,06-04-2020 08:58:40,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,,,3,нет,Тбилиси,0.5 гр,0.0132,7696,2737,255,99,True,,,,,,,,,Cocaine Pure VHQ 0.5g
3,06-04-2020 08:58:40,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.5гр СКИДКИ КАРАНТИННЫе греча из авганистана! скидка при покупке BTC,True,,1,нет,Тбилиси,0.5 гр,0.0416,23320,8295,772,300,,,,,,,,,,HEROINE-999 0.5gr SKIDKI KARANTINNYe grecha iz avganistana! skidka pri pokupke BTC
4,06-04-2020 08:58:40,Tbilisi,V4T,COCAcoLA,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,,,7,нет,Тбилиси,0.5 гр,0.0104,5830,2074,193,75,True,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
5,06-04-2020 08:58:40,Tbilisi,V4T,COCAcoLA,MEPHEDRONE 0.5 gr,,,8,нет,Тбилиси,0.5 гр,0.0076,4275,1521,141,55,True,,,,,,,,,MEPHEDRONE 0.5 gr
6,06-04-2020 08:58:40,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,,,2,нет,Тбилиси,0.5 гр,0.016,9328,3318,309,120,True,,,,,,,,,Pure COCAINE VHQ 0.5g
7,06-04-2020 08:58:40,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,,,2,нет,Тбилиси,0.5 гр,0.0153,8473,3014,280,109,True,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
8,06-04-2020 08:58:40,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.6 грамм",,,1,нет,Тбилиси,0.6 гр,0.0113,6996,2489,232,90,True,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.6 gramm"
9,06-04-2020 08:58:40,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,,4,нет,Тбилиси,1 гр,0.0069,3887,1383,129,50,True,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
10,06-04-2020 08:58:40,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,,1,нет,Тбилиси,1 гр,0.0054,3032,1078,100,39,True,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
11,06-04-2020 08:58:40,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,,3,нет,Тбилиси,1 гр,0.0251,14691,5226,486,189,True,,,,,,,,,Cocaine Pure VHQ 1g
