,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Varketili,Батуми,Центр,€,desc_en
0,0,13-08-2020 11:41:40,Tbilisi,f374062dcd,Очень мощный Сирец из Ирана 0.3гр,True,28,нет,Тбилиси,0.3 гр,0.0065,5859,2220,197,80.0,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
1,1,13-08-2020 11:41:40,Tbilisi,7c395c455d,0.5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,9,нет,Тбилиси,0.5 гр,0.0028,2417,916,81,33.0,,,,,,,,,,,,0.5 gr Amnesia Haze shishki import s evropy tgk 28%
2,2,13-08-2020 11:41:40,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0025,2197,833,74,30.0,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
3,3,13-08-2020 11:41:40,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,8,нет,Тбилиси,0.5 гр,0.0021,1831,694,61,25.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
4,4,13-08-2020 11:41:40,Tbilisi,fccfd69694,Бошки OG Kush 05g.,True,6,нет,Тбилиси,0.5 гр,0.0021,1831,694,61,25.0,,,,,,,,,,,,Boshki OG Kush 05g.
5,5,13-08-2020 11:41:40,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,7,нет,Тбилиси,1 гр,0.0047,4028,1526,135,55.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds
6,6,13-08-2020 11:41:40,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,10,нет,Тбилиси,1 гр,0.0051,4394,1665,148,60.0,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,7,13-08-2020 11:41:40,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0051,4394,1665,148,60.0,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
8,8,13-08-2020 11:41:40,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,4,нет,Тбилиси,1 гр,0.0045,3881,1471,130,53.0,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
9,9,13-08-2020 11:41:40,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,1 гр,0.0047,4028,1526,135,55.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
10,10,13-08-2020 11:41:40,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,1 гр,0.0047,4028,1526,135,55.0,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
