,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Zahesi,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
25,01-07-2020 07:22:13,Tbilisi,8B31,GEOWEEDSHOP,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,5,нет,Тбилиси,5 гр,0.0073,4860,1846,166,69,,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
26,01-07-2020 07:22:13,Tbilisi,5LZ,ExtraShop,5г. GEO Марихуана бошки,True,7,нет,Тбилиси,5 гр,0.0142,10496,3986,359,149,,,,,,,,,,5g. GEO Marihuana boshki
27,01-07-2020 07:22:13,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,10,нет,Тбилиси,5 гр,0.0052,3874,1471,133,55,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
28,01-07-2020 07:22:13,Tbilisi,A3I9,Joookerrr,марки н-боом 5шт.,True,3,9,Тбилиси,5 гр,0.0068,4579,1739,157,65,True,,,,,,,,,marki n-boom 5sht.
29,01-07-2020 07:22:13,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,True,6,нет,Тбилиси,10 гр,0.025,16835,6393,577,239,,,,,,,,,,10 gr georgian weed. Package on magnet
30,01-07-2020 07:22:13,Tbilisi,8B31,GEOWEEDSHOP,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,11,нет,Тбилиси,10 гр,0.0136,9087,3451,311,129,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
31,01-07-2020 07:22:13,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,3,нет,Тбилиси,10 гр,0.0457,31699,12038,1086,450,,,,,,,,,,Gashish Evro 10gr
32,01-07-2020 07:22:13,Tbilisi,A3I9,Joookerrr,Марки н-боом 10 шт.,True,5,7,Тбилиси,10 гр,0.0105,7044,2675,241,100,True,,,,,,,,,Marki n-boom 10 sht.
33,01-07-2020 07:22:13,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,7,нет,Тбилиси,10 гр,0.0081,5988,2274,205,85,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
34,01-07-2020 07:22:13,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,3,нет,Тбилиси,10 гр,0.0091,6692,2541,229,95,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
35,01-07-2020 07:23:59,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0476,35221,13375,1206,500,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
36,01-07-2020 07:23:59,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0068,4579,1739,157,65,,,,,,,,,,Silver haze leaves list'ja 15gr sale
37,01-07-2020 07:23:59,Tbilisi,2LY77,SveetWeed,25 GGAMM NEW BEASTWEED,True,1,нет,Тбилиси,25 гр,0.0348,25711,9764,880,365,,,,,,,,,,25 GGAMM NEW BEASTWEED
38,01-07-2020 07:23:59,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2115,140883,53500,4825,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
39,01-07-2020 07:23:59,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" VHQ (1 штука)",True,нет,2,Тбилиси,1 гр,0.0046,3099,1177,106,44,,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
40,01-07-2020 07:23:59,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 1г.,,нет,5,Тбилиси,1 гр,0.0061,4086,1552,140,58,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 1g.
41,01-07-2020 07:23:59,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (2гр)",True,нет,9,Тбилиси,2 гр,0.0094,6340,2408,217,90,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
