,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Varketili,$,Saburtalo,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,11-07-2020 00:24:03,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25,True,3,нет,Тбилиси,0.25 гр,0.0119,8027,3070,275,100,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25
1,11-07-2020 00:24:03,Tbilisi,C36EL,TripGuru,NEW Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.0107,7224,2763,248,90,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,11-07-2020 00:24:03,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,2,нет,Тбилиси,0.5 гр,0.0029,1923,734,66,,True,27,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
3,11-07-2020 00:24:03,Tbilisi,5LZ,ExtraShop,Кокаин HQ 0.5 g.,True,1,нет,Тбилиси,0.5 гр,0.0133,9901,3781,338,,,139,,,,,,,,Kokain HQ 0.5 g.
4,11-07-2020 00:24:03,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,True,10,нет,Тбилиси,0.5 гр,0.0042,2809,1075,96,35,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
5,11-07-2020 00:24:03,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,2,нет,Тбилиси,1 гр,0.0063,4274,1632,146,,,60,True,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,11-07-2020 00:24:03,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,4,нет,Тбилиси,1 гр,0.0063,4274,1632,146,,,60,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,11-07-2020 00:24:03,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0063,4274,1632,146,,,60,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
8,11-07-2020 00:24:03,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,4,нет,Тбилиси,1 гр,0.0063,4274,1632,146,,,60,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
9,11-07-2020 00:24:03,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),,1,нет,Тбилиси,1 гр,0.006,4060,1550,139,,,57,True,,,,,,,1G ---> Big Devil (BTC - Sale)
10,11-07-2020 00:24:03,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,6,нет,Тбилиси,1 гр,0.0052,3490,1333,119,,,49,,,,,,,,1gr HYBRID o.g
11,11-07-2020 00:24:03,Tbilisi,XUYA,MRweed,"Amnesia Haze (photoperiod, regular) 1 гр. Спокойно, Надёжно, Качественно.",True,1,нет,Тбилиси,1 гр,0.0053,3918,1496,134,,,55,,,,,,,,"Amnesia Haze (photoperiod, regular) 1 gr. Spokojno, Nadezhno, Kachestvenno."
12,11-07-2020 00:24:03,Tbilisi,43MUT,Canartvelo,Бошки OG Kush 1g.,True,1,нет,Тбилиси,1 гр,0.0043,2849,1088,97,,,40,,,,,,,,Boshki OG Kush 1g.
13,11-07-2020 00:24:03,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,True,4,нет,Тбилиси,1 гр,0.0072,4816,1842,165,60,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
14,11-07-2020 00:24:03,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,4,нет,Тбилиси,2 гр,0.0105,7052,2693,241,,,99,True,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
15,11-07-2020 00:24:03,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,5,нет,Тбилиси,2 гр,0.0115,7764,2965,265,,,109,True,,,,,,,2 G Hybrid Marijuana Buds
16,11-07-2020 00:24:03,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,2 гр,0.0127,8548,3264,292,,,120,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
17,11-07-2020 00:24:03,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.0127,8548,3264,292,,,120,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
18,11-07-2020 00:24:03,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0127,8548,3264,292,,,120,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
19,11-07-2020 00:24:03,Tbilisi,BB6E,WEEDSH0P,2gr Amnesia Haze Auto сжатая марихуана BUDS,True,2,нет,Тбилиси,2 гр,0.0127,8548,3264,292,,,120,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
20,11-07-2020 00:24:03,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,5,нет,Тбилиси,2 гр,0.0093,6268,2394,214,,,88,,,,,,,,2gr HYBRID buds
21,11-07-2020 00:24:03,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",True,2,нет,Тбилиси,2 гр,0.0106,7835,2992,268,,,110,,True,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
