,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Saburtalo,Gldani,€,Nadzaladevi,Old Tbilisi (Старый город),Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,16-04-2020 10:08:32,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0186,9951,3713,331,135.0,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
1,1,16-04-2020 10:08:32,Tbilisi,f8a875c191,METADON - 0.5 G.,True,6,нет,Тбилиси,0.5 гр,0.0486,25800,9625,858,350.0,,,,,,,,,,,,METADON - 0.5 G.
2,2,16-04-2020 10:08:32,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0191,10320,3850,343,140.0,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
3,3,16-04-2020 10:08:32,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,11,нет,Тбилиси,1 гр,0.0069,4054,1513,135,55.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
4,4,16-04-2020 10:08:32,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,4,нет,Тбилиси,1 гр,0.0054,2875,1073,96,39.0,True,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
5,5,16-04-2020 10:08:32,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,1 гр,0.0078,4202,1568,140,57.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
6,6,16-04-2020 10:08:32,Tbilisi,cb721d4bca,1 гр листя плус галовки марихуана,,1,нет,Тбилиси,1 гр,0.0028,1474,550,49,20.0,,True,,,,,,,,,,1 gr listja plus galovki marihuana
7,7,16-04-2020 10:08:32,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0327,17691,6600,588,240.0,,,,,,,,,,,,VHQ BEST Cocaine 1g.
8,8,16-04-2020 10:08:32,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,12,нет,Тбилиси,1 гр,0.0027,1452,539,48,,,,True,18.0,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
9,9,16-04-2020 10:08:32,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,5,нет,Тбилиси,1 гр,0.0272,14743,5500,490,200.0,,,,,,,,,,,,Kokain HQ 1g.
10,10,16-04-2020 10:08:32,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1125,66343,24750,2206,900.0,,,,,,,,,,,,Metadon 1gr
11,11,16-04-2020 10:08:32,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,3,нет,Тбилиси,1 гр,0.0025,1474,550,49,20.0,,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
12,12,16-04-2020 10:08:32,Tbilisi,83f3d55917,19% ТГК Шишки Northern Lights 1.1г Скидка 1 через БИТКОИН !!!,True,4,нет,Тбилиси,1.1 гр,0.0047,2506,935,83,34.0,,,,,True,,,,,,,19% TGK Shishki Northern Lights 1.1g Skidka 1 cherez BITKOIN !!!
13,13,16-04-2020 10:08:32,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,3,нет,Тбилиси,2 гр,0.0125,7371,2750,245,100.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
14,14,16-04-2020 10:08:32,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,2 гр,0.011000000000000001,5823,2173,194,79.0,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
15,15,16-04-2020 10:08:32,Tbilisi,e56bb6ca93,2gr Indica dominant Buds,True,1,нет,Тбилиси,2 гр,0.0065,3465,1293,115,47.0,,,,,,,,,,,,2gr Indica dominant Buds
16,16,16-04-2020 10:08:32,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,2 гр,0.0097,5160,1925,172,70.0,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
17,17,16-04-2020 10:08:32,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,1,нет,Тбилиси,2 гр,0.0131,7003,2613,233,95.0,,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
18,18,16-04-2020 10:08:32,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,2 гр,0.0044,2580,963,86,35.0,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
19,19,16-04-2020 10:08:32,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,9,нет,Тбилиси,2 гр,0.0117,6266,2338,208,85.0,True,True,,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
20,20,16-04-2020 10:08:32,Tbilisi,366326d4d6,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,3 гр,0.0138,7298,2723,243,99.0,,,,,,,,,,,,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug
21,21,16-04-2020 10:08:32,Tbilisi,4659482266,3g superskunk top class buds. Indica,,3,нет,Тбилиси,3 гр,0.0169,8993,3355,299,122.0,,,True,,,,,,,,,3g superskunk top class buds. Indica
22,22,16-04-2020 10:08:32,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.0146,7740,2888,257,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
23,23,16-04-2020 10:08:32,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,2,нет,Тбилиси,3 гр,0.0138,7371,2750,245,100.0,,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
24,24,16-04-2020 10:08:32,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки!!!,True,6,нет,Тбилиси,4 гр,0.009000000000000001,4840,1797,161,,,,,60.0,,True,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki!!!
25,25,16-04-2020 10:08:32,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0276,14669,5473,488,199.0,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
26,26,16-04-2020 10:08:32,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0422,23589,8800,784,320.0,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
27,27,16-04-2020 10:08:32,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0408,22114,8250,735,300.0,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
28,28,16-04-2020 10:08:32,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),True,6,нет,Тбилиси,5 гр,0.0184,9878,3685,328,134.0,,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
29,29,16-04-2020 10:08:32,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0243,12900,4813,429,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
30,30,16-04-2020 10:08:32,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,5 гр,0.0069,4054,1513,135,55.0,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
31,31,16-04-2020 10:08:32,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,5,нет,Тбилиси,10 гр,0.0287,15406,5748,512,209.0,,,,,,,,,,,,10 gr marijuana buds. -indica-
32,32,16-04-2020 10:08:32,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0549,29412,10973,978,399.0,,,,,,,True,,,,,"10g. Shishki Amnesia Haze, Sativa"
33,33,16-04-2020 10:08:32,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,10 гр,0.0106,6266,2338,208,85.0,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
