,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,05-02-2020 07:43:31,Tbilisi,61df6a1c90,Метадон 0.15гр,True,2,нет,Тбилиси,0.15 гр,0.0125,8246,3257,279,130.0,,,,,,,,,,,Metadon 0.15gr
1,1,05-02-2020 07:43:31,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,9,нет,Тбилиси,0.25 гр,0.0174,11418,4509,387,180.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,05-02-2020 07:43:31,Tbilisi,c72111ac1a,"NZT-52 mind storm limited 0,3г мука",True,7,нет,Тбилиси,0.3 гр,0.0068,4440,1754,150,70.0,,,,,,,,,,,"NZT-52 mind storm limited 0,3g muka"
3,3,05-02-2020 07:43:31,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,2,нет,Тбилиси,0.5 гр,0.0128,7549,2981,256,119.0,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
4,4,05-02-2020 07:43:31,Tbilisi,366326d4d6,0.5 g. Ketamine,True,7,нет,Тбилиси,0.5 гр,0.0063,3743,1478,127,59.0,,,,,,,,,,,0.5 g. Ketamine
5,5,05-02-2020 07:43:31,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,9,нет,Тбилиси,0.5 гр,0.0118,6978,2756,236,110.0,,,,,,,,,,,"Cocaine, 0.5 g"
6,6,05-02-2020 07:43:31,Tbilisi,be97026d1d,Columbia Cocaine VHQ 0.5 BTC SALE 5%,True,4,нет,Тбилиси,0.5 гр,0.0109,6661,2630,226,105.0,,,,,,,,,,,Columbia Cocaine VHQ 0.5 BTC SALE 5%
7,7,05-02-2020 07:43:31,Tbilisi,28bf667d16,Hashish Ice-o-lator 0.5g Promotion -5% for Bitcoin,True,12,нет,Тбилиси,0.5 гр,0.0041,2537,1002,86,40.0,,,,,,,,,,,Hashish Ice-o-lator 0.5g Promotion -5% for Bitcoin
8,8,05-02-2020 07:43:31,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0064,3806,1503,129,60.0,,,,,,,,,,,Ketamine 0.5g
9,9,05-02-2020 07:43:31,Tbilisi,be97026d1d,MDMA from Europe!!! 0.5g BTC SALE 5%,True,3,нет,Тбилиси,0.5 гр,0.005,3045,1202,103,48.0,,,,,,,,,,,MDMA from Europe!!! 0.5g BTC SALE 5%
10,10,05-02-2020 07:43:31,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0289,19030,7515,644,300.0,,,,,,,,,,,Metadon VHQ 0.5 24/7
11,11,05-02-2020 07:43:31,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,3,нет,Тбилиси,0.5 гр,0.0106,6280,2480,213,99.0,,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
12,12,05-02-2020 07:43:31,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0105,6914,2730,234,109.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
13,13,05-02-2020 07:43:31,Tbilisi,dd631c4acf,❄❄❄0.5g HQ COCAINE❄❄❄,True,3,нет,Тбилиси,0.5 гр,0.0106,6280,2480,213,99.0,,,,,,,,,,,❄❄❄0.5g HQ COCAINE❄❄❄
14,14,05-02-2020 07:43:31,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,19,нет,Тбилиси,0.8 гр,0.0127,7612,3006,258,120.0,,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
15,15,05-02-2020 07:43:31,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,4,нет,Тбилиси,1 гр,0.0043,2855,1127,97,45.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
16,16,05-02-2020 07:43:31,Tbilisi,7ee4f68218,1 g Ketamine / 1 гр Кетамин (скидка в биткоин),True,1,нет,Тбилиси,1 гр,0.0072,4758,1879,161,75.0,,,,,,,,,,,1 g Ketamine / 1 gr Ketamin (skidka v bitkoin)
17,17,05-02-2020 07:43:31,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,,5,нет,Тбилиси,1 гр,0.0041,2474,977,84,39.0,True,,,,,,,,,,1G -- AK-47 -> Sativa
18,18,05-02-2020 07:43:31,Tbilisi,3e177bb968,1gr Pineapple chunk VHQ Buds Imported quality,True,1,нет,Тбилиси,1 гр,0.0051,3045,1202,103,48.0,,,,,,,,,,,1gr Pineapple chunk VHQ Buds Imported quality
19,19,05-02-2020 07:43:31,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,1 гр,0.0096,5961,2350,202,,,85.0,,,,,,,,,1gr mdma (skidka v bitkoin 5%)
20,20,05-02-2020 07:43:31,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,1 гр,0.0212,12560,4960,425,198.0,,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
21,21,05-02-2020 07:43:31,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,10,нет,Тбилиси,1 гр,0.0127,7612,3006,258,120.0,,,,,,,,,,,Apvp VHQ 1g 24/7
22,22,05-02-2020 07:43:31,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,14,нет,Тбилиси,1 гр,0.0236,13956,5511,473,220.0,,,,,,,,,,,"Cocaine, 1g"
23,23,05-02-2020 07:43:31,Tbilisi,28bf667d16,Crystal Mephedrone 1g,True,2,нет,Тбилиси,1 гр,0.0116,6914,2730,234,109.0,,,,,,,,,,,Crystal Mephedrone 1g
24,24,05-02-2020 07:43:31,Tbilisi,2fdc22f2b2,HASH Mexicana 1 g SALE -10% for bitcoin.,True,6,нет,Тбилиси,1 гр,0.0069,4558,1797,154,,,65.0,,,,,,,,,HASH Mexicana 1 g SALE -10% for bitcoin.
25,25,05-02-2020 07:43:31,Tbilisi,8219f5e7b8,Ketamine 1g,True,10,нет,Тбилиси,1 гр,0.0107,6343,2505,215,100.0,,,,,,,,,,,Ketamine 1g
26,26,05-02-2020 07:43:31,Tbilisi,366326d4d6,Ketamine 1g.,True,5,нет,Тбилиси,1 гр,0.0095,5646,2229,191,89.0,,,,,,,,,,,Ketamine 1g.
27,27,05-02-2020 07:43:31,Tbilisi,be97026d1d,MDMA from Europe!!! 1.0g BTC SALE 5%,True,8,нет,Тбилиси,1 гр,0.0099,6026,2380,204,95.0,,,,,,,,,,,MDMA from Europe!!! 1.0g BTC SALE 5%
28,28,05-02-2020 07:43:31,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0482,31717,12525,1074,500.0,,,,,,,,,,,Metadon VHQ 1 24/7
29,29,05-02-2020 07:43:31,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,4,нет,Тбилиси,1 гр,0.0192,11355,4484,385,179.0,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
30,30,05-02-2020 07:43:31,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,8,нет,Тбилиси,1 гр,0.0135,8881,3507,301,140.0,,,,,,,,,,,NZT-52 mind storm limited 1g muka
31,31,05-02-2020 07:43:31,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0192,12623,4985,427,199.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
32,32,05-02-2020 07:43:31,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0192,12623,4985,427,199.0,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
33,33,05-02-2020 07:44:17,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0199,11989,4734,406,189.0,,,,,,,,,,,Kokain HQ 1g.
34,34,05-02-2020 07:44:17,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,5,нет,Тбилиси,1 гр,0.0211,12623,4985,427,199.0,,,True,,,,,,,,Kokain KOLUMBIA 1g
35,35,05-02-2020 07:44:17,Tbilisi,e8a987a33c,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0478,28545,11273,967,450.0,,,,,,,,,,,"Metadon, 1gr"
36,36,05-02-2020 07:44:17,Tbilisi,6b3ed5f127,мощный гибрид /hybrid weed 1g strong,,9,нет,Тбилиси,1 гр,0.0034,2220,877,75,35.0,True,,,,,,,,,,moschnyj gibrid /hybrid weed 1g strong
37,37,05-02-2020 07:44:17,Tbilisi,2dbb5960b9,Methadone HQ in city 1.3g,True,3,нет,Тбилиси,1.3 гр,0.0584,34889,13778,1181,550.0,,,,,,,,,,,Methadone HQ in city 1.3g
38,38,05-02-2020 07:44:17,Tbilisi,7ee4f68218,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,2 гр,0.0079,4909,1936,166,,,70.0,,,,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
39,39,05-02-2020 07:44:17,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,2 гр,0.0386,22836,9018,773,360.0,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
40,40,05-02-2020 07:44:17,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,2,нет,Тбилиси,2 гр,0.04,24422,9644,827,385.0,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
41,41,05-02-2020 07:44:17,Tbilisi,3c4662c591,Hybrid Marijuana High Quality 2G,True,1,нет,Тбилиси,2 гр,0.0085,5075,2004,172,80.0,,,,,,,,,,,Hybrid Marijuana High Quality 2G
42,42,05-02-2020 07:44:17,Tbilisi,8219f5e7b8,Ketamine 2 g,True,5,нет,Тбилиси,2 гр,0.0193,11418,4509,387,180.0,,,,,,,,,,,Ketamine 2 g
43,43,05-02-2020 07:44:17,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,5,нет,Тбилиси,2 гр,0.0075,4440,1754,150,70.0,,,,,,,,,,,"LSD - 250 ug, 2 pieces"
