,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
24,24,04-03-2020 20:02:53,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,4,Тбилиси,0.35 гр,0.0332,19824,7482,671,300.0,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
25,25,04-03-2020 20:02:53,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,нет,5,Тбилиси,1.1 гр,0.0718,42951,16211,1453,650.0,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
26,26,04-03-2020 20:02:53,Tbilisi,cb721d4bca,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,3,Тбилиси,2 гр,0.0183,11035,4165,373,167.0,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
27,27,04-03-2020 20:02:53,Tbilisi,cb721d4bca,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,нет,3,Тбилиси,2 гр,0.0181,12167,4584,410,,165.0,,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
28,28,04-03-2020 20:02:53,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!! (ПОДЪЕЗД!!!),True,нет,1,Тбилиси,2 гр,0.0388,23458,8854,794,355.0,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!! (POD'EZD!!!)
29,29,04-03-2020 20:02:53,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,4,Тбилиси,3 гр,0.0652,38986,14715,1319,590.0,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
30,30,04-03-2020 20:02:53,Tbilisi,dd631c4acf,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,True,нет,1,Тбилиси,3 гр,0.0188,12489,4714,422,189.0,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
31,31,04-03-2020 20:02:53,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0438,26431,9976,894,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
32,32,04-03-2020 20:02:53,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0602,36343,13717,1229,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
33,33,04-03-2020 20:02:53,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0263,15859,5986,536,240.0,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
34,34,04-03-2020 20:02:53,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0274,16520,6235,559,250.0,,,,,,,,5 gr Shishki “OG KUSH VHQ”
35,35,04-03-2020 20:02:53,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0274,16520,6235,559,250.0,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
36,36,04-03-2020 20:03:54,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0217,13150,4963,445,199.0,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
37,37,04-03-2020 20:03:54,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0273,16520,6235,559,250.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
38,38,04-03-2020 20:03:54,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0217,14471,5462,490,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
39,39,04-03-2020 20:03:54,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0331,19824,7482,671,300.0,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
40,40,04-03-2020 20:03:54,Tbilisi,be97026d1d,MDMA from Europe!!! 5g BTC SALE 5%(ПОДЪЕЗД!!!),True,нет,2,Тбилиси,5 гр,0.0431,26101,9851,883,395.0,,,,,,,,MDMA from Europe!!! 5g BTC SALE 5%(POD'EZD!!!)
41,41,04-03-2020 20:03:54,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0273,16520,6235,559,250.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
42,42,04-03-2020 20:03:54,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,16,Тбилиси,5 гр,0.0199,13216,4988,447,200.0,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
43,43,04-03-2020 20:03:54,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2854,190000,87429,6398,,,,,,,,,reagent 25i nbome. 5gr
44,44,04-03-2020 20:03:54,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2978,198235,74820,6706,3000.0,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
45,45,04-03-2020 20:03:54,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.0947,56761,21423,1920,859.0,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
46,46,04-03-2020 20:03:54,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0204,12225,4614,414,185.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
47,47,04-03-2020 20:03:54,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0539,32312,12196,1093,489.0,,,,,,,,💘✨5g. MDMA ✨💘
48,48,04-03-2020 20:03:54,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0363,21740,8205,735,329.0,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
