,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Nadzaladevi,Saburtalo,Zahesi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,28-06-2020 22:13:12,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,3,нет,Тбилиси,0.25 гр,0.0099,6824,2653,235,88.0,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,28-06-2020 22:13:12,Tbilisi,21e6be39fb,"Black Gerain, Sirec VHQ 0.4g",,1,нет,Тбилиси,0.4 гр,0.0123,8295,3228,286,,True,120.0,,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
2,2,28-06-2020 22:13:12,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,4,нет,Тбилиси,0.5 гр,0.0034,2281,888,79,,True,33.0,,,,,,,,,0.5 gr HYBRID buds
3,3,28-06-2020 22:13:12,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",,5,нет,Тбилиси,0.5 гр,0.0144,9678,3766,334,,True,140.0,,,,,,,,,"Black Geroin, Sirec 0.5g"
4,4,28-06-2020 22:13:12,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,4,нет,Тбилиси,0.5 гр,0.0031,2074,807,72,,,30.0,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
5,5,28-06-2020 22:13:12,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,11,нет,Тбилиси,1 гр,0.0062,4148,1614,143,,,60.0,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,6,28-06-2020 22:13:12,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,14,нет,Тбилиси,1 гр,0.0054,3664,1426,126,,,53.0,,True,,,,,,,1G ---> Big Devil (BTC - Sale)
7,7,28-06-2020 22:13:12,Tbilisi,64284550d9,1G ---> Pineapple (BTC - Sale),,11,нет,Тбилиси,1 гр,0.0051,3456,1345,119,,True,50.0,,,,,,,,,1G ---> Pineapple (BTC - Sale)
8,8,28-06-2020 22:13:12,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,1,нет,Тбилиси,1 гр,0.0062,4148,1614,143,,True,60.0,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
9,9,28-06-2020 22:13:12,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,1 гр,0.005,3387,1318,117,,True,49.0,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
10,10,28-06-2020 22:13:12,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,2,нет,Тбилиси,2 гр,0.0102,6844,2663,236,,,99.0,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
11,11,28-06-2020 22:13:12,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,1,нет,Тбилиси,2 гр,0.0113,7604,2959,262,,,110.0,,,True,,,,,,2 gr top buds white widow wishki THC 25% VHQ
12,12,28-06-2020 22:13:12,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,2 гр,0.0077,5185,2018,179,,True,75.0,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
13,13,28-06-2020 22:13:12,Tbilisi,16a8841259,листя+бошки в трихомах 2г,,2,нет,Тбилиси,2 гр,0.0037,2765,1076,95,,True,40.0,,,,,,,,,listja+boshki v trihomah 2g
14,14,28-06-2020 22:13:12,Tbilisi,aeb8abccb9,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0087,5876,2287,203,,,85.0,,True,,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
15,15,28-06-2020 22:13:12,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,22,нет,Тбилиси,3 гр,0.0089,6014,2340,207,,True,87.0,,,,True,,,,,3 gr georgian weed. Package on magnet
16,16,28-06-2020 22:13:12,Tbilisi,7bd1a5deba,5 + GRAMM NEW BEASTWEED,,2,нет,Тбилиси,5 гр,0.0098,7258,2825,250,,True,105.0,,,,,,,,,5 + GRAMM NEW BEASTWEED
17,17,28-06-2020 22:13:12,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,18,нет,Тбилиси,5 гр,0.0072,4770,1856,164,,True,69.0,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
18,18,28-06-2020 22:13:12,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,,7,нет,Тбилиси,5 гр,0.0139,10300,4008,355,,True,149.0,,,,,,,,,5g. GEO Marihuana boshki
19,19,28-06-2020 22:13:12,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,3,нет,Тбилиси,5 гр,0.0051,3802,1480,131,,True,55.0,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
20,20,28-06-2020 22:13:12,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,9,нет,Тбилиси,10 гр,0.0246,16522,6429,570,,True,239.0,,,,,,,,,10 gr georgian weed. Package on magnet
21,21,28-06-2020 22:13:12,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,15,нет,Тбилиси,10 гр,0.0134,8918,3470,308,,True,129.0,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
22,22,28-06-2020 22:13:12,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,3,нет,Тбилиси,10 гр,0.0448,31108,12105,1073,,True,450.0,,,,,,,,,Gashish Evro 10gr
23,23,28-06-2020 22:13:12,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,3,нет,Тбилиси,10 гр,0.0079,5876,2287,203,,True,85.0,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
24,24,28-06-2020 22:13:12,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",,3,нет,Тбилиси,10 гр,0.0089,6567,2556,226,,True,95.0,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
25,25,28-06-2020 22:13:12,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,,2,нет,Тбилиси,11 гр,0.0168,12443,4842,429,,True,180.0,,,,,,,,,11+ GRAMM BEASTWEED NEW
26,26,28-06-2020 22:13:12,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0467,34564,13450,1192,,True,500.0,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
27,27,28-06-2020 22:13:12,Tbilisi,ae784bef73,Silver haze leaves листья 15гр,,8,нет,Тбилиси,15 гр,0.0093,6222,2421,215,,True,90.0,,,,,,,,,Silver haze leaves list'ja 15gr
28,28,28-06-2020 22:13:12,Tbilisi,9610a68a0a,GABAGAMA 40 SHTUK,,1,нет,Тбилиси,40 гр,0.0051,3456,1345,119,,True,50.0,,,,,,,,,GABAGAMA 40 SHTUK
29,29,28-06-2020 22:13:12,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2074,138257,53800,4768,,True,2000.0,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
30,30,28-06-2020 22:13:12,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",,нет,4,Тбилиси,1 гр,0.0046,3111,1211,107,,True,45.0,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
31,31,28-06-2020 22:13:12,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",,нет,9,Тбилиси,2 гр,0.0093,6222,2421,215,,True,90.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
32,32,28-06-2020 22:13:12,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,2,Тбилиси,2 гр,0.0514,34219,13316,1180,,True,495.0,,,,,,,,,❄❄2g HQ COCAINE❄❄
33,33,28-06-2020 22:13:12,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),,нет,9,Тбилиси,2.2 гр,0.0086,5816,2261,201,75.0,True,,,,,,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
34,34,28-06-2020 22:13:12,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",,нет,6,Тбилиси,3 гр,0.0123,8295,3228,286,,True,120.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
35,35,28-06-2020 22:15:12,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0769,51155,19906,1764,,True,740.0,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
36,36,28-06-2020 22:15:12,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,6,Тбилиси,4 гр,0.0412,27651,10760,954,,True,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
37,37,28-06-2020 22:15:12,Tbilisi,54915c4374,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),,нет,9,Тбилиси,4 гр,0.0123,8295,3228,286,,True,120.0,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
38,38,28-06-2020 22:15:12,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0257,17282,6725,596,,True,250.0,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
39,39,28-06-2020 22:15:12,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0566,38021,14795,1311,,True,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
40,40,28-06-2020 22:15:12,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0278,18665,7263,644,,True,270.0,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
