,Unnamed: 0,time_stamp,region,sell_code,description,Авлобари,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Varketili,Old Tbilisi (Старый город),Saburtalo,Nadzaladevi,Gldani,Vazisubani,€,Центр,Батуми,Кутаиси,desc_en
24,24,03-05-2020 14:12:37,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,,2,нет,Тбилиси,5 гр,0.0184,12727,4760,423,175.0,True,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
25,25,03-05-2020 14:12:37,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 5g TOP VHQ,,,6,нет,Тбилиси,5 гр,0.0167,11636,4352,386,160.0,True,,,,,,,,,,,AKA-47 ONLY BUDS 5g TOP VHQ
26,26,03-05-2020 14:12:37,Tbilisi,83f3d55917,!!!New!!!(Hawaiian sativa 8G ) 20%THC Sale .,,,1,нет,Тбилиси,8 гр,0.0396,27636,10336,917,380.0,,,,,,,True,,,,,!!!New!!!(Hawaiian sativa 8G ) 20%THC Sale .
27,27,03-05-2020 14:12:37,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,,4,нет,Тбилиси,10 гр,0.0218,15200,5685,505,209.0,True,,,True,,,,,,,,10 gr marijuana buds. -indica-
28,28,03-05-2020 14:12:37,Tbilisi,c225d2f67d,гашиш евро 10г,,,2,нет,Тбилиси,10 гр,0.04,29091,10880,966,400.0,True,,,,,,,,,,,gashish evro 10g
29,29,03-05-2020 14:12:37,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,True,10,нет,Тбилиси,20 гр,0.0422,29454,11016,978,405.0,True,,,True,,,,,,,,20 gr Indica marijuana buds (hight quality)
30,30,03-05-2020 14:12:37,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,,1,нет,Тбилиси,20 гр,0.0778,56508,21134,1876,777.0,True,,,,,,,,,,,Gashish Evro 20gr
31,31,03-05-2020 14:12:37,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,,1,нет,Тбилиси,60 гр,0.1897,145453,54400,4829,2000.0,True,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
32,32,03-05-2020 14:12:37,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",,,нет,14,Тбилиси,0.2 гр,0.0041,2836,1061,94,39.0,True,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
33,33,03-05-2020 14:12:37,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",,,нет,7,Тбилиси,1 гр,0.0167,11636,4352,386,160.0,True,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
34,34,03-05-2020 14:12:37,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",,,нет,2,Тбилиси,1 гр,0.0141,9818,3672,326,135.0,True,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
35,35,03-05-2020 14:12:37,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,,нет,1,Тбилиси,1 гр,0.034,26109,9801,867,,True,,,,,,,330.0,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
36,36,03-05-2020 14:13:33,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 2 штуки!",,,нет,44,Тбилиси,2 гр,0.0036,2545,952,85,35.0,True,,,,,,,,,,,"""JoKer Express"" - Marki n boom 2 shtuki!"
37,37,03-05-2020 14:13:33,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,,нет,5,Тбилиси,2 гр,0.0221,15273,5712,507,210.0,True,,,,,,,,,,,✨✨2gram. MDMA✨✨
38,38,03-05-2020 14:13:33,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,,нет,2,Тбилиси,2 гр,0.0089,6182,2312,205,85.0,,,,True,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
39,39,03-05-2020 14:13:33,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,,нет,5,Тбилиси,2 гр,0.0388,26836,10037,891,369.0,True,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
40,40,03-05-2020 14:13:33,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,,нет,10,Тбилиси,3 гр,0.0609,42109,15749,1398,579.0,True,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
41,41,03-05-2020 14:13:33,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,,нет,7,Тбилиси,4 гр,0.0417,29091,10880,966,400.0,True,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
42,42,03-05-2020 14:13:33,Tbilisi,54915c4374,Предзаказ н-бооом 4 штуки!!!,,,нет,6,Тбилиси,4 гр,0.0063,4364,1632,145,60.0,True,,,,,,,,,,,Predzakaz n-booom 4 shtuki!!!
43,43,03-05-2020 14:13:33,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,,нет,4,Тбилиси,4 гр,0.0146,10182,3808,338,140.0,,,,True,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
44,44,03-05-2020 14:13:33,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,,нет,5,Тбилиси,5 гр,0.0573,39999,14960,1328,550.0,True,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
45,45,03-05-2020 14:13:33,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,,нет,10,Тбилиси,5 гр,0.024,16727,6256,555,230.0,True,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
46,46,03-05-2020 14:13:33,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,,нет,3,Тбилиси,5 гр,0.025,17454,6528,579,240.0,True,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
47,47,03-05-2020 14:13:33,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,,нет,9,Тбилиси,5 гр,0.025,17454,6528,579,240.0,True,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
