,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
0,0,20-07-2020 08:37:58,Tbilisi,16a8841259,0.5г Northen Light,True,8,нет,Тбилиси,0.5 гр,0.0033,2223,857,74,31.0,,,,,,,,,,0.5g Northen Light
1,1,20-07-2020 08:37:58,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0036,2438,940,82,34.0,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
2,2,20-07-2020 08:37:58,Tbilisi,52fe6d0af9,New !!! VHQ Ketamine Imported!! New!!! 0.5G,,5,нет,Тбилиси,0.5 гр,0.0114,7745,2986,259,108.0,True,,,,,,,,,New !!! VHQ Ketamine Imported!! New!!! 0.5G
3,3,20-07-2020 08:37:58,Tbilisi,8e86176694,Шишки в состоянии киффа!! 0.5g,,1,нет,Тбилиси,0.5 гр,0.0028,2080,802,70,29.0,True,,,,,,,,,Shishki v sostojanii kiffa!! 0.5g
4,4,20-07-2020 08:37:58,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,2,нет,Тбилиси,1 гр,0.0063,4303,1659,144,60.0,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
5,5,20-07-2020 08:37:58,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,10,нет,Тбилиси,1 гр,0.0063,4303,1659,144,60.0,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
6,6,20-07-2020 08:37:58,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,3,нет,Тбилиси,1 гр,0.0058,3944,1521,132,55.0,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
7,7,20-07-2020 08:37:58,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,3,нет,Тбилиси,1 гр,0.0062,4231,1631,142,59.0,,,,,,,,,,1 gr super lemon haze probnik
8,8,20-07-2020 08:37:58,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,2,нет,Тбилиси,1 гр,0.0063,4303,1659,144,60.0,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
9,9,20-07-2020 08:37:58,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,1 гр,0.0062,4231,1631,142,59.0,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
10,10,20-07-2020 08:37:58,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,5,нет,Тбилиси,1 гр,0.0063,4303,1659,144,60.0,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
