,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Vazisubani,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Varketili,Батуми,Центр,€,desc_en
0,13-08-2020 02:38:23,Tbilisi,7U9YP,ChitosPizz,Очень мощный Сирец из Ирана 0.3гр,True,28,нет,Тбилиси,0.3 гр,0.0065,5859,2220,197,80,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
1,13-08-2020 02:38:23,Tbilisi,03F3,geoshop,0.5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,9,нет,Тбилиси,0.5 гр,0.0028,2417,916,81,33,,,,,,,,,,,,0.5 gr Amnesia Haze shishki import s evropy tgk 28%
2,13-08-2020 02:38:23,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0025,2197,833,74,30,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
3,13-08-2020 02:38:23,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,8,нет,Тбилиси,0.5 гр,0.0021,1831,694,61,25,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
4,13-08-2020 02:38:23,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,7,нет,Тбилиси,1 гр,0.0046,4028,1526,135,55,,,,,,,,,,,,1 G Hybrid Marijuana Buds
5,13-08-2020 02:38:23,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,10,нет,Тбилиси,1 гр,0.005,4394,1665,148,60,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
6,13-08-2020 02:38:23,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.005,4394,1665,148,60,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
7,13-08-2020 02:38:23,Tbilisi,7R3WM,RastaShop,1 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid,,2,нет,Тбилиси,1 гр,0.0044,3808,1443,128,52,True,,,,,,,,,,,1 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid
8,13-08-2020 02:38:23,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,4,нет,Тбилиси,1 гр,0.0045,3881,1471,130,53,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
9,13-08-2020 02:38:23,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,4,нет,Тбилиси,1 гр,0.0046,4028,1526,135,55,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
