,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Vake,Varketili,€,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,21-02-2020 17:41:15,Tbilisi,61df6a1c90,Метадон 0.15гр,True,2,нет,Тбилиси,0.15 гр,0.0118,8359,3186,287,130.0,,,,,,,,,,,,Metadon 0.15gr
1,1,21-02-2020 17:41:15,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,3,нет,Тбилиси,0.25 гр,0.01,6430,2451,220,100.0,,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,2,21-02-2020 17:41:15,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,2,нет,Тбилиси,0.25 гр,0.0163,11574,4412,397,180.0,,,,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,21-02-2020 17:41:15,Tbilisi,8ddca45a78,"0,5g BLUE CHEESE Indica THC 18% / BTC -10% sale",True,4,нет,Тбилиси,0.5 гр,0.0023,1608,613,55,25.0,,,,,,,,,,,,"0,5g BLUE CHEESE Indica THC 18% / BTC -10% sale"
4,4,21-02-2020 17:41:15,Tbilisi,8ddca45a78,"0,5g PURPLE HAZE Sativa THC 19% / BTC -10% sale",True,1,нет,Тбилиси,0.5 гр,0.0023,1608,613,55,25.0,,,,,,,,,,,,"0,5g PURPLE HAZE Sativa THC 19% / BTC -10% sale"
5,5,21-02-2020 17:41:15,Tbilisi,4a91350669,0.5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,1,нет,Тбилиси,0.5 гр,0.006999999999999999,4501,1716,154,70.0,,,,,,,,,,,,0.5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
6,6,21-02-2020 17:41:15,Tbilisi,366326d4d6,0.5 g. Ketamine,True,8,нет,Тбилиси,0.5 гр,0.0059,3794,1446,130,59.0,,,,,,,,,,,,0.5 g. Ketamine
7,7,21-02-2020 17:41:15,Tbilisi,7c395c455d,0.5 gr mdma Кристаллы очен силни импорт с европи,True,1,нет,Тбилиси,0.5 гр,0.0065,4180,1593,143,65.0,,,,,,,,,,,,0.5 gr mdma Kristally ochen silni import s evropi
8,8,21-02-2020 17:41:15,Tbilisi,21de5577be,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,11,нет,Тбилиси,0.5 гр,0.0029,1865,711,64,29.0,True,True,,,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
9,9,21-02-2020 17:41:15,Tbilisi,cb721d4bca,"0.5 mdma very strong best quality , import califronia , лучши мдма на саите",True,1,нет,Тбилиси,0.5 гр,0.006999999999999999,4501,1716,154,70.0,,,,,,,,,,,,"0.5 mdma very strong best quality , import califronia , luchshi mdma na saite"
10,10,21-02-2020 17:41:15,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.009000000000000001,6366,2426,218,99.0,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
11,11,21-02-2020 17:41:15,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,9,нет,Тбилиси,0.5 гр,0.0111,7073,2696,243,110.0,,,,,,,,,,,,"Cocaine, 0.5 g"
12,12,21-02-2020 17:41:15,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,10,нет,Тбилиси,0.5 гр,0.006,3858,1471,132,60.0,,,,,,,,,,,,Ketamine 0.5g
13,13,21-02-2020 17:41:15,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,1,нет,Тбилиси,0.5 гр,0.0263,18647,7108,639,290.0,,,,,,,,,,,,Metadon VHQ 0.5 24/7
14,14,21-02-2020 17:41:15,Tbilisi,edfbad0151,Pineapple Express 0.5G pressed buds only (hydro),True,1,нет,Тбилиси,0.5 гр,0.0028,1800,686,62,28.0,,,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
15,15,21-02-2020 17:41:15,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,9,нет,Тбилиси,0.5 гр,0.0104,7009,2672,240,109.0,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
16,16,21-02-2020 17:41:15,Tbilisi,61df6a1c90,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0272,19290,7353,661,300.0,,,,,,,,,,,,Metadon 0.6gr
17,17,21-02-2020 17:41:15,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,3,нет,Тбилиси,0.8 гр,0.015,9645,3677,331,150.0,,,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
18,18,21-02-2020 17:41:15,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,5,нет,Тбилиси,1 гр,0.0041,2894,1103,99,45.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
19,19,21-02-2020 17:41:15,Tbilisi,4a91350669,1 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,8,нет,Тбилиси,1 гр,0.012,7716,2941,265,120.0,,,,,,,,,,,,1 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
20,20,21-02-2020 17:41:15,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,8,нет,Тбилиси,1 гр,0.012,7716,2941,265,120.0,,,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
21,21,21-02-2020 17:41:15,Tbilisi,bb1791277e,1 gr сжатая марихуана EUPHORIA шишки low thc.,True,8,нет,Тбилиси,1 гр,0.0035,2251,858,77,35.0,,,,,,,,,,,,1 gr szhataja marihuana EUPHORIA shishki low thc.
22,22,21-02-2020 17:41:15,Tbilisi,21de5577be,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,13,нет,Тбилиси,1 гр,0.0045,2894,1103,99,45.0,True,True,True,True,,,,,,,,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
23,23,21-02-2020 17:41:15,Tbilisi,cb721d4bca,"1 mdma very strong best quality , import califronia , лучши мдма на саите",True,8,нет,Тбилиси,1 гр,0.013000000000000001,8359,3186,287,130.0,,,,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
24,24,21-02-2020 17:41:15,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,3,нет,Тбилиси,1 гр,0.0085,5466,2083,187,85.0,,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
25,25,21-02-2020 17:41:15,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,,6,нет,Тбилиси,1 гр,0.0036,2379,907,82,37.0,True,,,,,,,,,,,1G -- AK-47 -> Sativa
26,26,21-02-2020 17:41:15,Tbilisi,8ddca45a78,1g BLUE CHEESE Indica THC 18% / BTC -10% sale,True,1,нет,Тбилиси,1 гр,0.0035,2508,956,86,39.0,,,,,,,,,,,,1g BLUE CHEESE Indica THC 18% / BTC -10% sale
27,27,21-02-2020 17:41:15,Tbilisi,366326d4d6,1g MDMA - !!!NEW!!! - Purity 93%,True,2,нет,Тбилиси,1 гр,0.011000000000000001,7009,2672,240,109.0,,,,,,,,,,,,1g MDMA - !!!NEW!!! - Purity 93%
28,28,21-02-2020 17:41:15,Tbilisi,8ddca45a78,1g NORTHERN LIGHTS Indica THC 20% / BTC -10% sale,True,1,нет,Тбилиси,1 гр,0.0035,2508,956,86,39.0,,,,,,,,,,,,1g NORTHERN LIGHTS Indica THC 20% / BTC -10% sale
29,29,21-02-2020 17:41:15,Tbilisi,8ddca45a78,1g PURPLE HAZE Sativa THC 19% / BTC -10% sale,True,1,нет,Тбилиси,1 гр,0.0035,2508,956,86,39.0,,,,,,,,,,,,1g PURPLE HAZE Sativa THC 19% / BTC -10% sale
30,30,21-02-2020 17:41:15,Tbilisi,3e177bb968,1gr Green Poison Strong Hybrid VHQ Buds,,2,нет,Тбилиси,1 гр,0.0048,3086,1176,106,48.0,True,,,,,,,,,,,1gr Green Poison Strong Hybrid VHQ Buds
31,31,21-02-2020 17:42:04,Tbilisi,3e177bb968,1gr Green Poison Strong Hybrid VHQ Buds,,2,нет,Тбилиси,1 гр,0.0048,3086,1176,106,48.0,True,,,,,,,,,,,1gr Green Poison Strong Hybrid VHQ Buds
32,32,21-02-2020 17:42:04,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,1 гр,0.0085,5466,2083,187,85.0,,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
33,33,21-02-2020 17:42:04,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,6,нет,Тбилиси,1 гр,0.02,12732,4853,437,198.0,,,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
34,34,21-02-2020 17:42:04,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0172,12217,4657,419,190.0,,,,,,,,,,,,Cocaine Pure VHQ 1g
35,35,21-02-2020 17:42:04,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,1,нет,Тбилиси,1 гр,0.0222,14146,5392,485,220.0,,,,,,,,,,,,"Cocaine, 1g"
36,36,21-02-2020 17:42:04,Tbilisi,28bf667d16,Hashish Ice-o-lator 1g,True,10,нет,Тбилиси,1 гр,0.0076,4887,1863,168,76.0,,,,,,,,,,,,Hashish Ice-o-lator 1g
37,37,21-02-2020 17:42:04,Tbilisi,8219f5e7b8,Ketamine 1g,True,7,нет,Тбилиси,1 гр,0.0101,6430,2451,220,100.0,,,,,,,,,,,,Ketamine 1g
38,38,21-02-2020 17:42:04,Tbilisi,366326d4d6,Ketamine 1g.,True,2,нет,Тбилиси,1 гр,0.009000000000000001,5723,2181,196,89.0,,,,,,,,,,,,Ketamine 1g.
39,39,21-02-2020 17:42:04,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,5,нет,Тбилиси,1 гр,0.004,2572,980,88,40.0,,,,,,,,,,,,"LSD - 250 ug, 1piece"
40,40,21-02-2020 17:42:04,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,1,нет,Тбилиси,1 гр,0.0454,32150,12255,1102,500.0,,,,,,,,,,,,Metadon VHQ 1 24/7
41,41,21-02-2020 17:42:04,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,3,нет,Тбилиси,1 гр,0.019,12153,4632,417,189.0,,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
42,42,21-02-2020 17:42:04,Tbilisi,edfbad0151,THC Snow Buds Only 1G (THC 23+%),True,8,нет,Тбилиси,1 гр,0.0046,3022,1152,104,47.0,,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
43,43,21-02-2020 17:42:04,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,4,нет,Тбилиси,1 гр,0.0191,12796,4877,439,199.0,,,,,,,,,,,,VHQ BEST Cocaine 1g.
44,44,21-02-2020 17:42:04,Tbilisi,3814ba5701,Weed From Gali(THC 23%) 1gr,True,1,нет,Тбилиси,1 гр,0.0048,3215,1226,110,50.0,,,,,,,,,,,,Weed From Gali(THC 23%) 1gr
45,45,21-02-2020 17:42:04,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0163,10931,4167,375,170.0,,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
46,46,21-02-2020 17:42:04,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0187,12153,4632,417,189.0,,,,,,,,,,,,Kokain HQ 1g.
47,47,21-02-2020 17:42:04,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0179,11510,4387,395,179.0,,,True,,,,,,,,,Kokain KOLUMBIA 1g
48,48,21-02-2020 17:42:04,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0408,28935,11030,992,450.0,,,,,,,,,,,,Metadon 1gr
49,49,21-02-2020 17:42:04,Tbilisi,e8a987a33c,"Метадон, 1gr",True,3,нет,Тбилиси,1 гр,0.0399,25720,9804,882,400.0,,,,,,,,,,,,"Metadon, 1gr"
50,50,21-02-2020 17:42:04,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,True,4,нет,Тбилиси,1 гр,0.011000000000000001,7009,2672,240,109.0,,,,,,,,,,,,✨ 1g. MDMA ✨
51,51,21-02-2020 17:42:04,Tbilisi,dd631c4acf,💩1g. New Hush Gorilla Glue Premium💩,True,3,нет,Тбилиси,1 гр,0.006999999999999999,4437,1691,152,69.0,,,,,,,,,,,,💩1g. New Hush Gorilla Glue Premium💩
52,52,21-02-2020 17:42:04,Tbilisi,ae784bef73,MDMA 0.8g + ketamine 0.3g ! VHQ,True,1,нет,Тбилиси,1.1 гр,0.0139,8938,3407,306,139.0,,,,,,,,,,,,MDMA 0.8g + ketamine 0.3g ! VHQ
53,53,21-02-2020 17:42:04,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,3,нет,Тбилиси,2 гр,0.0077,5466,2083,187,85.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
54,54,21-02-2020 17:42:04,Tbilisi,4a91350669,2 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,1,нет,Тбилиси,2 гр,0.0235,15111,5760,518,235.0,,,,,,,,,,,,2 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
55,55,21-02-2020 17:42:04,Tbilisi,7ee4f68218,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,2 гр,0.0072,4859,1857,167,,,,,,70.0,,,,,,,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
