,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,26-02-2020 19:27:12,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0097,6486,2439,220,99.0,,,,,,,,,Cocaine Pure VHQ 0.5g
1,1,26-02-2020 19:27:12,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,5,нет,Тбилиси,0.5 гр,0.0108,6486,2439,220,99.0,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
2,2,26-02-2020 19:27:12,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,6,нет,Тбилиси,0.8 гр,0.0162,9828,3696,334,150.0,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
3,3,26-02-2020 19:27:12,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,3,нет,Тбилиси,1 гр,0.013000000000000001,7862,2957,267,120.0,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
4,4,26-02-2020 19:27:12,Tbilisi,cb721d4bca,"1 mdma very strong best quality , import califronia , лучши мдма на саите",True,2,нет,Тбилиси,1 гр,0.0108,6552,2464,223,100.0,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
5,5,26-02-2020 19:27:12,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,4,нет,Тбилиси,1 гр,0.0092,5569,2094,189,85.0,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
6,6,26-02-2020 19:27:12,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,,2,нет,Тбилиси,1 гр,0.0039,2424,912,82,37.0,True,,,,,,,,1G -- AK-47 -> Sativa
7,7,26-02-2020 19:27:12,Tbilisi,cb721d4bca,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,5,нет,Тбилиси,1 гр,0.01,6056,2273,206,,,85.0,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
8,8,26-02-2020 19:27:12,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,4,нет,Тбилиси,1 гр,0.0092,5569,2094,189,85.0,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
9,9,26-02-2020 19:27:12,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,1 гр,0.0102,6412,2407,218,,,90.0,,,,,,,1gr mdma (skidka v bitkoin 5%)
10,10,26-02-2020 19:27:12,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0187,12448,4682,423,190.0,,,,,,,,,Cocaine Pure VHQ 1g
11,11,26-02-2020 19:27:12,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,4,нет,Тбилиси,1 гр,0.024,14414,5421,490,220.0,,,,,,,,,"Cocaine, 1g"
12,12,26-02-2020 19:27:12,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,1,нет,Тбилиси,1 гр,0.0044,2621,986,89,40.0,,,,,,,,,"LSD - 250 ug, 1piece"
13,13,26-02-2020 19:27:12,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,4,нет,Тбилиси,1 гр,0.0206,12383,4657,421,189.0,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
14,14,26-02-2020 19:27:12,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,4,нет,Тбилиси,1 гр,0.0187,11793,4435,401,180.0,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
15,15,26-02-2020 19:27:12,Tbilisi,61df6a1c90,Метадон 1гр,True,3,нет,Тбилиси,1 гр,0.0442,29483,11088,1002,450.0,,,,,,,,,Metadon 1gr
16,16,26-02-2020 19:27:12,Tbilisi,4a91350669,2 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,1,нет,Тбилиси,2 гр,0.0204,12383,4657,421,189.0,,,,,,,,,2 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
17,17,26-02-2020 19:27:12,Tbilisi,7ee4f68218,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,2 гр,0.0079,4987,1872,169,,,70.0,,,,,,,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
18,18,26-02-2020 19:27:12,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,2 гр,0.0086,5176,1947,176,79.0,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
19,19,26-02-2020 19:27:12,Tbilisi,8219f5e7b8,"Cocaine, 2 g",True,1,нет,Тбилиси,2 гр,0.0436,26207,9856,891,400.0,,,,,,,,,"Cocaine, 2 g"
20,20,26-02-2020 19:27:12,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,3,нет,Тбилиси,2 гр,0.0369,22604,8501,768,345.0,True,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
21,21,26-02-2020 19:27:12,Tbilisi,8219f5e7b8,Ketamine 2 g,True,4,нет,Тбилиси,2 гр,0.0196,11793,4435,401,180.0,,,,,,,,,Ketamine 2 g
22,22,26-02-2020 19:27:12,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,6,нет,Тбилиси,2 гр,0.0076,4586,1725,156,70.0,,,,,,,,,"LSD - 250 ug, 2 pieces"
23,23,26-02-2020 19:27:12,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0377,22866,8599,777,349.0,,,True,,,,,,Kokain KOLUMBIA 2g
24,24,26-02-2020 19:27:12,Tbilisi,7ee4f68218,🍃 2гр ГАШИШ 🍃,True,3,нет,Тбилиси,2 гр,0.0114,7207,2710,245,110.0,,,,,,,,,🍃 2gr GAShISh 🍃
25,25,26-02-2020 19:27:12,Tbilisi,7ee4f68218,"3 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,3 гр,0.0113,7124,2674,242,,,100.0,,,,,,,"3 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
26,26,26-02-2020 19:27:12,Tbilisi,7c395c455d,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0227,13759,5174,468,210.0,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
27,27,26-02-2020 19:27:12,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,5,нет,Тбилиси,3 гр,0.0115,6879,2587,234,105.0,,,,,,,,,3x Extasy Duracell 223mg MDMA
28,28,26-02-2020 19:27:12,Tbilisi,ae784bef73,NEW ! Easy Bud ! 3g,True,4,нет,Тбилиси,3 гр,0.0086,5241,1971,178,80.0,,,,,,,,,NEW ! Easy Bud ! 3g
29,29,26-02-2020 19:27:12,Tbilisi,4be7861731,metadon sirop 4ml,True,1,нет,Тбилиси,4 гр,0.0072,4390,1651,149,67.0,,,,,,,,,metadon sirop 4ml
30,30,26-02-2020 19:27:12,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0169,10155,3819,345,155.0,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
31,31,26-02-2020 19:27:12,Tbilisi,7ee4f68218,"5 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,5 гр,0.0186,11755,4412,399,,,165.0,,,,,,,"5 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
32,32,26-02-2020 19:27:12,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,2,нет,Тбилиси,5 гр,0.0164,9828,3696,334,150.0,,,,,,,,,"LSD - 250 ug, 5 pieces"
33,33,26-02-2020 19:27:12,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,1,нет,Тбилиси,5 гр,0.0168,10090,3795,343,154.0,,,,,,,,,NEW !!! 5G White Widow !!! NEW
34,34,26-02-2020 19:27:41,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,2,нет,Тбилиси,5 гр,0.0164,9828,3696,334,150.0,,,,,,,,,"LSD - 250 ug, 5 pieces"
35,35,26-02-2020 19:27:41,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,1,нет,Тбилиси,5 гр,0.0168,10090,3795,343,154.0,,,,,,,,,NEW !!! 5G White Widow !!! NEW
36,36,26-02-2020 19:27:41,Tbilisi,c225d2f67d,гашиш евро 5г,True,1,нет,Тбилиси,5 гр,0.0218,13759,5174,468,210.0,,,,,,,,,gashish evro 5g
37,37,26-02-2020 19:27:41,Tbilisi,7ee4f68218,🍃 5гр ГАШИШ 🍃,True,3,нет,Тбилиси,5 гр,0.027999999999999997,17690,6653,601,270.0,,,,,,,,,🍃 5gr GAShISh 🍃
38,38,26-02-2020 19:27:41,Tbilisi,7ee4f68218,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,10 гр,0.0338,21373,8022,725,,,300.0,,,,,,,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
39,39,26-02-2020 19:27:41,Tbilisi,7ee4f68218,10 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,10 гр,0.0338,21373,8022,725,,,300.0,,,,,,,10 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
40,40,26-02-2020 19:27:41,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,10,нет,Тбилиси,10 гр,0.0289,17493,6579,595,267.0,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
41,41,26-02-2020 19:27:41,Tbilisi,8219f5e7b8,"LSD - 250 ug, 10 pieces",True,2,нет,Тбилиси,10 гр,0.0327,19655,7392,668,300.0,,,,,,,,,"LSD - 250 ug, 10 pieces"
42,42,26-02-2020 19:27:41,Tbilisi,e501bd0ada,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road",True,2,нет,Тбилиси,10 гр,0.0249,15724,5914,534,240.0,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road"
43,43,26-02-2020 19:27:41,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0415,26207,9856,891,400.0,,,,,,,,,gashish evro 10g
44,44,26-02-2020 19:27:41,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,12,нет,Тбилиси,10 гр,0.0093,6224,2341,212,95.0,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
45,45,26-02-2020 19:27:41,Tbilisi,e501bd0ada,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road",True,3,нет,Тбилиси,20 гр,0.0467,29483,11088,1002,450.0,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road"
46,46,26-02-2020 19:27:41,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0806,50907,19145,1730,777.0,,,,,,,,,Gashish Evro 20gr
47,47,26-02-2020 19:27:41,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.17 G,True,нет,4,Тбилиси,0.17 гр,0.0164,9828,3696,334,150.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.17 G
48,48,26-02-2020 19:27:41,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,5,Тбилиси,0.27 гр,0.0248,14873,5593,505,227.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
49,49,26-02-2020 19:27:41,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0327,19655,7392,668,300.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
50,50,26-02-2020 19:27:41,Tbilisi,2dbb5960b9,Methadone HQ in city 0.7g,True,нет,2,Тбилиси,0.7 гр,0.0303,18345,6899,624,280.0,,,,,,,,,Methadone HQ in city 0.7g
51,51,26-02-2020 19:27:41,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0655,39311,14784,1336,600.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
52,52,26-02-2020 19:27:41,Tbilisi,2dbb5960b9,Methadone HQ in city 1.3g,True,нет,5,Тбилиси,1.3 гр,0.0594,36035,13552,1225,550.0,,,,,,,,,Methadone HQ in city 1.3g
53,53,26-02-2020 19:27:41,Tbilisi,cb721d4bca,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,5,Тбилиси,2 гр,0.018000000000000002,10941,4115,372,167.0,,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
54,54,26-02-2020 19:27:41,Tbilisi,cb721d4bca,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,нет,4,Тбилиси,2 гр,0.0174,11755,4412,399,,,165.0,,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
55,55,26-02-2020 19:27:41,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,5,Тбилиси,3 гр,0.0644,38655,14538,1314,590.0,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
56,56,26-02-2020 19:27:41,Tbilisi,dd631c4acf,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,True,нет,5,Тбилиси,3 гр,0.0186,12383,4657,421,189.0,,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
57,57,26-02-2020 19:27:41,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,8,Тбилиси,4 гр,0.0432,26207,9856,891,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
58,58,26-02-2020 19:27:41,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0594,36035,13552,1225,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
59,59,26-02-2020 19:27:41,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0259,15724,5914,534,240.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
60,60,26-02-2020 19:27:41,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.027000000000000003,16379,6160,557,250.0,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
61,61,26-02-2020 19:27:41,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.027000000000000003,16379,6160,557,250.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
62,62,26-02-2020 19:27:41,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.027000000000000003,16379,6160,557,250.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
63,63,26-02-2020 19:27:41,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0215,13038,4903,443,199.0,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
64,64,26-02-2020 19:27:41,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.027000000000000003,16379,6160,557,250.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
65,65,26-02-2020 19:27:41,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0215,14348,5396,488,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
66,66,26-02-2020 19:27:41,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,5 гр,0.0205,13693,5150,465,209.0,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
67,67,26-02-2020 19:27:41,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,4,Тбилиси,5 гр,0.0205,13693,5150,465,209.0,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
68,68,26-02-2020 19:27:41,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.027000000000000003,16379,6160,557,250.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
69,69,26-02-2020 19:27:41,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,18,Тбилиси,5 гр,0.0196,13104,4928,445,200.0,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
70,70,26-02-2020 19:28:34,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2957,196553,73920,6680,3000.0,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
71,71,26-02-2020 19:28:34,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,5,Тбилиси,5 гр,0.0941,56280,21166,1913,859.0,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
72,72,26-02-2020 19:28:34,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0203,12121,4558,412,185.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
73,73,26-02-2020 19:28:34,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0535,32038,12049,1089,489.0,,,,,,,,,💘✨5g. MDMA ✨💘
74,74,26-02-2020 19:28:34,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.036000000000000004,21555,8107,733,329.0,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
75,75,26-02-2020 19:28:34,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,4,Тбилиси,5 гр,0.0197,11793,4435,401,180.0,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
76,76,26-02-2020 19:28:34,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0976,58966,22176,2004,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
77,77,26-02-2020 19:28:34,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0759,45862,17248,1559,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
78,78,26-02-2020 19:28:34,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0433,26142,9831,889,399.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
79,79,26-02-2020 19:28:34,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,1,5,Тбилиси,10 гр,0.0383,22931,8624,779,350.0,,,,,,,,,10x Extasy Duracell 223mg MDMA.
80,80,26-02-2020 19:28:34,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0867,52414,19712,1781,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
81,81,26-02-2020 19:28:34,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0393,26142,9831,889,399.0,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
82,82,26-02-2020 19:28:34,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2412,145777,54824,4955,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
83,83,26-02-2020 19:28:34,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1587,94935,35703,3227,1449.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
84,84,26-02-2020 19:28:34,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0404,24176,9092,822,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
