,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,.,$,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,28-04-2020 12:50:29,Tbilisi,16a8841259,Ak - 47 0.6г,True,3,нет,Тбилиси,0.6 гр,0.0035,2049,749,68,27.0,,,,,,,,,Ak - 47 0.6g
1,1,28-04-2020 12:50:29,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1037,67046,24525,2217,,900.0,,,,,,,,Metadon 1gr
2,2,28-04-2020 12:50:29,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,True,1,нет,Тбилиси,3 гр,0.0152,8865,3243,293,,119.0,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
3,3,28-04-2020 12:50:29,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0389,23839,8720,788,,320.0,,,,,,,,"5 Grm MDMA , Purity A +++"
4,4,28-04-2020 12:50:29,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,4,нет,Тбилиси,5 гр,0.0376,22349,8175,739,,300.0,,,,,,,,5 Grm Mdma Pure Quality A +++
5,5,28-04-2020 12:50:29,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,2,нет,Тбилиси,10 гр,0.0265,15570,5695,515,,209.0,True,,,,,,,10 gr marijuana buds. -indica-
6,6,28-04-2020 12:50:29,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0487,29798,10900,985,,400.0,,,,,,,,gashish evro 10g
7,7,28-04-2020 12:50:29,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,1,нет,Тбилиси,20 гр,0.0513,30171,11036,998,,405.0,True,,,,,,,20 gr Indica marijuana buds (hight quality)
8,8,28-04-2020 12:50:29,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0945,57883,21173,1914,,777.0,,,,,,,,Gashish Evro 20gr
9,9,28-04-2020 12:50:29,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2305,148992,54500,4926,,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
10,10,28-04-2020 12:50:29,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 гр!!!",True,нет,2,Тбилиси,0.7 гр,0.0114,6705,2453,222,,90.0,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gr!!!"
11,11,28-04-2020 12:50:29,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,3,Тбилиси,1 гр,0.0171,10057,3679,333,,135.0,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
12,12,28-04-2020 12:50:29,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0412,26651,9768,874,,,,330.0,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
13,13,28-04-2020 12:50:29,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,8,Тбилиси,2 гр,0.0472,27489,10055,909,,369.0,,,,,,,,❄❄2g HQ COCAINE❄❄
14,14,28-04-2020 12:50:29,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 2.5 грамм",True,нет,1,Тбилиси,2.5 гр,0.0285,16762,6131,554,,225.0,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 2.5 gramm"
15,15,28-04-2020 12:50:29,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0755,43953,16078,1453,,590.0,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
16,16,28-04-2020 12:50:29,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0507,29798,10900,985,,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
17,17,28-04-2020 12:50:29,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0697,40973,14988,1355,,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
18,18,28-04-2020 12:50:29,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,4,Тбилиси,5 гр,0.0216,12664,4633,419,,170.0,,,,,,,,5 gr Shishki “OG KUSH VHQ”
19,19,28-04-2020 12:50:29,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0252,14825,5423,490,,199.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
20,20,28-04-2020 12:50:29,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0252,14825,5423,490,,199.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
21,21,28-04-2020 12:50:29,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0252,16315,5968,539,,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
22,22,28-04-2020 12:50:29,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0252,14825,5423,490,,199.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
23,23,28-04-2020 12:50:29,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2939,190000,87429,6265,,,,,,,,,,reagent 25i nbome. 5gr
24,24,28-04-2020 12:50:29,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3457,223488,81750,7389,,3000.0,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
25,25,28-04-2020 12:50:29,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.1113,64737,23680,2140,,869.0,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
26,26,28-04-2020 12:50:29,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0242,14080,5150,466,,189.0,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
27,27,28-04-2020 12:50:29,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0243,14154,5178,468,,190.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
