,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Zahesi,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,01-07-2020 18:29:21,Tbilisi,21e6be39fb,"Black Gerain, Sirec VHQ 0.4g",True,1,нет,Тбилиси,0.4 гр,0.0125,8453,3235,289,120.0,,,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
1,1,01-07-2020 18:29:21,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,0.5 гр,0.0034,2325,890,80,33.0,True,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
2,2,01-07-2020 18:29:21,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",True,3,нет,Тбилиси,0.5 гр,0.0146,9862,3774,338,140.0,,,,,,,,,,"Black Geroin, Sirec 0.5g"
3,3,01-07-2020 18:29:21,Tbilisi,16a8841259,Jamaican 0.5Г,True,7,нет,Тбилиси,0.5 гр,0.0032,2184,836,75,31.0,,,,,,,,,,Jamaican 0.5G
4,4,01-07-2020 18:29:21,Tbilisi,52fe6d0af9,VHQ Hash From Morroco Iso 0.5G THC 23%+,,2,нет,Тбилиси,0.5 гр,0.0057,3874,1483,133,55.0,True,,,,,,,,,VHQ Hash From Morroco Iso 0.5G THC 23%+
5,5,01-07-2020 18:29:21,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,6,нет,Тбилиси,1 гр,0.0063,4226,1618,145,60.0,True,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,6,01-07-2020 18:29:21,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,1,нет,Тбилиси,1 гр,0.0062,4156,1591,142,59.0,True,,,,,,,,,1 G Hybrid Marijuana Buds
7,7,01-07-2020 18:29:21,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,4,нет,Тбилиси,1 гр,0.0063,4226,1618,145,60.0,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,8,01-07-2020 18:29:21,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,6,нет,Тбилиси,1 гр,0.0062,4156,1591,142,59.0,,True,True,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
9,9,01-07-2020 18:29:21,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,1,нет,Тбилиси,1 гр,0.0062,4156,1591,142,59.0,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
10,10,01-07-2020 18:29:21,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,8,нет,Тбилиси,1 гр,0.0055,3733,1429,128,53.0,True,,,,,,,,,1G ---> Big Devil (BTC - Sale)
11,11,01-07-2020 18:29:21,Tbilisi,64284550d9,1G ---> Pineapple (BTC - Sale),True,6,нет,Тбилиси,1 гр,0.0052,3522,1348,121,50.0,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
12,12,01-07-2020 18:29:21,Tbilisi,16a8841259,Jamaican 1г High Thc,True,5,нет,Тбилиси,1 гр,0.0061,4086,1564,140,58.0,,,,,,,,,,Jamaican 1g High Thc
13,13,01-07-2020 18:29:21,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 1г.,,1,нет,Тбилиси,1 гр,0.0061,4086,1564,140,58.0,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 1g.
14,14,01-07-2020 18:29:21,Tbilisi,54915c4374,Марки н-боооом!!! 1 шт.,,5,нет,Тбилиси,1 гр,0.0019,1268,485,43,18.0,True,,,,,,,,,Marki n-boooom!!! 1 sht.
