,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Vake,Tbilisis Zgva,€,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
11,27-07-2020 21:58:27,Tbilisi,8B31,GEOWEEDSHOP,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,5,нет,Тбилиси,1 гр,0.0045,3508,1367,117,49,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
12,27-07-2020 21:58:27,Tbilisi,QVK5,Galiak,BlueBerry Is Back 1G шишки центровки !! центровки,,1,нет,Тбилиси,1 гр,0.0065,5011,1953,167,70,,True,,,,,,,,,,BlueBerry Is Back 1G shishki tsentrovki !! tsentrovki
13,27-07-2020 21:58:27,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 1 г. TOP BUDS,True,1,нет,Тбилиси,1 гр,0.0046,3937,1535,131,55,,,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
14,27-07-2020 21:58:27,Tbilisi,H9FHF,OldStar,Шишка добрая 1 g,True,23,нет,Тбилиси,1 гр,0.0046,3600,1657,120,,,,,,,,,,,,,Shishka dobraja 1 g
15,27-07-2020 21:58:27,Tbilisi,9CK,Hyperboy,🍬🍬🍬Ex Masserati Red 465 mg 1pc🍬🍬🍬,True,6,нет,Тбилиси,1 гр,0.0051,3937,1535,131,55,,,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 1pc🍬🍬🍬
16,27-07-2020 21:58:27,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,4,нет,Тбилиси,2 гр,0.0092,7087,2762,237,99,,True,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
17,27-07-2020 21:58:27,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,3,нет,Тбилиси,2 гр,0.0101,7803,3041,260,109,,True,,,,,,,,,,2 G Hybrid Marijuana Buds
18,27-07-2020 21:58:27,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,2 гр,0.0111,8590,3348,287,120,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
19,27-07-2020 21:58:27,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0111,8590,3348,287,120,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
20,27-07-2020 21:58:27,Tbilisi,BB6E,WEEDSH0P,2gr Amnesia Haze Auto сжатая марихуана BUDS,True,2,нет,Тбилиси,2 гр,0.0111,8590,3348,287,120,,,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
21,27-07-2020 21:58:27,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,1,нет,Тбилиси,2 гр,0.0111,8590,3348,287,120,,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
22,27-07-2020 21:58:27,Tbilisi,XUYA,MRweed,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,1,нет,Тбилиси,2 гр,0.0092,7874,3069,263,110,,True,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
23,27-07-2020 21:58:27,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",True,4,нет,Тбилиси,2 гр,0.0092,7874,3069,263,110,,True,,True,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
24,27-07-2020 21:58:27,Tbilisi,9R7SU,ClownBaroN,Skunk 2G (25 % THC)*VHQ* IMPORT,,1,нет,Тбилиси,2 гр,0.0102,7874,3069,263,110,True,,,,,,,,,,,Skunk 2G (25 % THC)*VHQ* IMPORT
25,27-07-2020 21:58:27,Tbilisi,LGRP8,Walker12,!!! NEW !!! 3G Jack Herer(VHQ 24%THC),,2,нет,Тбилиси,3 гр,0.0139,10738,4185,358,150,True,,,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC)
26,27-07-2020 21:58:27,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm,True,4,нет,Тбилиси,3 гр,0.0097,8232,3209,275,115,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
27,27-07-2020 21:58:27,Tbilisi,JVZTQ,partyshop,5 ecstasy red maseratti VHQ екстази импорт с США,True,7,нет,Тбилиси,5 гр,0.0194,15033,5859,502,210,,,,,,,,,,,,5 ecstasy red maseratti VHQ ekstazi import s SShA
28,27-07-2020 21:58:27,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,1,нет,Тбилиси,5 гр,0.0259,20044,7812,669,280,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
29,27-07-2020 21:58:27,Tbilisi,03F3,geoshop,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,5 гр,0.025,19328,7533,645,270,,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
30,27-07-2020 21:58:27,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,1,нет,Тбилиси,5 гр,0.0164,13959,5441,466,195,,,,,,,,,,,,5g. marihuana shishki Critical
31,27-07-2020 21:58:27,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",True,1,1,Тбилиси,5 гр,0.0202,17180,6696,574,240,,,,,True,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
32,27-07-2020 21:58:27,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 10gram,True,1,нет,Тбилиси,10 гр,0.0294,25055,9765,836,350,,,,,,,,,,,,Northern Lights Regular [budsonly] 10gram
33,27-07-2020 21:58:27,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1865,143170,55800,4780,2000,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
34,27-07-2020 21:58:27,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,4,Тбилиси,1 гр,0.0338,25971,10137,859,,,,,,,310,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
35,27-07-2020 21:59:50,Tbilisi,03F3,geoshop,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0371,28634,11160,956,400,,,,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
36,27-07-2020 21:59:50,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0232,17896,6975,597,250,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
37,27-07-2020 21:59:50,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0251,19328,7533,645,270,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
38,27-07-2020 21:59:50,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0255,19686,7673,657,275,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
39,27-07-2020 21:59:50,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0223,17180,6696,574,240,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
40,27-07-2020 21:59:50,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.026,20044,7812,669,280,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
41,27-07-2020 21:59:50,Tbilisi,XUYA,MRweed,"Amnesia Haze (photoperiod, regular) 5 гр. Спокойно, Надёжно, Качественно.",True,нет,2,Тбилиси,5 гр,0.0203,17180,6696,574,240,,,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 5 gr. Spokojno, Nadezhno, Kachestvenno."
42,27-07-2020 21:59:50,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0251,19328,7533,645,270,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
43,27-07-2020 21:59:50,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0185,15677,6110,523,219,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
44,27-07-2020 21:59:50,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",True,нет,6,Тбилиси,5 гр,0.0218,16822,6557,562,235,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
45,27-07-2020 21:59:50,Tbilisi,X4ZM,ZYX,NEW ! Silver Haze NEW ! HQ BUDS 5G,True,нет,3,Тбилиси,5 гр,0.0218,16822,6557,562,235,,,,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 5G
46,27-07-2020 21:59:50,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0251,19328,7533,645,270,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
47,27-07-2020 21:59:50,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.224,190000,87429,6346,,,,,,,,,,,,,reagent 25i nbome. 5gr
48,27-07-2020 21:59:50,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2532,214755,83700,7169,3000,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
49,27-07-2020 21:59:50,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,2,Тбилиси,5 гр,0.0219,16755,6540,554,,,,,,,200,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
50,27-07-2020 21:59:50,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0836,64427,25110,2151,900,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
51,27-07-2020 21:59:50,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0511,39372,15345,1314,550,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
52,27-07-2020 21:59:50,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.065,50110,19530,1673,700,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
53,27-07-2020 21:59:50,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.039,30066,11718,1004,420,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
