,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Varketili,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,desc_en
0,0,30-06-2020 10:57:46,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,3,нет,Тбилиси,0.25 гр,0.0101,6924,2653,238,88.0,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,30-06-2020 10:57:46,Tbilisi,21e6be39fb,"Black Gerain, Sirec VHQ 0.4g",,1,нет,Тбилиси,0.4 гр,0.0125,8394,3217,288,,True,120.0,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
2,2,30-06-2020 10:57:46,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,6,нет,Тбилиси,0.5 гр,0.0035,2308,885,79,,True,33.0,,,,,,,,0.5 gr HYBRID buds
3,3,30-06-2020 10:57:46,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",,5,нет,Тбилиси,0.5 гр,0.0146,9793,3753,336,,True,140.0,,,,,,,,"Black Geroin, Sirec 0.5g"
4,4,30-06-2020 10:57:46,Tbilisi,16a8841259,Jamaican 0.5Г,,5,нет,Тбилиси,0.5 гр,0.0032,2169,831,74,,True,31.0,,,,,,,,Jamaican 0.5G
5,5,30-06-2020 10:57:46,Tbilisi,ebadfc162f,The Best Weed In Your Life 0.5G 100%шишки! LIMITED,,2,нет,Тбилиси,0.5 гр,0.0037,2448,938,84,,True,35.0,True,,,,,,,The Best Weed In Your Life 0.5G 100%shishki! LIMITED
6,6,30-06-2020 10:57:46,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,5,нет,Тбилиси,1 гр,0.0062,4127,1582,142,,True,59.0,,,,,,,,1 G Hybrid Marijuana Buds
7,7,30-06-2020 10:57:46,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,3,нет,Тбилиси,1 гр,0.0063,4197,1609,144,,True,60.0,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,8,30-06-2020 10:57:46,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,3,нет,Тбилиси,1 гр,0.0062,4127,1582,142,,,59.0,True,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
9,9,30-06-2020 10:57:46,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,5,нет,Тбилиси,1 гр,0.0062,4127,1582,142,,True,59.0,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
10,10,30-06-2020 10:57:46,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,9,нет,Тбилиси,1 гр,0.0055,3707,1421,127,,,53.0,,True,,,,,,1G ---> Big Devil (BTC - Sale)
11,11,30-06-2020 10:57:46,Tbilisi,64284550d9,1G ---> Pineapple (BTC - Sale),,8,нет,Тбилиси,1 гр,0.0052,3498,1341,120,,True,50.0,,,,,,,,1G ---> Pineapple (BTC - Sale)
12,12,30-06-2020 10:57:46,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,1 гр,0.0051,3428,1314,118,,True,49.0,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
13,13,30-06-2020 10:57:46,Tbilisi,16a8841259,Jamaican 1г High Thc,,2,нет,Тбилиси,1 гр,0.0061,4057,1555,139,,True,58.0,,,,,,,,Jamaican 1g High Thc
14,14,30-06-2020 10:57:46,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 2.g. ПОДЪЕЗД,,1,нет,Тбилиси,2 гр,0.0396,26582,10188,912,,True,380.0,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 2.g. POD'EZD
15,15,30-06-2020 10:57:46,Tbilisi,16a8841259,листя+бошки в трихомах 2г,,1,нет,Тбилиси,2 гр,0.0038,2798,1072,96,,True,40.0,,,,,,,,listja+boshki v trihomah 2g
16,16,30-06-2020 10:57:46,Tbilisi,54915c4374,марки н-боом 2 шт.,,8,нет,Тбилиси,2 гр,0.0037,2448,938,84,,,35.0,,True,,,,,,marki n-boom 2 sht.
17,17,30-06-2020 10:57:46,Tbilisi,aeb8abccb9,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0089,5946,2279,204,,,85.0,,True,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
18,18,30-06-2020 10:57:46,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,19,нет,Тбилиси,3 гр,0.0091,6086,2332,209,,True,87.0,,,True,,,,,3 gr georgian weed. Package on magnet
19,19,30-06-2020 10:57:46,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,17,нет,Тбилиси,5 гр,0.0073,4827,1850,166,,True,69.0,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
