,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Nadzaladevi,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,09-04-2020 01:45:47,Tbilisi,F8K,BestAcid,Метадон - 0.12 г Новая партия!,True,1,нет,Тбилиси,0.12 гр,0.0134,8332,3031,281,110,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,09-04-2020 01:45:47,Tbilisi,A3I9,Joookerrr,MDMA 0.4 грам.,True,2,нет,Тбилиси,0.4 гр,0.0079,4924,1791,166,65,,,,,,,,,,MDMA 0.4 gram.
2,09-04-2020 01:45:47,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.014,8257,3003,278,109,,,,,,,,,,Cocaine Pure VHQ 0.5g
3,09-04-2020 01:45:47,Tbilisi,V4T,COCAcoLA,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,True,6,нет,Тбилиси,0.5 гр,0.01,5681,2066,191,75,,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
4,09-04-2020 01:45:47,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0167,9847,3582,332,130,,,,,,,,,,Pure COCAINE VHQ 0.5g
5,09-04-2020 01:45:47,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.6 грамм",True,1,нет,Тбилиси,0.6 гр,0.011,6818,2480,230,90,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.6 gramm"
6,09-04-2020 01:45:47,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,15,нет,Тбилиси,1 гр,0.0073,4545,1653,153,60,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
7,09-04-2020 01:45:47,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0249,14695,5345,495,194,,,,,,,,,,Cocaine Pure VHQ 1g
8,09-04-2020 01:45:47,Tbilisi,V4T,COCAcoLA,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0804,45450,16530,1531,600,True,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
9,09-04-2020 01:45:47,Tbilisi,V4T,COCAcoLA,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,,2,нет,Тбилиси,1 гр,0.0938,53025,19285,1786,700,True,,,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
10,09-04-2020 01:45:47,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.027,15907,5786,536,210,,,,,,,,,,VHQ BEST Cocaine 1g.
11,09-04-2020 01:45:47,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1096,68175,24795,2296,900,,,,,,,,,,Metadon 1gr
12,09-04-2020 01:45:47,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,7,нет,Тбилиси,1 гр,0.0024,1515,551,51,20,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
13,09-04-2020 01:45:47,Tbilisi,LGRP8,Walker12,19% ТГК Шишки Northern Lights 1.1г Скидка 5% через БИТКОИН,,5,нет,Тбилиси,1.1 гр,0.0064,3788,1378,128,50,,True,,,,,,,,19% TGK Shishki Northern Lights 1.1g Skidka 5% cherez BITKOIN
14,09-04-2020 01:45:47,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,2 гр,0.0095,5303,1929,179,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
