,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,10-03-2020 07:23:42,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,11,нет,Тбилиси,0.25 гр,0.0213,14179,5414,494,210.0,,,,,,,,Metadon VHQ 0.25 24/7
1,1,10-03-2020 07:23:42,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G,True,3,нет,Тбилиси,0.35 гр,0.0361,21606,8250,753,320.0,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
2,2,10-03-2020 07:23:42,Tbilisi,da96c34455,ALFA PVP 1g,True,1,нет,Тбилиси,1 гр,0.0142,9452,3609,329,140.0,,,,,,,,ALFA PVP 1g
3,3,10-03-2020 07:23:42,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0202,12761,4872,445,189.0,,,,,,,,Cocaine Pure VHQ 1g
4,4,10-03-2020 07:23:42,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! BUDS ! 1G,True,2,нет,Тбилиси,1 гр,0.005,3038,1160,106,45.0,,,,,,,,NEW ! Super Critical ! NEW ! BUDS ! 1G
5,5,10-03-2020 07:23:42,Tbilisi,ae784bef73,NEW ! Гашиш Double-Twesla ! NEW ! 1g ! HQ !,True,1,нет,Тбилиси,1 гр,0.0089,5401,2062,188,80.0,,,,,,,,NEW ! Gashish Double-Twesla ! NEW ! 1g ! HQ !
6,6,10-03-2020 07:23:42,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,5,нет,Тбилиси,1 гр,0.0142,9452,3609,329,140.0,,,,,,,,NZT-52 mind storm limited 1g muka
7,7,10-03-2020 07:23:42,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0213,13436,5130,468,199.0,,,,,,,,VHQ BEST Cocaine 1g.
8,8,10-03-2020 07:23:42,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,4,нет,Тбилиси,1 гр,0.0209,12761,4872,445,189.0,,,,,,,,Kokain HQ 1g.
9,9,10-03-2020 07:23:42,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.02,12086,4615,421,179.0,True,,,,,,,Kokain KOLUMBIA 1g
10,10,10-03-2020 07:23:42,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0913,60766,23202,2117,900.0,,,,,,,,Metadon 1gr
11,11,10-03-2020 07:23:42,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,8,нет,Тбилиси,2 гр,0.0036,2363,902,82,35.0,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
12,12,10-03-2020 07:23:42,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,3,нет,Тбилиси,2 гр,0.0406,25589,9771,891,379.0,,,,,,,,Kokain HQ 2g.
13,13,10-03-2020 07:23:42,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0179,10735,4099,374,159.0,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
14,14,10-03-2020 07:23:42,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0175,10465,3996,365,155.0,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
15,15,10-03-2020 07:23:42,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0325,21606,8250,753,320.0,,,,,,,,"5 Grm MDMA , Purity A +++"
16,16,10-03-2020 07:23:42,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0451,28441,11063,1003,,,375.0,,,,,,5 gr mdma (skidka v bitkoin 5%)
17,17,10-03-2020 07:23:42,Tbilisi,e56bb6ca93,5gr georgian indica (hight quality),,5,нет,Тбилиси,5 гр,0.0141,9385,3583,327,139.0,True,,,,,,,5gr georgian indica (hight quality)
18,18,10-03-2020 07:23:42,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0197,11816,4512,412,175.0,,,,,,,,5x Extasy Duracell 223mg MDMA.
19,19,10-03-2020 07:23:42,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,8,нет,Тбилиси,5 гр,0.0166,10128,3867,353,150.0,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
20,20,10-03-2020 07:23:42,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,2,нет,Тбилиси,5 гр,0.0179,10735,4099,374,159.0,,,,,,,,NEW !!! 5G OG KusH !!! NEW
21,21,10-03-2020 07:23:42,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.0871,57998,22145,2020,859.0,,,,,,,,VHQ BEST Cocaine 5g.
22,22,10-03-2020 07:23:42,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,3,нет,Тбилиси,10 гр,0.0407,24644,9410,858,365.0,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
23,23,10-03-2020 07:23:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,2,нет,Тбилиси,10 гр,0.0298,18027,6883,628,267.0,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
24,24,10-03-2020 07:23:42,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0428,27007,10312,941,400.0,,,,,,,,gashish evro 10g
25,25,10-03-2020 07:23:42,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0832,52461,20031,1827,777.0,,,,,,,,Gashish Evro 20gr
26,26,10-03-2020 07:23:42,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,6,5,Тбилиси,0.27 гр,0.0304,18230,6961,635,270.0,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
27,27,10-03-2020 07:23:42,Tbilisi,2dbb5960b9,Methadone HQ in city 1.4g,True,нет,1,Тбилиси,1.4 гр,0.0781,47262,18046,1646,700.0,,,,,,,,Methadone HQ in city 1.4g
