,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Didube,Saburtalo,Old Tbilisi (Старый город),€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,07-04-2020 03:22:30,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,1,нет,Тбилиси,0.2 гр,0.0042,2674,959,90,35.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
1,1,07-04-2020 03:22:30,Tbilisi,54915c4374,MDMA 0.4 грам.,,3,нет,Тбилиси,0.4 гр,0.0079,4966,1781,167,65.0,True,,,,,,,,,MDMA 0.4 gram.
2,2,07-04-2020 03:22:30,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0127,7564,2713,255,99.0,True,,,,,,,,,Cocaine Pure VHQ 0.5g
3,3,07-04-2020 03:22:30,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,,7,нет,Тбилиси,0.5 гр,0.01,5731,2055,193,75.0,True,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
4,4,07-04-2020 03:22:30,Tbilisi,99accec7c7,MEPHEDRONE 0.5 gr,,7,нет,Тбилиси,0.5 гр,0.0073,4202,1507,141,55.0,True,,,,,,,,,MEPHEDRONE 0.5 gr
5,5,07-04-2020 03:22:30,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,,3,нет,Тбилиси,0.5 гр,0.0147,8328,2987,280,109.0,True,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
6,6,07-04-2020 03:22:30,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.6 грамм",,1,нет,Тбилиси,0.6 гр,0.0109,6877,2466,231,90.0,True,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.6 gramm"
7,7,07-04-2020 03:22:30,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,6,нет,Тбилиси,1 гр,0.0059,3362,1206,113,44.0,True,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
8,8,07-04-2020 03:22:30,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,13,нет,Тбилиси,1 гр,0.0073,4584,1644,154,60.0,True,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
9,9,07-04-2020 03:22:30,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,2,нет,Тбилиси,1 гр,0.0067,3820,1370,129,50.0,True,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
