,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,Old Tbilisi (Старый город),$,Vake,Saburtalo,Nadzaladevi,Авлобари,Varketili,Батуми,Центр,desc_en
0,0,10-07-2020 02:01:56,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.25 гр,0.0116,7961,3049,273,99.0,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,10-07-2020 02:01:56,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25,,3,нет,Тбилиси,0.25 гр,0.012,8041,3080,275,100.0,True,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25
2,2,10-07-2020 02:01:56,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0108,7237,2772,248,90.0,True,,,,,,,,,,NEW Iranian Sirec 0.25g.
3,3,10-07-2020 02:01:56,Tbilisi,013e75d78f,A PVP Белая мука высшего качества 0.33 г.,,1,нет,Тбилиси,0.33 гр,0.0137,9214,3536,317,,,True,130.0,,,,,,,,A PVP Belaja muka vysshego kachestva 0.33 g.
4,4,10-07-2020 02:01:56,Tbilisi,52fe6d0af9,New !!! VHQ Ketamine Imported!! New!!! 0.5G,,1,нет,Тбилиси,0.5 гр,0.0114,7655,2938,264,,True,,108.0,,,,,,,,New !!! VHQ Ketamine Imported!! New!!! 0.5G
5,5,10-07-2020 02:01:56,Tbilisi,fccfd69694,Бошки OG Kush 05g.,,1,нет,Тбилиси,0.5 гр,0.0027,1772,680,61,,True,,25.0,,,,,,,,Boshki OG Kush 05g.
6,6,10-07-2020 02:01:56,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",,3,нет,Тбилиси,2 гр,0.0105,7797,2992,268,,True,,110.0,True,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
7,7,10-07-2020 02:01:56,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 2г.,,1,нет,Тбилиси,2 гр,0.0105,7088,2720,244,,,,100.0,,True,,,,,,Marihuana boshki OG KUSH etim vse skazano. 2g.
8,8,10-07-2020 02:01:56,Tbilisi,8528108b62,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0144,10632,4080,366,,True,,150.0,,,,,,,,3g. marihuana shishki Critical
9,9,10-07-2020 02:01:56,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,14,нет,Тбилиси,3 гр,0.0059,3898,1496,134,,True,,55.0,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
10,10,10-07-2020 02:01:56,Tbilisi,8528108b62,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.023,17011,6528,586,,True,,240.0,,,,,,,,5g. marihuana shishki Critical
11,11,10-07-2020 02:01:56,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,10,нет,Тбилиси,5 гр,0.0073,4891,1877,168,,True,,69.0,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
