,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,10-04-2020 01:08:12,Tbilisi,54915c4374,MDMA 0.4 грам.,True,1,нет,Тбилиси,0.4 гр,0.0079,4849,1788,166,65.0,,,,,,,,,MDMA 0.4 gram.
1,1,10-04-2020 01:08:12,Tbilisi,f25c0d6c5c,0.5 a-pvp white,True,2,нет,Тбилиси,0.5 гр,0.0143,8000,3681,269,,,,,,,,,,0.5 a-pvp white
2,2,10-04-2020 01:08:12,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,True,3,нет,Тбилиси,0.5 гр,0.01,5595,2063,191,75.0,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
3,3,10-04-2020 01:08:12,Tbilisi,2f51af8159,SUPER HIGH QUALITY HYBRID BUDS PRESSED 0.5G,,2,нет,Тбилиси,0.5 гр,0.004,2238,825,77,30.0,True,,,,,,,,SUPER HIGH QUALITY HYBRID BUDS PRESSED 0.5G
4,4,10-04-2020 01:08:12,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,3,нет,Тбилиси,0.5 гр,0.0146,8132,2998,278,109.0,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
5,5,10-04-2020 01:08:12,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,2,нет,Тбилиси,1 гр,0.0073,4476,1650,153,60.0,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
6,6,10-04-2020 01:08:12,Tbilisi,f25c0d6c5c,1 a-pvp white,True,1,нет,Тбилиси,1 гр,0.025,14000,6442,471,,,,,,,,,,1 a-pvp white
7,7,10-04-2020 01:08:12,Tbilisi,cb721d4bca,1 гр листя плус галовки марихуана,True,4,нет,Тбилиси,1 гр,0.004,2238,825,77,30.0,,,,,,,,,1 gr listja plus galovki marihuana
8,8,10-04-2020 01:08:12,Tbilisi,e56bb6ca93,1g zkittlez auto. 420 Strain. LIMITED!,True,2,нет,Тбилиси,1 гр,0.0063,3506,1293,120,47.0,,,,,,,,,1g zkittlez auto. 420 Strain. LIMITED!
9,9,10-04-2020 01:08:12,Tbilisi,2f51af8159,Georgian Ganja Buds 1 G Medium Quality,,1,нет,Тбилиси,1 гр,0.0044,2462,908,84,33.0,True,,,,,,,,Georgian Ganja Buds 1 G Medium Quality
