,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,desc_en
0,0,29-06-2020 20:33:35,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,3,нет,Тбилиси,0.25 гр,0.0101,6924,2653,235,88.0,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,29-06-2020 20:33:35,Tbilisi,21e6be39fb,"Black Gerain, Sirec VHQ 0.4g",,1,нет,Тбилиси,0.4 гр,0.0125,8394,3228,286,,True,120.0,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
2,2,29-06-2020 20:33:35,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,10,нет,Тбилиси,0.5 гр,0.0035,2308,888,79,,True,33.0,,,,,,,,0.5 gr HYBRID buds
3,3,29-06-2020 20:33:35,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",,5,нет,Тбилиси,0.5 гр,0.0146,9793,3766,334,,True,140.0,,,,,,,,"Black Geroin, Sirec 0.5g"
4,4,29-06-2020 20:33:35,Tbilisi,2f51af8159,NEW !!! SUPER HIGH QUALITY MANGO KUSH HYBRID BUDS THC 25%+ 0.5G,,10,нет,Тбилиси,0.5 гр,0.0033,2238,861,76,,,32.0,True,,,,,,,NEW !!! SUPER HIGH QUALITY MANGO KUSH HYBRID BUDS THC 25%+ 0.5G
5,5,29-06-2020 20:33:35,Tbilisi,ebadfc162f,The Best Weed In Your Life 0.5G 100%шишки! LIMITED,,8,нет,Тбилиси,0.5 гр,0.0036,2448,942,83,,True,35.0,,True,,,,,,The Best Weed In Your Life 0.5G 100%shishki! LIMITED
6,6,29-06-2020 20:33:35,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,,3,нет,Тбилиси,0.5 гр,0.003,2029,780,69,,,29.0,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
7,7,29-06-2020 20:33:35,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,3,нет,Тбилиси,1 гр,0.0063,4197,1614,143,,,60.0,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
8,8,29-06-2020 20:33:35,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,5,нет,Тбилиси,1 гр,0.0061,4127,1587,141,,True,59.0,,,,,,,,1 G Hybrid Marijuana Buds
9,9,29-06-2020 20:33:35,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,5,нет,Тбилиси,1 гр,0.0063,4197,1614,143,,True,60.0,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
10,10,29-06-2020 20:33:35,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,5,нет,Тбилиси,1 гр,0.0061,4127,1587,141,,,59.0,,True,,,,,,1 gr top buds white widow wishki THC 25% VHQ
