,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Nadzaladevi,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Didube,Vake,Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
0,0,14-07-2020 17:28:11,Tbilisi,7c395c455d,0.5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,0.5 гр,0.0035,2347,901,80,33.0,,,,,,,,,,,,,0.5 gr Amnesia Haze shishki import s evropy tgk 28%
1,1,14-07-2020 17:28:11,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,8,нет,Тбилиси,0.5 гр,0.0035,2347,901,80,33.0,,,,,,,,,,,,,0.5 gr HYBRID buds
2,2,14-07-2020 17:28:11,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0035,2347,901,80,33.0,,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
3,3,14-07-2020 17:28:11,Tbilisi,83f3d55917,Новости ! Наш магазин предлагает новые продукты !! Original Gangster !! 0.5 !!,,6,нет,Тбилиси,0.5 гр,0.0031,2134,819,73,30.0,True,,,,,,,,,,,,Novosti ! Nash magazin predlagaet novye produkty !! Original Gangster !! 0.5 !!
4,4,14-07-2020 17:28:11,Tbilisi,ebadfc162f,уро / Hammer 0.5G 100%шишки! LIMITED,,3,нет,Тбилиси,0.5 гр,0.0037,2489,956,85,35.0,,True,,,,,,,,,,,uro / Hammer 0.5G 100%shishki! LIMITED
5,5,14-07-2020 17:28:11,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,True,1,нет,Тбилиси,0.5 гр,0.0042,2822,1084,96,,,,35.0,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
6,6,14-07-2020 17:28:11,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,4,нет,Тбилиси,1 гр,0.0062,4197,1611,143,59.0,,,,True,,,,,,,,,1 G Hybrid Marijuana Buds
7,7,14-07-2020 17:28:11,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,7,нет,Тбилиси,1 гр,0.0063,4268,1638,145,60.0,,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,8,14-07-2020 17:28:11,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,1,нет,Тбилиси,1 гр,0.0058,3912,1502,133,55.0,,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
9,9,14-07-2020 17:28:11,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,8,нет,Тбилиси,1 гр,0.0062,4197,1611,143,59.0,,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
