,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,18-02-2020 06:54:19,Tbilisi,61df6a1c90,Метадон 0.15гр,True,3,нет,Тбилиси,0.15 гр,0.0117,8230,3186,285,130.0,,,,,,,,,,Metadon 0.15gr
1,1,18-02-2020 06:54:19,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g. PODEZD,True,2,нет,Тбилиси,0.25 гр,0.006,3799,1471,132,60.0,,,,,,,,,,Iranian Sirec 0.25g. PODEZD
2,2,18-02-2020 06:54:19,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0162,11396,4412,395,180.0,,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,18-02-2020 06:54:19,Tbilisi,32e645c201,"methadone 0,29 gr",,3,нет,Тбилиси,0.29 гр,0.0208,13295,5147,461,210.0,True,,,,,,,,,"methadone 0,29 gr"
4,4,18-02-2020 06:54:19,Tbilisi,61df6a1c90,Метадон 0.30гр,True,4,нет,Тбилиси,0.3 гр,0.0162,12029,4657,417,190.0,,,,,,,,,,Metadon 0.30gr
5,5,18-02-2020 06:54:19,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,2,нет,Тбилиси,0.5 гр,0.0109,6901,2672,239,109.0,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
6,6,18-02-2020 06:54:19,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0262,18359,7108,636,290.0,,,,,,,,,,Metadon VHQ 0.5 24/7
7,7,18-02-2020 06:54:19,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,6,нет,Тбилиси,0.5 гр,0.0099,6268,2426,217,99.0,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
8,8,18-02-2020 06:54:19,Tbilisi,edfbad0151,Pineapple Express 0.5G pressed buds only (hydro),True,10,нет,Тбилиси,0.5 гр,0.003,1899,735,66,30.0,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
9,9,18-02-2020 06:54:19,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,6,нет,Тбилиси,0.5 гр,0.0104,6901,2672,239,109.0,,,,,,,,,,Pure COCAINE VHQ 0.5g
10,10,18-02-2020 06:54:19,Tbilisi,61df6a1c90,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0271,18993,7353,658,300.0,,,,,,,,,,Metadon 0.6gr
11,11,18-02-2020 06:54:19,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,2,нет,Тбилиси,0.8 гр,0.0119,7597,2941,263,120.0,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
12,12,18-02-2020 06:54:19,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,5,нет,Тбилиси,1 гр,0.0119,7597,2941,263,120.0,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
13,13,18-02-2020 06:54:19,Tbilisi,4a91350669,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,2,нет,Тбилиси,1 гр,0.0089,5698,2206,198,90.0,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
14,14,18-02-2020 06:54:19,Tbilisi,21de5577be,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,2,нет,Тбилиси,1 гр,0.0045,2849,1103,99,45.0,,True,,,,,,,,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
15,15,18-02-2020 06:54:19,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,2,нет,Тбилиси,1 гр,0.0084,5381,2083,187,85.0,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
16,16,18-02-2020 06:54:19,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,,3,нет,Тбилиси,1 гр,0.004,2596,1005,90,41.0,True,,,,,,,,,1G -- AK-47 -> Sativa
17,17,18-02-2020 06:54:19,Tbilisi,cb721d4bca,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,2,нет,Тбилиси,1 гр,0.0091,5833,2261,202,,,,85.0,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
