,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,0,01-06-2020 06:19:19,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0169,11250,4301,383,159.0,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,01-06-2020 06:19:19,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0138,9198,3517,313,130.0,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
2,2,01-06-2020 06:19:19,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,1,нет,Тбилиси,1 гр,0.0317,21155,8088,721,299.0,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
3,3,01-06-2020 06:19:19,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0859,63677,24345,2169,900.0,,,,,,,,,,Metadon 1gr
4,4,01-06-2020 06:19:19,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0253,16910,6465,576,239.0,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
5,5,01-06-2020 06:19:19,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0116,7712,2948,263,109.0,True,,,,,,,,,✨ 1g. MDMA ✨
6,6,01-06-2020 06:19:19,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,2,нет,Тбилиси,2 гр,0.0092,6226,2380,212,88.0,,,,,,,,,,2gr HYBRID buds
7,7,01-06-2020 06:19:19,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,3 гр,0.0126,8419,3219,287,119.0,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
8,8,01-06-2020 06:19:19,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,True,4,нет,Тбилиси,3 гр,0.0091,6155,2353,210,87.0,,,,,,,,,,3 gr georgian weed. Package on magnet
9,9,01-06-2020 06:19:19,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0111,7429,2840,253,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
10,10,01-06-2020 06:19:19,Tbilisi,8528108b62,4g.марихуана шишки white widow,True,3,нет,Тбилиси,4 гр,0.0186,13797,5275,470,195.0,,,,,,,,,,4g.marihuana shishki white widow
11,11,01-06-2020 06:19:19,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,6,нет,Тбилиси,4 гр,0.0112,7570,2894,258,107.0,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
12,12,01-06-2020 06:19:19,Tbilisi,be97026d1d,!! Lemon Haze 5g!! !!! BTC SALE 5% !!!,,2,нет,Тбилиси,5 гр,0.0205,14080,5383,480,199.0,,True,,,,,,,,!! Lemon Haze 5g!! !!! BTC SALE 5% !!!
13,13,01-06-2020 06:19:19,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0312,21226,8115,723,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
14,14,01-06-2020 06:19:19,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,True,10,нет,Тбилиси,5 гр,0.0146,9835,3760,335,139.0,,,,,,,,,,5 gr georgian weed. Package on magnet
15,15,01-06-2020 06:19:19,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.0229,16980,6492,578,240.0,,,,,,,,,,5g. marihuana shishki Critical
16,16,01-06-2020 06:19:19,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,5 гр,0.0125,8419,3219,287,119.0,,,True,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
17,17,01-06-2020 06:19:19,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0186,12382,4734,422,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
18,18,01-06-2020 06:19:19,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.1208,81365,31108,2772,1150.0,,,,,,,,,,Cocaine Pure VHQ 5g.
19,19,01-06-2020 06:19:19,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.1191,82780,31649,2820,1170.0,,,,,,,,,,VHQ BEST Cocaine 5g.
20,20,01-06-2020 06:19:19,Tbilisi,be97026d1d,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!,,1,нет,Тбилиси,7.5 гр,0.028999999999999998,19740,7547,672,279.0,,True,,,,,,,,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!
21,21,01-06-2020 06:19:19,Tbilisi,7c395c455d,10 gr марихуана листья top гибрид,True,14,нет,Тбилиси,10 гр,0.0105,7075,2705,241,100.0,,,True,,,,,,,10 gr marihuana list'ja top gibrid
22,22,01-06-2020 06:19:19,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,True,3,нет,Тбилиси,20 гр,0.0034,2547,974,87,36.0,,,,,,,,,,GABAGAMA 20 SHTUK
23,23,01-06-2020 06:19:19,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0076,5660,2164,193,80.0,,,,,,,,,,GABAGAMA 50 SHTUK
24,24,01-06-2020 06:19:19,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1909,141504,54100,4820,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
25,25,01-06-2020 06:19:19,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0177,13089,5004,446,185.0,,,,,,,,,,GABAGAMA 150 shtuk
