,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Gldani,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,19-03-2020 22:09:23,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,11,нет,Тбилиси,0.25 гр,0.0276,15230,5434,464,190,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,19-03-2020 22:09:23,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,,1,нет,Тбилиси,0.25 гр,0.0132,7214,2574,220,90,True,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,19-03-2020 22:09:23,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.33 грамм",,8,нет,Тбилиси,0.33 гр,0.0073,4363,1540,134,,True,50,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.33 gramm"
3,19-03-2020 22:09:23,Tbilisi,V4T,COCAcoLA,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))) скидка припокупке битком!,True,12,нет,Тбилиси,0.5 гр,0.0106,6012,2145,183,75,,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!))) skidka pripokupke bitkom!
4,19-03-2020 22:09:23,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,,1,нет,Тбилиси,0.5 гр,0.0169,9619,3432,293,120,True,,,,,,,,,,Pure COCAINE VHQ 0.5g
5,19-03-2020 22:09:23,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.0073,4008,1430,122,50,True,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
6,19-03-2020 22:09:23,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,,5,нет,Тбилиси,1 гр,0.0176,9619,3432,293,120,True,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
7,19-03-2020 22:09:23,Tbilisi,1GT8,GREENGY,1g MDMA (IMPORTED),,3,нет,Тбилиси,1 гр,0.0169,9619,3432,293,120,True,,,,,,,,,,1g MDMA (IMPORTED)
8,19-03-2020 22:09:23,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,,10,нет,Тбилиси,1 гр,0.0068,3687,1316,112,46,True,,,,,,,,,,Amsterdam weed sativa 1gr
9,19-03-2020 22:09:23,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,1,нет,Тбилиси,1 гр,0.0266,15150,5405,461,189,True,,,,,,,,,,Cocaine Pure VHQ 1g
10,19-03-2020 22:09:23,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,,1,нет,Тбилиси,1 гр,0.088,48094,17160,1465,600,True,,,,,,,,,,Metadon VHQ 1 24/7
11,19-03-2020 22:09:23,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 1G,,1,нет,Тбилиси,1 гр,0.0073,4008,1430,122,50,True,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 1G
12,19-03-2020 22:09:23,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 1 штука!!!,,2,нет,Тбилиси,1 гр,0.0031,1844,658,56,23,True,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 1 shtuka!!!
