,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vazisubani,Vake,Gldani,Saburtalo,Didube,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,18-06-2020 21:57:53,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0123,8534,3308,292,109.0,,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,18-06-2020 21:57:53,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,,2,нет,Тбилиси,0.25 гр,0.0102,6962,2690,238,,True,100.0,,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,2,18-06-2020 21:57:53,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,15,нет,Тбилиси,0.5 гр,0.0031,2089,807,71,,True,30.0,True,,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
3,3,18-06-2020 21:57:53,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0134,9050,3497,310,,True,130.0,,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
4,4,18-06-2020 21:57:53,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,1,нет,Тбилиси,1 гр,0.006,4107,1587,141,,,59.0,,True,,,,,,,,,1 G Hybrid Marijuana Buds
5,5,18-06-2020 21:57:53,Tbilisi,69672fee0d,1 гр INDICA марихуана шишки тгк 21% VHQ!!,,1,нет,Тбилиси,1 гр,0.004,2715,1049,93,,True,39.0,,,,,,,,,,,1 gr INDICA marihuana shishki tgk 21% VHQ!!
6,6,18-06-2020 21:57:53,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0247,16639,6429,569,,,239.0,,,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
7,7,18-06-2020 21:57:53,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0087,5918,2287,202,,,85.0,,True,,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
8,8,18-06-2020 21:57:53,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,True,7,нет,Тбилиси,3 гр,0.0071,4804,1856,164,,,69.0,,,,,True,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
9,9,18-06-2020 21:57:53,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,4 гр,0.0143,9747,3766,333,,,140.0,,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
10,10,18-06-2020 21:57:53,Tbilisi,f4d1c31614,5g Georgian buds,,8,нет,Тбилиси,5 гр,0.0137,9677,3739,331,,True,139.0,,,,,,,,,,,5g Georgian buds
11,11,18-06-2020 21:57:53,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0223,16708,6456,571,,True,240.0,,,,,,,,,,,5g. marihuana shishki Critical
12,12,18-06-2020 21:57:53,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,,4,нет,Тбилиси,5 гр,0.0139,10373,4008,355,,True,149.0,,,,,,,,,,,5g. GEO Marihuana boshki
13,13,18-06-2020 21:57:53,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,1,нет,Тбилиси,5 гр,0.1174,81453,31473,2786,,True,1170.0,,,,,,,,,,,VHQ BEST Cocaine 5g.
14,14,18-06-2020 21:57:53,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,5 гр,0.0051,3829,1480,131,,True,55.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
15,15,18-06-2020 21:57:53,Tbilisi,83f3d55917,Химка !! 10 г %%5%% скидка новинка !!!!,,2,нет,Тбилиси,10 гр,0.0064,4525,1749,155,,,65.0,,,,,,True,,,,,Himka !! 10 g %%5%% skidka novinka !!!!
16,16,18-06-2020 21:57:53,Tbilisi,7bd1a5deba,11 - GRAMM BEASTWEED,,3,нет,Тбилиси,11 гр,0.0172,12879,4977,441,,True,185.0,,,,,,,,,,,11 - GRAMM BEASTWEED
17,17,18-06-2020 21:57:53,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0466,34809,13450,1191,,True,500.0,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
18,18,18-06-2020 21:57:53,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,,1,нет,Тбилиси,50 гр,0.0072,4873,1883,167,,True,70.0,,,,,,,,,,,GABAGAMA 50 SHTUK
19,19,18-06-2020 21:57:53,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2067,139236,53800,4762,,True,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
20,20,18-06-2020 21:57:53,Tbilisi,54915c4374,Сирец (геройн) очень сильный 1 гр (предзаказ на 10% дешевле!!!),,нет,20,Тбилиси,1 гр,0.0358,24366,9415,833,,True,350.0,,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 1 gr (predzakaz na 10% deshevle!!!)
21,21,18-06-2020 21:57:53,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,3,Тбилиси,2 гр,0.0217,14620,5649,500,,True,210.0,,,,,,,,,,,✨✨2gram. MDMA✨✨
22,22,18-06-2020 21:57:53,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,4,Тбилиси,2 гр,0.0382,25689,9926,879,,True,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
23,23,18-06-2020 21:57:53,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,5,Тбилиси,3 гр,0.0599,40309,15575,1379,,True,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
24,24,18-06-2020 21:57:53,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.040999999999999995,27847,10760,952,,True,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
25,25,18-06-2020 21:57:53,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0563,38290,14795,1310,,True,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
26,26,18-06-2020 21:57:53,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0277,18797,7263,643,,True,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
27,27,18-06-2020 21:57:53,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0287,19493,7532,667,,True,280.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
28,28,18-06-2020 21:57:53,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0282,19145,7398,655,,True,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
29,29,18-06-2020 21:57:53,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0246,16708,6456,571,,True,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
30,30,18-06-2020 21:57:53,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0287,19493,7532,667,,True,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
31,31,18-06-2020 21:57:53,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,5,Тбилиси,5 гр,0.0277,18797,7263,643,,True,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
32,32,18-06-2020 21:57:53,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0204,15246,5891,521,,True,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
33,33,18-06-2020 21:57:53,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0277,18797,7263,643,,True,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
34,34,18-06-2020 21:58:18,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0276,18797,7263,643,,True,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
35,35,18-06-2020 21:58:18,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.254,190000,87429,6504,,True,,,,,,,,,,,,reagent 25i nbome. 5gr
36,36,18-06-2020 21:58:18,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2792,208854,80700,7144,,,3000.0,,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
