,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Vake,Батуми,Центр,desc_en
0,0,23-07-2020 12:06:44,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,9,нет,Тбилиси,0.5 гр,0.0034,2336,927,79,33.0,,,,,,,,,,,0.5 gr HYBRID buds
1,1,23-07-2020 12:06:44,Tbilisi,21de5577be,0.5 gr. Afghan kush (Indika),,4,нет,Тбилиси,0.5 гр,0.0032,2194,871,74,31.0,True,,,,,,,,,,0.5 gr. Afghan kush (Indika)
2,2,23-07-2020 12:06:44,Tbilisi,d04eeb6525,Hybrid Bomba 0.5г TOP BUDS,True,1,нет,Тбилиси,0.5 гр,0.0027,2053,815,69,29.0,,,,,,,,,,,Hybrid Bomba 0.5g TOP BUDS
3,3,23-07-2020 12:06:44,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0035,2407,955,81,34.0,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
4,4,23-07-2020 12:06:44,Tbilisi,ae784bef73,NEW! ГАШИШ ! NEW ! 0.5G,True,9,нет,Тбилиси,0.5 гр,0.0046,3185,1265,107,45.0,,,,,,,,,,,NEW! GAShISh ! NEW ! 0.5G
5,5,23-07-2020 12:06:44,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0034,2336,927,79,33.0,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
6,6,23-07-2020 12:06:44,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 0.5G🍭🍭🍭,True,3,нет,Тбилиси,0.5 гр,0.0067,4601,1827,155,65.0,,True,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 0.5G🍭🍭🍭
7,7,23-07-2020 12:06:44,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,2,нет,Тбилиси,1 гр,0.0061,4177,1658,141,59.0,,,,,,,,,,,1 gr super lemon haze probnik
8,8,23-07-2020 12:06:44,Tbilisi,21de5577be,1.0 gr. Afghan kush (Indika),,5,нет,Тбилиси,1 гр,0.0055,3752,1489,126,53.0,True,,,,,,,,,,1.0 gr. Afghan kush (Indika)
9,9,23-07-2020 12:06:44,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,2,нет,Тбилиси,1 гр,0.0055,3752,1489,126,53.0,True,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
10,10,23-07-2020 12:06:44,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,12,нет,Тбилиси,1 гр,0.0051,3469,1377,117,49.0,,,,,,,,,,,1gr HYBRID o.g
11,11,23-07-2020 12:06:44,Tbilisi,ebadfc162f,Gorilla Glue 1G Super strong weed LIMITED,True,2,нет,Тбилиси,1 гр,0.0062,4247,1686,143,60.0,,,True,,,,,,,,Gorilla Glue 1G Super strong weed LIMITED
12,12,23-07-2020 12:06:45,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,True,2,нет,Тбилиси,1 гр,0.0052,3893,1546,131,55.0,,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
13,13,23-07-2020 12:06:45,Tbilisi,f25c0d6c5c,Шишка добрая 1 g,True,10,нет,Тбилиси,1 гр,0.0051,3600,1657,121,,,,,,,,,,,,Shishka dobraja 1 g
14,14,23-07-2020 12:06:45,Tbilisi,ebadfc162f,уро / Hammer 1G 100% Center Buds! центровки !! LIMITED,True,2,нет,Тбилиси,1 гр,0.0072,4955,1967,167,70.0,,,,,,,,,,,uro / Hammer 1G 100% Center Buds! tsentrovki !! LIMITED
15,15,23-07-2020 12:06:45,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,1,нет,Тбилиси,2 гр,0.0112,7716,3063,260,109.0,True,,,,,,,,,,2 G Hybrid Marijuana Buds
16,16,23-07-2020 12:06:45,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",True,5,нет,Тбилиси,2 гр,0.0113,7787,3091,262,110.0,,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
17,17,23-07-2020 12:06:45,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,5,нет,Тбилиси,2 гр,0.0124,8495,3372,286,120.0,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
18,18,23-07-2020 12:06:45,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,3,нет,Тбилиси,2 гр,0.0124,8495,3372,286,120.0,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
19,19,23-07-2020 12:06:45,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,2 гр,0.0113,7787,3091,262,110.0,,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
20,20,23-07-2020 12:06:45,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,2 гр,0.0103,7079,2810,239,100.0,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
21,21,23-07-2020 12:06:45,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,4,нет,Тбилиси,2 гр,0.0124,8495,3372,286,120.0,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
22,22,23-07-2020 12:06:45,Tbilisi,7c395c455d,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,True,8,нет,Тбилиси,2 гр,0.0206,14158,5620,477,200.0,,,,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
23,23,23-07-2020 12:06:45,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",True,3,нет,Тбилиси,2 гр,0.0103,7787,3091,262,110.0,,,,True,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
24,24,23-07-2020 12:06:45,Tbilisi,d04eeb6525,Hybrid Bomba 2 г. TOP BUDS Very Strong,True,2,нет,Тбилиси,2 гр,0.0102,7716,3063,260,109.0,,,,,,,,,,,Hybrid Bomba 2 g. TOP BUDS Very Strong
25,25,23-07-2020 12:06:45,Tbilisi,83f3d55917,Badazz Kush 3G VHQ 25% THC,,3,нет,Тбилиси,3 гр,0.0134,9202,3653,310,130.0,True,,,,,,,,,,Badazz Kush 3G VHQ 25% THC
26,26,23-07-2020 12:06:45,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,5,нет,Тбилиси,3 гр,0.0025,1699,674,57,24.0,,,True,,,,,,,,Marijuana Super Skunk leaves 3g plan
27,27,23-07-2020 12:06:45,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm (special price),True,5,нет,Тбилиси,3 гр,0.0108,8141,3232,274,115.0,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm (special price)
28,28,23-07-2020 12:06:45,Tbilisi,e771f4c371,Red Cherry 4.2G 27%THC *VHQ* FROM EUROPE,True,1,нет,Тбилиси,4.2 гр,0.0206,14158,5620,477,200.0,,,,,,,,,,,Red Cherry 4.2G 27%THC *VHQ* FROM EUROPE
29,29,23-07-2020 12:06:45,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,1,нет,Тбилиси,5 гр,0.0289,19821,7868,668,280.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
