,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,desc_en
0,0,09-07-2020 17:26:22,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,3,нет,Тбилиси,0.25 гр,0.0115,7961,3049,273,99.0,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,09-07-2020 17:26:22,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0106,7237,2772,248,90.0,True,,,,,,,,,NEW Iranian Sirec 0.25g.
2,2,09-07-2020 17:26:22,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,2,нет,Тбилиси,0.5 гр,0.0035,2339,898,81,,True,33.0,,,,,,,,0.5 gr HYBRID buds
3,3,09-07-2020 17:26:22,Tbilisi,16a8841259,0.5г Ak - 47,,3,нет,Тбилиси,0.5 гр,0.0033,2268,870,78,,True,32.0,,,,,,,,0.5g Ak - 47
4,4,09-07-2020 17:26:22,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet,,1,нет,Тбилиси,0.5 гр,0.017,11553,4434,398,,True,163.0,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet
5,5,09-07-2020 17:26:22,Tbilisi,52fe6d0af9,New !!! VHQ Ketamine Imported!! New!!! 0.5G,,1,нет,Тбилиси,0.5 гр,0.0113,7655,2938,264,,True,108.0,,,,,,,,New !!! VHQ Ketamine Imported!! New!!! 0.5G
6,6,09-07-2020 17:26:22,Tbilisi,0cd3c52bb8,"Remo Chemo , сорт чемпион ! Накуривает по-царски.На магните.Вес всегда больше 1 грамма.",,2,нет,Тбилиси,1 гр,0.0052,3898,1496,134,,,55.0,True,,,,,,,"Remo Chemo , sort chempion ! Nakurivaet po-tsarski.Na magnite.Ves vsegda bol'she 1 gramma."
7,7,09-07-2020 17:26:22,Tbilisi,67187efef3,АКЦИЯ! 1g hindu kish best buds BTC 5% sale,,4,нет,Тбилиси,1 гр,0.0043,3190,1224,110,,True,45.0,,,,,,,,AKTsIJa! 1g hindu kish best buds BTC 5% sale
8,8,09-07-2020 17:26:22,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,1,нет,Тбилиси,2 гр,0.0114,7726,2965,266,,,109.0,True,,,,,,,2 G Hybrid Marijuana Buds
9,9,09-07-2020 17:26:22,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 2г.,,1,нет,Тбилиси,2 гр,0.0104,7088,2720,244,,,100.0,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 2g.
10,10,09-07-2020 17:26:22,Tbilisi,8528108b62,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0142,10632,4080,366,,True,150.0,,,,,,,,3g. marihuana shishki Critical
11,11,09-07-2020 17:26:22,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,12,нет,Тбилиси,3 гр,0.0058,3898,1496,134,,True,55.0,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
12,12,09-07-2020 17:26:22,Tbilisi,8528108b62,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0227,17011,6528,586,,True,240.0,,,,,,,,5g. marihuana shishki Critical
13,13,09-07-2020 17:26:22,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,17,нет,Тбилиси,5 гр,0.0073,4891,1877,168,,True,69.0,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
14,14,09-07-2020 17:26:22,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,1,нет,Тбилиси,5 гр,0.0227,17011,6528,586,,,240.0,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
15,15,09-07-2020 17:26:22,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,8,нет,Тбилиси,5 гр,0.0052,3898,1496,134,,True,55.0,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
16,16,09-07-2020 17:26:22,Tbilisi,54915c4374,марки н-боом 5шт.,,5,нет,Тбилиси,5 гр,0.0068,4607,1768,159,,,65.0,True,,,,,,,marki n-boom 5sht.
17,17,09-07-2020 17:26:22,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,1,нет,Тбилиси,10 гр,0.0136,9144,3509,315,,True,129.0,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
18,18,09-07-2020 17:26:22,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0455,31896,12240,1098,,True,450.0,,,,,,,,Gashish Evro 10gr
19,19,09-07-2020 17:26:22,Tbilisi,54915c4374,Марки н-боом 10 шт.,,1,нет,Тбилиси,10 гр,0.0104,7088,2720,244,,,100.0,True,,,,,,,Marki n-boom 10 sht.
20,20,09-07-2020 17:26:22,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0474,35440,13600,1220,,True,500.0,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
21,21,09-07-2020 17:26:22,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0068,4607,1768,159,,True,65.0,,,,,,,,Silver haze leaves list'ja 15gr sale
22,22,09-07-2020 17:26:22,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2102,141760,54400,4880,,True,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
23,23,09-07-2020 17:26:22,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,1,Тбилиси,3 гр,0.0946,63721,24453,2193,,True,899.0,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
24,24,09-07-2020 17:26:22,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,4,Тбилиси,4 гр,0.0417,28352,10880,976,,True,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
25,25,09-07-2020 17:26:22,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.026000000000000002,17720,6800,610,,True,250.0,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
26,26,09-07-2020 17:26:22,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0573,38984,14960,1342,,True,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
27,27,09-07-2020 17:26:22,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0281,19138,7344,659,,True,270.0,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
28,28,09-07-2020 17:26:22,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0292,19846,7616,683,,True,280.0,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
29,29,09-07-2020 17:26:22,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0286,19492,7480,671,,True,275.0,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
30,30,09-07-2020 17:26:22,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.025,17011,6528,586,,True,240.0,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
31,31,09-07-2020 17:26:22,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0292,19846,7616,683,,True,280.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
32,32,09-07-2020 17:26:22,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0281,19138,7344,659,,True,270.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
33,33,09-07-2020 17:26:22,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0207,15523,5957,534,,True,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
