,Unnamed: 0,time_stamp,region,sell_code,description,Varketili,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Дигоми,Gldani,Tbilisis Zgva,Saburtalo,Nadzaladevi,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,30-04-2020 15:18:09,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%",True,2,нет,Тбилиси,0.5 гр,0.0029,2109,787,71,29.0,,,,,,,,,,,,,,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%"
1,1,30-04-2020 15:18:09,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,12,нет,Тбилиси,1 гр,0.0061,4000,1493,134,55.0,True,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
2,2,30-04-2020 15:18:09,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,,9,нет,Тбилиси,1 гр,0.0041,2982,1113,100,41.0,True,,,,,,,,,,,,,Hybrid Ana-sha 1G.
3,3,30-04-2020 15:18:09,Tbilisi,3814ba5701,Weed From Gali(THC 23%) 1gr,,4,нет,Тбилиси,1 гр,0.0053,3636,1358,122,50.0,,True,True,True,,,,,,,,,,Weed From Gali(THC 23%) 1gr
4,4,30-04-2020 15:18:09,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0903,65454,24435,2192,900.0,True,,,,,,,,,,,,,Metadon 1gr
5,5,30-04-2020 15:18:10,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%",,1,нет,Тбилиси,1.5 гр,0.006999999999999999,5091,1901,171,70.0,,,True,,,,,,,,,,,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%"
6,6,30-04-2020 15:18:10,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,4,нет,Тбилиси,2 гр,0.011000000000000001,7273,2715,244,100.0,True,,,,,,,,,,,,,2 G Hybrid Marijuana Buds
7,7,30-04-2020 15:18:10,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0094,6182,2308,207,85.0,,,,,True,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
8,8,30-04-2020 15:18:10,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,,4,нет,Тбилиси,3 гр,0.0143,9454,3530,317,130.0,True,,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
9,9,30-04-2020 15:18:10,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,,11,нет,Тбилиси,3 гр,0.011000000000000001,7273,2715,244,100.0,True,,,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
10,10,30-04-2020 15:18:10,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0339,23272,8688,780,320.0,True,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
11,11,30-04-2020 15:18:10,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,3,нет,Тбилиси,5 гр,0.0328,21818,8145,731,300.0,True,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
12,12,30-04-2020 15:18:10,Tbilisi,bb1791277e,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,,2,нет,Тбилиси,5 гр,0.0065,4291,1602,144,59.0,True,,,,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
13,13,30-04-2020 15:18:10,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA. Технический универ,,2,нет,Тбилиси,5 гр,0.0195,12727,4751,426,175.0,True,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
14,14,30-04-2020 15:18:10,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 5g TOP VHQ,,3,нет,Тбилиси,5 гр,0.0177,11636,4344,390,160.0,True,,,,,,,,,,,,,AKA-47 ONLY BUDS 5g TOP VHQ
15,15,30-04-2020 15:18:10,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,2,нет,Тбилиси,10 гр,0.0231,15200,5674,509,209.0,,,,,,True,,,,,,,,10 gr marijuana buds. -indica-
16,16,30-04-2020 15:18:10,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 10g TOP VHQ,,2,нет,Тбилиси,10 гр,0.0331,21818,8145,731,300.0,True,,,,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
17,17,30-04-2020 15:18:10,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0424,29091,10860,974,400.0,True,,,,,,,,,,,,,gashish evro 10g
18,18,30-04-2020 15:18:10,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,1,нет,Тбилиси,20 гр,0.0447,29454,10996,987,405.0,,,,,,,True,,,,,,,20 gr Indica marijuana buds (hight quality)
19,19,30-04-2020 15:18:10,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0823,56508,21096,1893,777.0,True,,,,,,,,,,,,,Gashish Evro 20gr
20,20,30-04-2020 15:18:10,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2006,145453,54300,4872,2000.0,True,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
21,21,30-04-2020 15:18:10,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.17 грамм",,нет,20,Тбилиси,0.17 гр,0.0041,2691,1005,90,37.0,True,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.17 gramm"
22,22,30-04-2020 15:18:10,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",,нет,2,Тбилиси,1 гр,0.0149,9818,3665,329,135.0,True,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
23,23,30-04-2020 15:18:10,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Тбилиси,1 гр,0.036000000000000004,26109,9735,875,,True,,,,,,,330.0,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
24,24,30-04-2020 15:18:10,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,6,Тбилиси,2 гр,0.0234,15273,5702,512,210.0,True,,,,,,,,,,,,,✨✨2gram. MDMA✨✨
25,25,30-04-2020 15:18:10,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,8,Тбилиси,2 гр,0.0411,26836,10018,899,369.0,True,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
