,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,12-06-2020 21:40:42,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,3,нет,Тбилиси,0.5 гр,0.0033,2212,859,76,32.0,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
1,1,12-06-2020 21:40:42,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,3,нет,Тбилиси,3 гр,0.0089,6014,2336,207,87.0,True,,,,,,,3 gr georgian weed. Package on magnet
2,2,12-06-2020 21:40:42,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,17,нет,Тбилиси,3 гр,0.0071,4769,1853,164,69.0,True,True,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
3,3,12-06-2020 21:40:42,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,,1,нет,Тбилиси,3 гр,0.0119,7949,3088,273,115.0,,True,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
4,4,12-06-2020 21:40:42,Tbilisi,8528108b62,4g.марихуана шишки white widow,,1,нет,Тбилиси,4 гр,0.0181,13479,5236,463,195.0,True,,,,,,,4g.marihuana shishki white widow
5,5,12-06-2020 21:40:42,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,3,нет,Тбилиси,5 гр,0.0142,9608,3732,330,139.0,True,,,,,,,5 gr georgian weed. Package on magnet
6,6,12-06-2020 21:40:42,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0223,16589,6444,570,240.0,True,,,,,,,5g. marihuana shishki Critical
7,7,12-06-2020 21:40:42,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,12,нет,Тбилиси,5 гр,0.0181,12096,4699,416,175.0,True,,,,,,,5x Extasy Duracell 223mg MDMA.
8,8,12-06-2020 21:40:42,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,5 гр,0.0101,6843,2658,235,99.0,,True,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
9,9,12-06-2020 21:40:42,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,4,нет,Тбилиси,10 гр,0.0265,17903,6954,615,259.0,True,,,,,,,10 gr georgian weed. Package on magnet
