,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Didube,Gldani,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,13-05-2020 12:25:43,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,24,нет,Тбилиси,0.3 гр,0.0103,3221,232,7000,,,,,,,,,,,,0.3 a-pvp white
1,1,13-05-2020 12:25:43,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0173,4277,388,11676,159.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,13-05-2020 12:25:43,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0065,1614,146,4406,60.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
3,3,13-05-2020 12:25:43,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,1 гр,0.005,1372,124,3745,51.0,True,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
4,4,13-05-2020 12:25:43,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,1,нет,Тбилиси,1 гр,0.0326,8043,729,21956,299.0,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
5,5,13-05-2020 12:25:43,Tbilisi,8ddca45a78,1g NORTHERN LIGHTS (Indica),True,1,нет,Тбилиси,1 гр,0.0054,1345,122,3672,50.0,,,,,,,,,,,1g NORTHERN LIGHTS (Indica)
6,6,13-05-2020 12:25:43,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0254,6322,573,17257,235.0,,,,,,,,,,,Cocaine Pure VHQ 1g
7,7,13-05-2020 12:25:43,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0883,24210,2195,66089,900.0,,,,,,,,,,,Metadon 1gr
8,8,13-05-2020 12:25:43,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0261,6429,583,17550,239.0,,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
9,9,13-05-2020 12:25:43,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0119,2932,266,8004,109.0,,True,,,,,,,,,✨ 1g. MDMA ✨
10,10,13-05-2020 12:25:43,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,9,нет,Тбилиси,2 гр,0.0108,2690,244,7343,100.0,,,,,,,,,,,2 G Hybrid Marijuana Buds
11,11,13-05-2020 12:25:43,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,,2,нет,Тбилиси,2 гр,0.0085,2125,193,5801,79.0,True,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
