,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,Vake,Didube,.,Дигоми,Nadzaladevi,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
18,26-04-2020 23:12:45,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0394,23909,8752,788,320,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
19,26-04-2020 23:12:45,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0381,22415,8205,739,300,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
20,26-04-2020 23:12:45,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA. Технический универ,True,1,нет,Тбилиси,5 гр,0.0227,13075,4786,431,175,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
21,26-04-2020 23:12:45,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,,5,нет,Тбилиси,10 гр,0.0268,15616,5716,515,209,,True,,True,,,,,,,,,10 gr marijuana buds. -indica-
22,26-04-2020 23:12:45,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0493,29887,10940,985,400,,,,,,,,,,,,,gashish evro 10g
23,26-04-2020 23:12:45,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),,7,нет,Тбилиси,20 гр,0.052,30260,11077,998,405,,,,True,,,True,,,,,,20 gr Indica marijuana buds (hight quality)
24,26-04-2020 23:12:45,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0957,58055,21251,1914,777,,,,,,,,,,,,,Gashish Evro 20gr
25,26-04-2020 23:12:45,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2334,149433,54700,4926,2000,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
26,26-04-2020 23:12:45,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,9,Тбилиси,2 гр,0.0478,27570,10092,909,369,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
27,26-04-2020 23:12:45,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0765,44083,16137,1453,590,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
