,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Didube,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
21,21,16-07-2020 19:35:42,Tbilisi,8528108b62,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0125,9260,3575,312,,True,130.0,,,,,,,,,,3g. marihuana shishki Critical
22,22,16-07-2020 19:35:42,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,26,нет,Тбилиси,3 гр,0.0059,3918,1513,132,,True,55.0,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
23,23,16-07-2020 19:35:42,Tbilisi,83f3d55917,Badazz Kush 3G VHQ 25% THC,,3,нет,Тбилиси,3 гр,0.0159,10685,4125,360,,,150.0,True,,,,,,,,,Badazz Kush 3G VHQ 25% THC
24,24,16-07-2020 19:35:42,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,True,10,нет,Тбилиси,3 гр,0.0036,2422,935,82,,,34.0,,,,,,,,,,Marijuana Super Skunk leaves 3g plan
25,25,16-07-2020 19:35:42,Tbilisi,e771f4c371,4.2G Peppermint Kush 26%THC *VHQ*,,2,нет,Тбилиси,4.2 гр,0.0222,14959,5775,504,,True,210.0,,,,,,,,,,4.2G Peppermint Kush 26%THC *VHQ*
26,26,16-07-2020 19:35:42,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,5 гр,0.0275,18520,7150,624,,True,260.0,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
27,27,16-07-2020 19:35:42,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,нет,Тбилиси,5 гр,0.0297,19945,7700,672,,True,280.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
28,28,16-07-2020 19:35:42,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,2,нет,Тбилиси,5 гр,0.0286,19232,7425,648,,True,270.0,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
29,29,16-07-2020 19:35:42,Tbilisi,8528108b62,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0188,13890,5363,468,,True,195.0,,,,,,,,,,5g. marihuana shishki Critical
30,30,16-07-2020 19:35:42,Tbilisi,f374062dcd,Гашиш Твердый 5гр,,1,нет,Тбилиси,5 гр,0.0183,13534,5225,456,,True,190.0,,,,,,,,,,Gashish Tverdyj 5gr
31,31,16-07-2020 19:35:42,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,5 гр,0.0053,3918,1513,132,,True,55.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
32,32,16-07-2020 19:35:42,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0462,32054,12375,1081,,True,450.0,,,,,,,,,,Gashish Evro 10gr
33,33,16-07-2020 19:35:42,Tbilisi,8528108b62,12g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0318,23506,9075,793,,True,330.0,,,,,,,,,,12g. marihuana shishki Critical
34,34,16-07-2020 19:35:42,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2137,142462,55000,4803,,True,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
35,35,16-07-2020 19:36:13,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2135,142462,55000,4803,,True,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
36,36,16-07-2020 19:36:13,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.0378,25182,9719,851,310.0,True,,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
37,37,16-07-2020 19:36:13,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭,,нет,4,Тбилиси,2 гр,0.0233,15671,6050,528,,True,220.0,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭
38,38,16-07-2020 19:36:13,Tbilisi,7f1273da70,марихуана пудра высокое качество 4грам,,нет,10,Тбилиси,4 гр,0.0063,4630,1788,156,,True,65.0,,,,,,,,,,marihuana pudra vysokoe kachestvo 4gram
39,39,16-07-2020 19:36:13,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0265,17808,6875,600,,True,250.0,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
40,40,16-07-2020 19:36:13,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,3,Тбилиси,5 гр,0.0582,39177,15125,1321,,True,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
41,41,16-07-2020 19:36:13,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,2,6,Тбилиси,5 гр,0.0286,19232,7425,648,,True,270.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
42,42,16-07-2020 19:36:13,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0291,19589,7563,660,,True,275.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
43,43,16-07-2020 19:36:13,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,1,4,Тбилиси,5 гр,0.0254,17095,6600,576,,True,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
44,44,16-07-2020 19:36:13,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,6,Тбилиси,5 гр,0.0296,19945,7700,672,,True,280.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
45,45,16-07-2020 19:36:13,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0286,19232,7425,648,,True,270.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
46,46,16-07-2020 19:36:13,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0211,15600,6023,526,,True,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
47,47,16-07-2020 19:36:13,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0286,19232,7425,648,,True,270.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
48,48,16-07-2020 19:36:13,Tbilisi,f374062dcd,Кристаллы Синие очень мощные на рынке 5 гр,,нет,2,Тбилиси,5 гр,0.0808,59834,23100,2017,,True,840.0,,,,,,,,,,Kristally Sinie ochen' moschnye na rynke 5 gr
49,49,16-07-2020 19:36:13,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2566,190000,87429,6445,,True,,,,,,,,,,,reagent 25i nbome. 5gr
