,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Nadzaladevi,Varketili,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,13-04-2020 03:59:24,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.013999999999999999,8039,2987,270,109.0,,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
1,1,13-04-2020 03:59:24,Tbilisi,54915c4374,MDMA 0.5 грам.,True,1,нет,Тбилиси,0.5 гр,0.0091,5531,2055,186,75.0,,,,,,,,,,,,,MDMA 0.5 gram.
2,2,13-04-2020 03:59:24,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,4,нет,Тбилиси,1 гр,0.0059,3245,1206,109,44.0,,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
3,3,13-04-2020 03:59:24,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,13,нет,Тбилиси,1 гр,0.0067,4056,1507,136,55.0,,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
4,4,13-04-2020 03:59:24,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,1 гр,0.0054,2950,1096,99,40.0,,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
5,5,13-04-2020 03:59:24,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,2,нет,Тбилиси,1 гр,0.0074,4056,1507,136,55.0,,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
6,6,13-04-2020 03:59:24,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,4,нет,Тбилиси,1 гр,0.0052,2876,1069,97,39.0,,,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
7,7,13-04-2020 03:59:24,Tbilisi,cb721d4bca,1 гр листя плус галовки марихуана,True,1,нет,Тбилиси,1 гр,0.0027,1475,548,50,20.0,,,,,,,,,,,,,1 gr listja plus galovki marihuana
8,8,13-04-2020 03:59:24,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,13,нет,Тбилиси,1 гр,0.0296,16152,6001,542,219.0,,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
9,9,13-04-2020 03:59:24,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,4,нет,Тбилиси,1 гр,0.0074,4056,1507,136,55.0,,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
10,10,13-04-2020 03:59:24,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0249,14308,5316,480,194.0,,,,,,,,,,,,,Cocaine Pure VHQ 1g
11,11,13-04-2020 03:59:24,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0803,44251,16440,1485,600.0,True,,,,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
12,12,13-04-2020 03:59:24,Tbilisi,54915c4374,MDMA 1 гр,True,1,нет,Тбилиси,1 гр,0.0158,9588,3562,322,130.0,,,,,,,,,,,,,MDMA 1 gr
13,13,13-04-2020 03:59:24,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,23,нет,Тбилиси,1 гр,0.0024,1453,539,49,,,True,18.0,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
14,14,13-04-2020 03:59:24,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1094,66376,24660,2228,900.0,,,,,,,,,,,,,Metadon 1gr
15,15,13-04-2020 03:59:24,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,3,нет,Тбилиси,1 гр,0.0024,1475,548,50,20.0,,,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
16,16,13-04-2020 03:59:24,Tbilisi,83f3d55917,19% ТГК Шишки Northern Lights 1.1г Скидка 3% через БИТКОИН,,6,нет,Тбилиси,1.1 гр,0.0059,3319,1233,111,45.0,,,,True,True,,,,,,,,19% TGK Shishki Northern Lights 1.1g Skidka 3% cherez BITKOIN
17,17,13-04-2020 03:59:24,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,7,нет,Тбилиси,2 гр,0.01,5531,2055,186,75.0,,,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
18,18,13-04-2020 03:59:24,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,6,нет,Тбилиси,2 гр,0.0122,7375,2740,248,100.0,,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
19,19,13-04-2020 03:59:24,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,6,нет,Тбилиси,2 гр,0.0092,5089,1891,171,69.0,,,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
20,20,13-04-2020 03:59:24,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,5,нет,Тбилиси,2 гр,0.0115,6269,2329,210,85.0,,True,,,,,,,,,,,2g super Skunk top class buds. Indica
21,21,13-04-2020 03:59:24,Tbilisi,e56bb6ca93,2gr Indica dominant Buds,True,1,нет,Тбилиси,2 гр,0.0063,3466,1288,116,47.0,,,,,,,,,,,,,2gr Indica dominant Buds
22,22,13-04-2020 03:59:24,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0095,5163,1918,173,70.0,,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
23,23,13-04-2020 03:59:24,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,4,нет,Тбилиси,2 гр,0.0127,7006,2603,235,95.0,,,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
