,Unnamed: 0,time_stamp,region,sell_code,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vake,Nadzaladevi,Saburtalo,Авлобари,Батуми,Центр,desc_en
0,0,14-06-2020 20:08:31,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,3,нет,Тбилиси,0.25 гр,0.0146,10129,3922,347,129.0,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,14-06-2020 20:08:31,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,,5,нет,Тбилиси,0.25 гр,0.0122,8295,3228,285,,True,120.0,,,,,,,Iranian Sirec 0.25g.
2,2,14-06-2020 20:08:31,Tbilisi,16a8841259,Ak - 47 0.5г,,1,нет,Тбилиси,0.5 гр,0.0032,2143,834,74,,True,31.0,,,,,,,Ak - 47 0.5g
3,3,14-06-2020 20:08:31,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,12,нет,Тбилиси,0.5 гр,0.0033,2212,861,76,,True,32.0,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
4,4,14-06-2020 20:08:31,Tbilisi,54915c4374,Геройн (сирец) 1 гр,,1,нет,Тбилиси,1 гр,0.0321,21773,8474,749,,,315.0,True,,,,,,Gerojn (sirets) 1 gr
5,5,14-06-2020 20:08:31,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,8,нет,Тбилиси,3 гр,0.006999999999999999,4769,1856,164,,True,69.0,,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
6,6,14-06-2020 20:08:31,Tbilisi,97d5fcd29b,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0054,3802,1480,131,,True,55.0,,,,,,,Suboxene 4mg
7,7,14-06-2020 20:08:31,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (КЛАДИ НА МАГНИТАХ),,11,нет,Тбилиси,5 гр,0.0101,6843,2663,235,,True,99.0,,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (KLADI NA MAGNITAH)
8,8,14-06-2020 20:08:31,Tbilisi,7bd1a5deba,10 - GRAMM BEASTWEED,,5,нет,Тбилиси,10 гр,0.0185,13824,5380,476,,True,200.0,,,,,,,10 - GRAMM BEASTWEED
9,9,14-06-2020 20:08:31,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,,1,нет,Тбилиси,10 гр,0.0014,968,377,33,,True,14.0,,,,,,,GABAGAMA 10 shtuk
10,10,14-06-2020 20:08:31,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,6,нет,Тбилиси,10 гр,0.0203,13755,5353,473,,True,199.0,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
11,11,14-06-2020 20:08:31,Tbilisi,e56bb6ca93,"Отходы, листья и шишки. 🍃 Leafs and Buds (Good for making bubble hash)",,6,нет,Тбилиси,10 гр,0.0097,6497,2529,224,,True,94.0,,,,,,,"Othody, list'ja i shishki. 🍃 Leafs and Buds (Good for making bubble hash)"
12,12,14-06-2020 20:08:31,Tbilisi,83f3d55917,Химка !! 10 г %%5%% скидка новинка !!!!,,2,нет,Тбилиси,10 гр,0.0064,4493,1749,155,,,65.0,,True,,,,,Himka !! 10 g %%5%% skidka novinka !!!!
13,13,14-06-2020 20:08:31,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0463,34561,13450,1189,,True,500.0,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
14,14,14-06-2020 20:08:31,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2055,138244,53800,4756,,True,2000.0,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
15,15,14-06-2020 20:08:31,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,,нет,50,Тбилиси,0.5 гр,0.003,2005,780,69,,,29.0,,,True,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
16,16,14-06-2020 20:08:31,Tbilisi,54915c4374,Сирец (геройн) очень сильный 1 гр (предзаказ на 10% дешевле!!!),,нет,20,Тбилиси,1 гр,0.0356,24193,9415,832,,True,350.0,,,,,,,Sirets (gerojn) ochen' sil'nyj 1 gr (predzakaz na 10% deshevle!!!)
17,17,14-06-2020 20:08:31,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,2 гр,0.0087,5875,2287,202,,,85.0,True,,True,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
18,18,14-06-2020 20:08:31,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,7,Тбилиси,2 гр,0.0379,25506,9926,878,,True,369.0,,,,,,,❄❄2g HQ COCAINE❄❄
19,19,14-06-2020 20:08:31,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,6,Тбилиси,3 гр,0.0595,40022,15575,1377,,True,579.0,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
20,20,14-06-2020 20:08:31,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0407,27649,10760,951,,True,400.0,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
21,21,14-06-2020 20:08:31,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,1,1,Тбилиси,4 гр,0.0143,9677,3766,333,,,140.0,,,True,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
22,22,14-06-2020 20:08:31,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.055999999999999994,38017,14795,1308,,True,550.0,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
23,23,14-06-2020 20:08:31,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0239,16244,6322,559,,True,235.0,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
24,24,14-06-2020 20:08:31,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0244,16589,6456,571,,True,240.0,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
25,25,14-06-2020 20:08:31,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0234,15898,6187,547,,True,230.0,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
26,26,14-06-2020 20:08:31,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0244,16589,6456,571,,True,240.0,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
27,27,14-06-2020 20:08:31,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0244,16589,6456,571,,True,240.0,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
28,28,14-06-2020 20:08:31,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0234,15898,6187,547,,True,230.0,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
29,29,14-06-2020 20:08:31,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0203,15138,5891,521,,True,219.0,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
30,30,14-06-2020 20:08:31,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0257,17280,6725,595,,True,250.0,,,,,,,MARIXYANA - INDICA - 5 G.
31,31,14-06-2020 20:08:31,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0239,16244,6322,559,,True,235.0,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
32,32,14-06-2020 20:08:31,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2544,190000,87429,6482,,True,,,,,,,,reagent 25i nbome. 5gr
33,33,14-06-2020 20:08:31,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,True,нет,2,Тбилиси,5 гр,0.2777,207366,80700,7134,,,3000.0,,,,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
34,34,14-06-2020 20:09:50,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0916,62210,24210,2140,,True,900.0,,,,,,,10 gr mdma Kristally ochen silni import s evropi
35,35,14-06-2020 20:09:50,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0407,27649,10760,951,,True,400.0,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
36,36,14-06-2020 20:09:50,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0712,48385,18830,1665,,True,700.0,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
37,37,14-06-2020 20:09:50,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0427,29031,11298,999,,True,420.0,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
38,38,14-06-2020 20:09:50,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0814,55298,21520,1902,,True,800.0,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
39,39,14-06-2020 20:09:50,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2264,153796,59853,5291,,True,2225.0,,,,,,,Amfetamin [White] [Import] 10G
40,40,14-06-2020 20:09:50,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1602,107761,41937,3707,,True,1559.0,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
41,41,14-06-2020 20:09:50,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0811,54537,21224,1876,,True,789.0,,,,,,,💘✨10gram MDMA ✨💘
42,42,14-06-2020 20:09:50,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.0379,25506,9926,878,,True,369.0,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
43,43,14-06-2020 20:09:50,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1388,103683,40350,3567,,True,1500.0,,,,,,,✨💘20g MDMA💘✨
44,44,14-06-2020 20:09:50,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0616,41404,16113,1424,,True,599.0,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
45,45,14-06-2020 20:09:50,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1322,89789,34943,3089,,True,1299.0,,,,,,,50 gr georgian weed. Package on magnet
46,46,14-06-2020 20:09:50,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2543,172736,67223,5943,,True,2499.0,,,,,,,100 gr georgian weed. Package on magnet
47,47,14-06-2020 20:09:50,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2442,165893,64560,5707,,True,2400.0,,,,,,,100 gr marijuana buds
48,48,14-06-2020 20:09:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2035,138244,53800,4756,,True,2000.0,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
