,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
24,26-03-2020 06:08:43,Tbilisi,1GT8,GREENGY,5g MDMA (IMPORTED),True,1,нет,Тбилиси,5 гр,0.0527,31117,11300,1032,400,,,,,,,,,,5g MDMA (IMPORTED)
25,26-03-2020 06:08:43,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,8,нет,Тбилиси,5 гр,0.0242,13614,4944,451,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
26,26-03-2020 06:08:43,Tbilisi,LYHBG,Playboy,NEW !!! 5G OG KusH !!! NEW,True,1,нет,Тбилиси,5 гр,0.022,12369,4492,410,159,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
27,26-03-2020 06:08:43,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,8,нет,Тбилиси,5 гр,0.0069,4279,1554,142,55,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
28,26-03-2020 06:08:43,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Wholesale,,1,нет,Тбилиси,10 гр,0.0273,15481,5622,513,199,True,,,,,,,,,10 gr georgian weed. Wholesale
29,26-03-2020 06:08:43,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,,3,нет,Тбилиси,10 гр,0.0328,18592,6752,616,239,True,,,,,,,,,10 gr marijuana buds. -indica-
30,26-03-2020 06:08:43,Tbilisi,ABOAB,ProGrow,10G ---> ONLY BUDS,True,1,нет,Тбилиси,10 гр,0.0288,16336,5933,542,210,,,,,,,,,,10G ---> ONLY BUDS
31,26-03-2020 06:08:43,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0547,31039,11272,1029,399,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
32,26-03-2020 06:08:43,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0501,28394,10311,941,365,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
33,26-03-2020 06:08:43,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0366,20771,7543,689,267,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
