,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
22,22,24-02-2020 06:40:25,Tbilisi,ae784bef73,Afghan HQ buds ! NEW ! 1G,True,4,нет,Тбилиси,1 гр,0.0047,3022,1152,104,47.0,,,,,,,,,,Afghan HQ buds ! NEW ! 1G
23,23,24-02-2020 06:40:25,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0173,12217,4657,420,190.0,,,,,,,,,,Cocaine Pure VHQ 1g
24,24,24-02-2020 06:40:25,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,4,нет,Тбилиси,1 гр,0.0223,14146,5392,487,220.0,,,,,,,,,,"Cocaine, 1g"
25,25,24-02-2020 06:40:25,Tbilisi,2fdc22f2b2,HASH Mexicana 1 g SALE -10% for bitcoin.,True,8,нет,Тбилиси,1 гр,0.0063,4512,1724,155,,,,65.0,,,,,,,HASH Mexicana 1 g SALE -10% for bitcoin.
26,26,24-02-2020 06:40:25,Tbilisi,8219f5e7b8,Ketamine 1g,True,2,нет,Тбилиси,1 гр,0.0101,6430,2451,221,100.0,,,,,,,,,,Ketamine 1g
27,27,24-02-2020 06:40:25,Tbilisi,366326d4d6,Ketamine 1g.,True,5,нет,Тбилиси,1 гр,0.009000000000000001,5723,2181,197,89.0,,,,,,,,,,Ketamine 1g.
28,28,24-02-2020 06:40:25,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,2,нет,Тбилиси,1 гр,0.0041,2572,980,88,40.0,,,,,,,,,,"LSD - 250 ug, 1piece"
29,29,24-02-2020 06:40:25,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,1,нет,Тбилиси,1 гр,0.0456,32150,12255,1106,500.0,,,,,,,,,,Metadon VHQ 1 24/7
30,30,24-02-2020 06:40:25,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,6,нет,Тбилиси,1 гр,0.0192,12796,4877,440,199.0,,,,,,,,,,VHQ BEST Cocaine 1g.
31,31,24-02-2020 06:40:25,Tbilisi,ae784bef73,Гашиш Double-Twesla ! 1g ! VHQ ! TOP ! NEW !,True,2,нет,Тбилиси,1 гр,0.0075,4823,1838,166,75.0,,,,,,,,,,Gashish Double-Twesla ! 1g ! VHQ ! TOP ! NEW !
32,32,24-02-2020 06:41:04,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0411,28935,11030,995,450.0,,,,,,,,,,Metadon 1gr
33,33,24-02-2020 06:41:04,Tbilisi,e8a987a33c,"Метадон, 1gr",True,3,нет,Тбилиси,1 гр,0.0402,25720,9804,885,400.0,,,,,,,,,,"Metadon, 1gr"
34,34,24-02-2020 06:41:04,Tbilisi,ae784bef73,MDMA 0.8g + ketamine 0.3g ! VHQ,True,1,нет,Тбилиси,1.1 гр,0.0126,8038,3064,277,125.0,,,,,,,,,,MDMA 0.8g + ketamine 0.3g ! VHQ
35,35,24-02-2020 06:41:04,Tbilisi,4a91350669,2 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,1,нет,Тбилиси,2 гр,0.0236,15111,5760,520,235.0,,,,,,,,,,2 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
36,36,24-02-2020 06:41:04,Tbilisi,7ee4f68218,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,2,нет,Тбилиси,2 гр,0.0073,4859,1857,167,,,,70.0,,,,,,,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
37,37,24-02-2020 06:41:04,Tbilisi,4a91350669,2 ecstasy red maseratti VHQ екстази импорт с США,True,1,нет,Тбилиси,2 гр,0.009000000000000001,5787,2206,199,90.0,,,,,,,,,,2 ecstasy red maseratti VHQ ekstazi import s SShA
38,38,24-02-2020 06:41:04,Tbilisi,7ee4f68218,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,2,нет,Тбилиси,2 гр,0.0073,4859,1857,167,,,,70.0,,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
39,39,24-02-2020 06:41:04,Tbilisi,64284550d9,2G -- AK-47 -> Sativa,True,12,нет,Тбилиси,2 гр,0.0064,4180,1593,144,65.0,,True,,,,,,,,2G -- AK-47 -> Sativa
40,40,24-02-2020 06:41:04,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,2 гр,0.008,5080,1936,175,79.0,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
41,41,24-02-2020 06:41:04,Tbilisi,8ddca45a78,2g PURPLE HAZE Sativa THC 19% / BTC -10%,True,1,нет,Тбилиси,2 гр,0.0068,4823,1838,166,75.0,,,,,,,,,,2g PURPLE HAZE Sativa THC 19% / BTC -10%
42,42,24-02-2020 06:41:04,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,3,нет,Тбилиси,2 гр,0.0343,22184,8456,763,345.0,,True,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
43,43,24-02-2020 06:41:04,Tbilisi,8219f5e7b8,Ketamine 2 g,True,5,нет,Тбилиси,2 гр,0.0182,11574,4412,398,180.0,,,,,,,,,,Ketamine 2 g
44,44,24-02-2020 06:41:04,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,9,нет,Тбилиси,2 гр,0.0071,4501,1716,155,70.0,,,,,,,,,,"LSD - 250 ug, 2 pieces"
45,45,24-02-2020 06:41:04,Tbilisi,edfbad0151,Pineapple Express 2G pressed buds only (hydro),True,1,нет,Тбилиси,2 гр,0.0084,5466,2083,188,85.0,,,,,,,,,,Pineapple Express 2G pressed buds only (hydro)
46,46,24-02-2020 06:41:04,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0356,25077,9559,863,390.0,,,,,,,,,,VHQ BEST Cocaine 2g.
47,47,24-02-2020 06:41:04,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.035,22441,8554,772,349.0,,,,True,,,,,,Kokain KOLUMBIA 2g
48,48,24-02-2020 06:41:04,Tbilisi,7ee4f68218,🍃 2гр ГАШИШ 🍃,True,2,нет,Тбилиси,2 гр,0.0106,7073,2696,243,110.0,,,,,,,,,,🍃 2gr GAShISh 🍃
49,49,24-02-2020 06:41:04,Tbilisi,7ee4f68218,"3 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,3 гр,0.0104,6942,2653,239,,,,100.0,,,,,,,"3 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
50,50,24-02-2020 06:41:04,Tbilisi,7ee4f68218,3 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,3 гр,0.0104,6942,2653,239,,,,100.0,,,,,,,3 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
51,51,24-02-2020 06:41:04,Tbilisi,7c395c455d,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0246,15754,6005,542,245.0,,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
52,52,24-02-2020 06:41:04,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0107,6752,2574,232,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
53,53,24-02-2020 06:41:04,Tbilisi,ae784bef73,NEW ! Easy Bud ! SALE !,True,3,нет,Тбилиси,3 гр,0.008,5144,1961,177,80.0,,,,,,,,,,NEW ! Easy Bud ! SALE !
54,54,24-02-2020 06:41:04,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.01,6366,2426,219,99.0,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
55,55,24-02-2020 06:41:04,Tbilisi,4be7861731,metadon sirop 4ml,True,4,нет,Тбилиси,4 гр,0.0067,4308,1642,148,67.0,,,,,,,,,,metadon sirop 4ml
56,56,24-02-2020 06:41:04,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,4,нет,Тбилиси,5 гр,0.0173,12217,4657,420,190.0,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
57,57,24-02-2020 06:41:04,Tbilisi,7ee4f68218,"5 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,5 гр,0.0172,11454,4377,394,,,,165.0,,,,,,,"5 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
58,58,24-02-2020 06:41:04,Tbilisi,7ee4f68218,5 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,5 гр,0.0172,11454,4377,394,,,,165.0,,,,,,,5 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
59,59,24-02-2020 06:41:04,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0178,11253,4289,387,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
60,60,24-02-2020 06:41:04,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,3,нет,Тбилиси,5 гр,0.0152,9645,3677,332,150.0,,,,,,,,,,"LSD - 250 ug, 5 pieces"
61,61,24-02-2020 06:41:04,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,3,нет,Тбилиси,5 гр,0.0161,10224,3897,352,159.0,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
62,62,24-02-2020 06:41:04,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,3,нет,Тбилиси,5 гр,0.0156,9902,3775,341,154.0,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
63,63,24-02-2020 06:41:04,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.0784,55234,21054,1900,859.0,,,,,,,,,,VHQ BEST Cocaine 5g.
64,64,24-02-2020 06:41:04,Tbilisi,c225d2f67d,гашиш евро 5г,True,1,нет,Тбилиси,5 гр,0.0202,13503,5147,465,210.0,,,,,,,,,,gashish evro 5g
65,65,24-02-2020 06:41:04,Tbilisi,7ee4f68218,🍃 5гр ГАШИШ 🍃,True,1,нет,Тбилиси,5 гр,0.026000000000000002,17361,6618,597,270.0,,,,,,,,,,🍃 5gr GAShISh 🍃
66,66,24-02-2020 06:41:04,Tbilisi,7ee4f68218,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,10 гр,0.0312,20826,7959,717,,,,300.0,,,,,,,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
67,67,24-02-2020 06:42:02,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,13,нет,Тбилиси,10 гр,0.0268,17168,6544,591,267.0,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
68,68,24-02-2020 06:42:02,Tbilisi,e501bd0ada,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light",True,2,нет,Тбилиси,10 гр,0.032,22505,8579,774,350.0,,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light"
69,69,24-02-2020 06:42:02,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0385,25720,9804,885,400.0,,,,,,,,,,gashish evro 10g
70,70,24-02-2020 06:42:02,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,14,нет,Тбилиси,10 гр,0.0087,6109,2328,210,95.0,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
71,71,24-02-2020 06:42:02,Tbilisi,e501bd0ada,"weed gorila glue 20 gram, super duper, popcorn size",True,3,нет,Тбилиси,20 гр,0.0675,45011,17157,1548,700.0,,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size"
72,72,24-02-2020 06:42:02,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0749,49962,19044,1719,777.0,,,,,,,,,,Gashish Evro 20gr
73,73,24-02-2020 06:42:02,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,3,5,Тбилиси,0.27 гр,0.023,14596,5564,502,227.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
74,74,24-02-2020 06:42:02,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0304,19290,7353,664,300.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
75,75,24-02-2020 06:42:02,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0609,38580,14706,1327,600.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
76,76,24-02-2020 06:42:02,Tbilisi,cb721d4bca,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,5,Тбилиси,2 гр,0.0168,10738,4093,369,167.0,,,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
77,77,24-02-2020 06:42:02,Tbilisi,cb721d4bca,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,нет,5,Тбилиси,2 гр,0.0161,11454,4377,394,,,,165.0,,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
78,78,24-02-2020 06:42:02,Tbilisi,8ddca45a78,3g MIX / PURPLE HAZE + BLUE CHEESE + NORTHERN LIGHTS / BTC -10%,True,нет,1,Тбилиси,3 гр,0.01,7073,2696,243,110.0,,,,,,,,,,3g MIX / PURPLE HAZE + BLUE CHEESE + NORTHERN LIGHTS / BTC -10%
