,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Gldani,€,Saburtalo,Дигоми,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,14-03-2020 22:25:10,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,2,нет,Тбилиси,0.25 гр,0.0165,7319,2689,234,100,,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
1,14-03-2020 22:25:10,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,8,нет,Тбилиси,0.25 гр,0.0285,13906,5109,445,190,,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,14-03-2020 22:25:10,Tbilisi,TI21,Campaari,"Метадон VHQ 0,25",True,10,нет,Тбилиси,0.25 гр,0.0264,11710,4302,374,160,,,,,,,,,,,,"Metadon VHQ 0,25"
3,14-03-2020 22:25:10,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.30 G,True,3,3,Тбилиси,0.3 гр,0.0499,21956,8067,702,300,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
4,14-03-2020 22:25:10,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0082,3659,1345,117,50,,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
5,14-03-2020 22:25:10,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,,1,нет,Тбилиси,1 гр,0.0074,3293,1210,105,45,True,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
6,14-03-2020 22:25:10,Tbilisi,QUZIV,Hollyweed,1 г.Super Skunk top class buds! Indica,,5,нет,Тбилиси,1 гр,0.0072,3147,1156,101,43,,True,,,,,,,,,,1 g.Super Skunk top class buds! Indica
7,14-03-2020 22:25:10,Tbilisi,SF03,CRAZYFROG,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,4,нет,Тбилиси,1 гр,0.014,6221,2286,199,85,,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
8,14-03-2020 22:25:10,Tbilisi,ABOAB,ProGrow,1G ---> ONLY BUDS,True,15,нет,Тбилиси,1 гр,0.0063,2854,1049,91,39,,,,,,,,,,,,1G ---> ONLY BUDS
9,14-03-2020 22:25:10,Tbilisi,03F3,geoshop,1gr bubble hash thc 25% гашиш вишего качество HQ,True,6,нет,Тбилиси,1 гр,0.014,6221,2286,199,85,,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
