,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
25,25,10-05-2020 09:19:09,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,5 гр,0.0135,8791,3226,291,119.0,,,True,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
26,26,10-05-2020 09:19:09,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0201,12928,4744,427,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
27,27,10-05-2020 09:19:09,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 5g (TOP)(VHQ),True,4,нет,Тбилиси,5 гр,0.0193,12558,4609,415,170.0,,,,,,,,,,THE BEST GAGARIN WEED 5g (TOP)(VHQ)
28,28,10-05-2020 09:19:09,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1265,84953,31177,2808,1150.0,,,,,,,,,,VHQ BEST Cocaine 5g.
29,29,10-05-2020 09:19:09,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,10 гр,0.0226,14701,5395,486,199.0,,,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
30,30,10-05-2020 09:19:09,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 10g (TOP)(VHQ),True,1,нет,Тбилиси,10 гр,0.0374,24378,8946,806,330.0,,,,,,,,,,THE BEST GAGARIN WEED 10g (TOP)(VHQ)
31,31,10-05-2020 09:19:09,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0436,29549,10844,977,400.0,,,,,,,,,,gashish evro 10g
32,32,10-05-2020 09:19:09,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0846,57399,21064,1897,777.0,,,,,,,,,,Gashish Evro 20gr
33,33,10-05-2020 09:19:09,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2063,147745,54220,4883,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
34,34,10-05-2020 09:19:09,Tbilisi,e56bb6ca93,100 гр Марихуана шишки. ИНДИКА. оптовая Цена,,1,нет,Тбилиси,100 гр,0.1871,121816,44704,4026,1649.0,True,,,,,,,,,100 gr Marihuana shishki. INDIKA. optovaja Tsena
35,35,10-05-2020 09:19:09,Tbilisi,54915c4374,Бупренорфин!!! 0.1 грамм (₽предзаказ скидка 10%),True,нет,10,Тбилиси,0.1 гр,0.0055,3600,1321,119,,,,,45.0,,,,,,Buprenorfin!!! 0.1 gramm (₽predzakaz skidka 10%)
36,36,10-05-2020 09:20:06,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 гр!!! (Предзаказ скидка 10%)",True,нет,1,Тбилиси,0.7 гр,0.0119,7757,2847,256,105.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gr!!! (Predzakaz skidka 10%)"
37,37,10-05-2020 09:20:06,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,6,Тбилиси,1 гр,0.0182,11820,4338,391,160.0,,,,,,,,,,"""Kief"" Weed trichomes 1G"
