,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,16-03-2020 05:35:44,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,14,нет,Тбилиси,0.25 гр,0.028999999999999998,13906,5109,445,190.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
1,1,16-03-2020 05:35:44,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.30 G,True,7,3,Тбилиси,0.3 гр,0.0509,21956,8067,702,300.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
2,2,16-03-2020 05:35:44,Tbilisi,8ddca45a78,"0,5g AFGHANI Indica THC 18% / BTC -5% sale",True,3,нет,Тбилиси,0.5 гр,0.004,1830,672,59,25.0,,,,,,,,,,,"0,5g AFGHANI Indica THC 18% / BTC -5% sale"
3,3,16-03-2020 05:35:44,Tbilisi,8ddca45a78,"0,5g AMNESIA HAZE Sativa THC 20% / BTC -5% sale",True,4,нет,Тбилиси,0.5 гр,0.004,1830,672,59,25.0,,,,,,,,,,,"0,5g AMNESIA HAZE Sativa THC 20% / BTC -5% sale"
4,4,16-03-2020 05:35:44,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,10,нет,Тбилиси,0.5 гр,0.0185,7978,2931,255,109.0,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
5,5,16-03-2020 05:35:44,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.016,7246,2662,232,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
6,6,16-03-2020 05:35:44,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,,7,нет,Тбилиси,0.5 гр,0.0092,4025,1479,129,55.0,True,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
7,7,16-03-2020 05:35:44,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0176,7978,2931,255,109.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
8,8,16-03-2020 05:35:44,Tbilisi,99accec7c7,mephedrone 0.5 лучший меф! лечит даже корона вирус!))),,23,нет,Тбилиси,0.5 гр,0.0168,7319,2689,234,100.0,True,,,,,,,,,,mephedrone 0.5 luchshij mef! lechit dazhe korona virus!)))
9,9,16-03-2020 05:35:44,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,1,нет,Тбилиси,0.5 гр,0.0042,1830,672,59,25.0,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
