,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Nadzaladevi,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,07-04-2020 17:25:52,Tbilisi,54915c4374,MDMA 0.4 грам.,True,3,нет,Тбилиси,0.4 гр,0.0078,4905,1771,167,65.0,,,,,,,,,,MDMA 0.4 gram.
1,1,07-04-2020 17:25:52,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,True,7,нет,Тбилиси,0.5 гр,0.0099,5659,2044,193,75.0,,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
2,2,07-04-2020 17:25:52,Tbilisi,99accec7c7,MEPHEDRONE 0.5 gr,True,1,нет,Тбилиси,0.5 гр,0.0072,4150,1499,141,55.0,,,,,,,,,,MEPHEDRONE 0.5 gr
3,3,07-04-2020 17:25:52,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0145,8225,2970,280,109.0,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
4,4,07-04-2020 17:25:52,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.6 грамм",True,1,нет,Тбилиси,0.6 гр,0.0107,6791,2453,231,90.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.6 gramm"
5,5,07-04-2020 17:25:52,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,3,нет,Тбилиси,1 гр,0.0058,3320,1199,113,44.0,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,6,07-04-2020 17:25:52,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,4,нет,Тбилиси,1 гр,0.0072,4527,1635,154,60.0,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
7,7,07-04-2020 17:25:52,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,1 гр,0.0051,2943,1063,100,39.0,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
8,8,07-04-2020 17:25:52,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0788,45273,16350,1542,600.0,True,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
9,9,07-04-2020 17:25:52,Tbilisi,28bf667d16,MDMA Champagne - DutchMasters 1g,True,1,нет,Тбилиси,1 гр,0.0145,8300,2998,283,110.0,,,,,,,,,,MDMA Champagne - DutchMasters 1g
10,10,07-04-2020 17:25:52,Tbilisi,99accec7c7,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,,2,нет,Тбилиси,1 гр,0.092,52819,19075,1800,700.0,True,,,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
