,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,Didube,Дигоми,Vazisubani,Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,31-05-2020 02:21:07,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,True,3,нет,Тбилиси,0.25 гр,0.0105,7075,2705,241,100,,,,,,,,,,,Iranian Sirec 0.25g.
1,31-05-2020 02:21:07,Tbilisi,OX85,amnesia420,"0,5g LEMON SKUNK (Hybrid, more Sativa)",,4,нет,Тбилиси,0.5 гр,0.0032,2123,812,72,30,True,,,,,,,,,,"0,5g LEMON SKUNK (Hybrid, more Sativa)"
2,31-05-2020 02:21:07,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0169,11250,4301,383,159,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,31-05-2020 02:21:07,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 0.5G A+++,,1,нет,Тбилиси,0.5 гр,0.0068,4599,1758,157,65,,True,,,,,,,,,VHQ MDMA Champagne Imported 0.5G A+++
4,31-05-2020 02:21:07,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,4,нет,Тбилиси,1 гр,0.0318,21155,8088,721,299,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
5,31-05-2020 02:21:07,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0862,63677,24345,2169,900,,,,,,,,,,,Metadon 1gr
6,31-05-2020 02:21:07,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0254,16910,6465,576,239,,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
7,31-05-2020 02:21:07,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️,,2,нет,Тбилиси,1 гр,0.0052,3467,1325,118,49,,,True,,,,,,,,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️
8,31-05-2020 02:21:07,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,2 гр,0.0095,6297,2407,214,89,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
9,31-05-2020 02:21:07,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.009,6014,2299,205,85,,True,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
10,31-05-2020 02:21:07,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,3,нет,Тбилиси,3 гр,0.0127,8419,3219,287,119,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
11,31-05-2020 02:21:07,Tbilisi,EIH4,San4oPan4o,!!Critical Kush 5g!! !!! BTC SALE 5% !!!,,1,нет,Тбилиси,5 гр,0.0229,15707,6005,535,222,,,,True,,,,,,,!!Critical Kush 5g!! !!! BTC SALE 5% !!!
12,31-05-2020 02:21:07,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0313,21226,8115,723,300,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
13,31-05-2020 02:21:07,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.023,16980,6492,578,240,,,,,,,,,,,5g. marihuana shishki Critical
14,31-05-2020 02:21:07,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0186,12382,4734,422,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
15,31-05-2020 02:21:07,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1195,82780,31649,2820,1170,,,,,,,,,,,VHQ BEST Cocaine 5g.
16,31-05-2020 02:21:07,Tbilisi,03F3,geoshop,10 gr марихуана листья top гибрид,True,17,нет,Тбилиси,10 гр,0.0105,7075,2705,241,100,,,,,True,,,,,,10 gr marihuana list'ja top gibrid
17,31-05-2020 02:21:07,Tbilisi,HWUW,opiopi,GABAGAMA 20 SHTUK,True,9,нет,Тбилиси,20 гр,0.0034,2547,974,87,36,,,,,,,,,,,GABAGAMA 20 SHTUK
18,31-05-2020 02:21:07,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0786,54974,21018,1873,777,,,,,,,,,,,Gashish Evro 20gr
19,31-05-2020 02:21:07,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0077,5660,2164,193,80,,,,,,,,,,,GABAGAMA 50 SHTUK
20,31-05-2020 02:21:07,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1916,141504,54100,4820,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
21,31-05-2020 02:21:07,Tbilisi,HWUW,opiopi,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0177,13089,5004,446,185,,,,,,,,,,,GABAGAMA 150 shtuk
22,31-05-2020 02:21:07,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0223,14858,5681,506,210,,,,,,,,,,,✨✨2gram. MDMA✨✨
23,31-05-2020 02:21:07,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0393,26107,9981,889,369,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
24,31-05-2020 02:21:07,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0616,40965,15662,1395,579,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
25,31-05-2020 02:21:07,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0421,28301,10820,964,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
26,31-05-2020 02:21:07,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,2,2,Тбилиси,4 гр,0.0148,9905,3787,337,140,,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
27,31-05-2020 02:21:07,Tbilisi,EIH4,San4oPan4o,!! Lemon Haze 5g!! !!! BTC SALE 5% !!!,True,нет,4,Тбилиси,5 гр,0.0205,14080,5383,480,199,,,,,,,,,,,!! Lemon Haze 5g!! !!! BTC SALE 5% !!!
28,31-05-2020 02:21:07,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0738,49526,18935,1687,700,,,,,,,,,,,"""Kief"" Weed trichomes 5G"
29,31-05-2020 02:21:07,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.058,38914,14878,1326,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
30,31-05-2020 02:21:07,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0248,16627,6357,566,235,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
31,31-05-2020 02:21:07,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0253,16980,6492,578,240,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
32,31-05-2020 02:21:07,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0242,16273,6222,554,230,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
33,31-05-2020 02:21:07,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0253,16980,6492,578,240,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
