,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Varketili,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
23,22-02-2020 17:14:21,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0173,12217,4657,420,190,,,,,,,,,,,,Cocaine Pure VHQ 1g
24,22-02-2020 17:14:21,Tbilisi,5JG6,BenderMan,"Cocaine, 1g",True,1,нет,Тбилиси,1 гр,0.0222,14146,5392,487,220,,,,,,,,,,,,"Cocaine, 1g"
25,22-02-2020 17:14:21,Tbilisi,X4ZM,ZYX,Gorilla Glue! 1G ! NEW !,True,2,нет,Тбилиси,1 гр,0.004,2572,980,88,40,,,,,,,,,,,,Gorilla Glue! 1G ! NEW !
26,22-02-2020 17:14:21,Tbilisi,YOI,Hashland,HASH Mexicana 1 g SALE -10% for bitcoin.,True,7,нет,Тбилиси,1 гр,0.0064,4512,1724,155,,,,,,65,,,,,,,HASH Mexicana 1 g SALE -10% for bitcoin.
27,22-02-2020 17:14:21,Tbilisi,Z5UFK,Vein,Hashish Ice-o-lator 1g,True,7,нет,Тбилиси,1 гр,0.0076,4887,1863,168,76,,,,,,,,,,,,Hashish Ice-o-lator 1g
28,22-02-2020 17:14:21,Tbilisi,5JG6,BenderMan,Ketamine 1g,True,6,нет,Тбилиси,1 гр,0.0101,6430,2451,221,100,,,,,,,,,,,,Ketamine 1g
29,22-02-2020 17:14:21,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 1piece",True,3,нет,Тбилиси,1 гр,0.004,2572,980,88,40,,,,,,,,,,,,"LSD - 250 ug, 1piece"
30,22-02-2020 17:14:21,Tbilisi,X4ZM,ZYX,Maserati (ecstasy) 1шт,True,2,нет,Тбилиси,1 гр,0.0045,2894,1103,100,45,,,,,,,,,,,,Maserati (ecstasy) 1sht
31,22-02-2020 17:15:07,Tbilisi,X4ZM,ZYX,Maserati (ecstasy) 1шт,True,2,нет,Тбилиси,1 гр,0.0045,2894,1103,100,45,,,,,,,,,,,,Maserati (ecstasy) 1sht
32,22-02-2020 17:15:07,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,True,1,нет,Тбилиси,1 гр,0.0456,32150,12255,1106,500,,,,,,,,,,,,Metadon VHQ 1 24/7
33,22-02-2020 17:15:07,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,3,нет,Тбилиси,1 гр,0.0191,12153,4632,418,189,,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
34,22-02-2020 17:15:07,Tbilisi,UJP9,420Inc,THC Snow Buds Only 1G (THC 23+%),True,6,нет,Тбилиси,1 гр,0.0047,3022,1152,104,47,,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
35,22-02-2020 17:15:07,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.0191,12796,4877,440,199,,,,,,,,,,,,VHQ BEST Cocaine 1g.
36,22-02-2020 17:15:07,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,1,нет,Тбилиси,1 гр,0.0163,10931,4167,376,170,,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
37,22-02-2020 17:15:07,Tbilisi,X4ZM,ZYX,Гашиш Double-Twesla ! 1g ! VHQ ! TOP ! NEW !,True,2,нет,Тбилиси,1 гр,0.0075,4823,1838,166,75,,,,,,,,,,,,Gashish Double-Twesla ! 1g ! VHQ ! TOP ! NEW !
38,22-02-2020 17:15:07,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0187,12153,4632,418,189,,,,,,,,,,,,Kokain HQ 1g.
39,22-02-2020 17:15:07,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.041,28935,11030,995,450,,,,,,,,,,,,Metadon 1gr
40,22-02-2020 17:15:07,Tbilisi,EYO96,ROCKSHOP,"Метадон, 1gr",True,3,нет,Тбилиси,1 гр,0.0401,25720,9804,885,400,,,,,,,,,,,,"Metadon, 1gr"
41,22-02-2020 17:15:07,Tbilisi,X4ZM,ZYX,MDMA 0.8g + ketamine 0.3g ! VHQ,True,1,нет,Тбилиси,1.1 гр,0.0139,8938,3407,307,139,,,,,,,,,,,,MDMA 0.8g + ketamine 0.3g ! VHQ
42,22-02-2020 17:15:07,Tbilisi,JVZTQ,partyshop,2 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,1,нет,Тбилиси,2 гр,0.0236,15111,5760,520,235,,,,,,,,,,,,2 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
43,22-02-2020 17:15:07,Tbilisi,ABOAB,ProGrow,2G -- AK-47 -> Sativa,True,12,нет,Тбилиси,2 гр,0.0068,4437,1691,153,69,True,,,,,,,,,,,2G -- AK-47 -> Sativa
44,22-02-2020 17:15:07,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,2 гр,0.008,5080,1936,175,79,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
45,22-02-2020 17:15:07,Tbilisi,SF03,CRAZYFROG,"2gr mexica sativa марихуана шишки ,Оплата BITCOIN -10% Скидка.",True,3,нет,Тбилиси,2 гр,0.007,4501,1716,155,70,,,,,,,,,,,,"2gr mexica sativa marihuana shishki ,Oplata BITCOIN -10% Skidka."
46,22-02-2020 17:15:07,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,3,нет,Тбилиси,2 гр,0.0349,22827,8701,785,355,True,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
47,22-02-2020 17:15:07,Tbilisi,Z9UT,Rainbow,KALI MIST 2G,,2,нет,Тбилиси,2 гр,0.01,6430,2451,221,100,True,,,,,,,,,,,KALI MIST 2G
48,22-02-2020 17:15:07,Tbilisi,5JG6,BenderMan,Ketamine 2 g,True,6,нет,Тбилиси,2 гр,0.0182,11574,4412,398,180,,,,,,,,,,,,Ketamine 2 g
49,22-02-2020 17:15:07,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 2 pieces",True,7,нет,Тбилиси,2 гр,0.0071,4501,1716,155,70,,,,,,,,,,,,"LSD - 250 ug, 2 pieces"
50,22-02-2020 17:15:07,Tbilisi,UJP9,420Inc,Pineapple Express 2G pressed buds only (hydro),True,2,нет,Тбилиси,2 гр,0.0083,5466,2083,188,85,,,,,,,,,,,,Pineapple Express 2G pressed buds only (hydro)
51,22-02-2020 17:15:07,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,3,нет,Тбилиси,2 гр,0.0355,25077,9559,863,390,,,,,,,,,,,,VHQ BEST Cocaine 2g.
52,22-02-2020 17:15:07,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.035,22441,8554,772,349,,,,,,True,,,,,,Kokain KOLUMBIA 2g
53,22-02-2020 17:15:07,Tbilisi,0WE,Khachapuri,🍃 2гр ГАШИШ 🍃,True,3,нет,Тбилиси,2 гр,0.0106,7073,2696,243,110,,,,,,,,,,,,🍃 2gr GAShISh 🍃
54,22-02-2020 17:15:07,Tbilisi,03F3,geoshop,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0246,15754,6005,542,245,,,,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
55,22-02-2020 17:15:07,Tbilisi,X4ZM,ZYX,White Widow ! 3G ! grainded,True,9,нет,Тбилиси,3 гр,0.0072,4630,1765,159,72,,,,,,,,,,,,White Widow ! 3G ! grainded
56,22-02-2020 17:15:07,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,2,нет,Тбилиси,3 гр,0.01,6366,2426,219,99,,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
57,22-02-2020 17:15:07,Tbilisi,WLV7F,AGsgrowgro,metadon sirop 4ml,True,2,нет,Тбилиси,4 гр,0.0067,4308,1642,148,67,,,,,,,,,,,,metadon sirop 4ml
