,time_stamp,region,sell_code,sell_name,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,28-05-2020 05:41:17,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0092,6325,2419,214,89,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj !!! BTC SALE 5%!!!! SALE !!!!
1,28-05-2020 05:41:17,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,7,нет,Тбилиси,0.5 гр,0.0058,3909,1495,133,55,True,,,,,,,,,HQ Euro Hashish 0.5 g
2,28-05-2020 05:41:17,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,14,нет,Тбилиси,0.5 гр,0.003,2061,788,70,29,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,28-05-2020 05:41:17,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 0.5,,1,нет,Тбилиси,0.5 гр,0.0032,2132,815,72,30,,True,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
4,28-05-2020 05:41:17,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,3,нет,Тбилиси,1 гр,0.0247,16700,6387,566,235,,True,,,,,,,,Cocaine Pure VHQ 1g
5,28-05-2020 05:41:17,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.086,63957,24462,2168,900,,True,,,,,,,,Metadon 1gr
6,28-05-2020 05:41:17,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0254,16984,6496,576,239,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
7,28-05-2020 05:41:17,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,,17,нет,Тбилиси,2 гр,0.0092,6254,2392,212,88,,True,,,,,,,,2gr HYBRID buds
8,28-05-2020 05:41:17,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,,5,нет,Тбилиси,2 гр,0.0074,4974,1903,169,70,,True,,,,,,,,2x Extasy Duracell 223mg MDMA.
9,28-05-2020 05:41:17,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,,3,нет,Тбилиси,2 гр,0.0499,34110,13046,1156,480,,True,,,,,,,,VHQ BEST Cocaine 2g.
10,28-05-2020 05:41:17,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0089,6040,2310,205,85,True,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
11,28-05-2020 05:41:17,Tbilisi,3TGJ9,Elegant,3g. марихуана шишки Critical,,3,нет,Тбилиси,3 гр,0.0143,10660,4077,361,150,,True,,,,,,,,3g. marihuana shishki Critical
12,28-05-2020 05:41:17,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,,1,нет,Тбилиси,3 гр,0.0111,7462,2854,253,105,,True,,,,,,,,3x Extasy Duracell 223mg MDMA
13,28-05-2020 05:41:17,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!,,2,нет,Тбилиси,3 гр,0.034,23451,8969,795,330,,,True,,,,,,,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!
14,28-05-2020 05:41:17,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 4 шт. вес таблетки 450mg,,3,нет,Тбилиси,4 гр,0.0112,7604,2908,258,107,,True,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
15,28-05-2020 05:41:17,Tbilisi,EIH4,San4oPan4o,!!Critical Kush 5g!!,True,2,нет,Тбилиси,5 гр,0.0251,16984,6496,576,239,,,,,,,,,,!!Critical Kush 5g!!
16,28-05-2020 05:41:17,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,True,5,нет,Тбилиси,5 гр,0.0146,9878,3778,335,139,,,,,,,,,,5 gr georgian weed. Package on magnet
17,28-05-2020 05:41:17,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,5 гр,0.0186,12436,4757,422,175,,True,,,,,,,,5x Extasy Duracell 223mg MDMA.
18,28-05-2020 05:41:17,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - INDICA - 5 G.,,2,нет,Тбилиси,5 гр,0.0265,17766,6795,602,250,,True,,,,,,,,MARIXYANA - INDICA - 5 G.
19,28-05-2020 05:41:17,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,,2,нет,Тбилиси,5 гр,0.1172,81723,31257,2770,1150,,True,,,,,,,,VHQ BEST Cocaine 5g.
20,28-05-2020 05:41:17,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,,1,нет,Тбилиси,10 гр,0.0142,9594,3669,325,135,,True,,,,,,,,10G Hybrid Marijuana Leafs
21,28-05-2020 05:41:17,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,,1,нет,Тбилиси,10 гр,0.0459,31979,12231,1084,450,,True,,,,,,,,Gashish Evro 10gr
22,28-05-2020 05:41:17,Tbilisi,HWUW,opiopi,GABAGAMA 20 SHTUK,,8,нет,Тбилиси,20 гр,0.0034,2558,978,87,36,,True,,,,,,,,GABAGAMA 20 SHTUK
23,28-05-2020 05:41:17,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0784,55216,21119,1872,777,,True,,,,,,,,Gashish Evro 20gr
24,28-05-2020 05:41:17,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,,2,нет,Тбилиси,50 гр,0.0076,5685,2174,193,80,,True,,,,,,,,GABAGAMA 50 SHTUK
25,28-05-2020 05:41:17,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1911,142127,54360,4818,2000,,True,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
26,28-05-2020 05:41:17,Tbilisi,HWUW,opiopi,GABAGAMA 150 shtuk,,1,нет,Тбилиси,150 гр,0.0177,13147,5028,446,185,,True,,,,,,,,GABAGAMA 150 shtuk
27,28-05-2020 05:41:17,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,нет,5,Тбилиси,2 гр,0.0223,14923,5708,506,210,,True,,,,,,,,✨✨2gram. MDMA✨✨
28,28-05-2020 05:41:17,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,7,Тбилиси,2 гр,0.0392,26222,10029,889,369,,True,,,,,,,,❄❄2g HQ COCAINE❄❄
29,28-05-2020 05:41:17,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0615,41146,15737,1395,579,,True,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
30,28-05-2020 05:41:17,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.042,28425,10872,964,400,,True,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
31,28-05-2020 05:41:17,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0147,9949,3805,337,140,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
32,28-05-2020 05:41:17,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.0736,49744,19026,1686,700,,True,,,,,,,,"""Kief"" Weed trichomes 5G"
