,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Varketili,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Центр,Батуми,desc_en
23,02-08-2020 22:56:47,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0051,4259,1616,141,58,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
24,02-08-2020 22:56:47,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 1G,True,2,нет,Тбилиси,1 гр,0.0044,3671,1393,122,50,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
25,02-08-2020 22:56:47,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,2 гр,0.0105,8811,3343,293,120,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
26,02-08-2020 22:56:47,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0105,8811,3343,293,120,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
27,02-08-2020 22:56:47,Tbilisi,X4ZM,ZYX,Maserati (ecstasy) 2шт,True,6,нет,Тбилиси,2 гр,0.0087,7343,2786,244,100,,,,,,,,,,,Maserati (ecstasy) 2sht
28,02-08-2020 22:56:47,Tbilisi,03F3,geoshop,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,True,11,нет,Тбилиси,2.2 гр,0.0218,18357,6965,609,250,,,,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
29,02-08-2020 22:56:47,Tbilisi,LGRP8,Walker12,!!! NEW !!! 3G Jack Herer(VHQ 24%THC) Special Offer !! New Staff!! Special Price!,,1,нет,Тбилиси,3 гр,0.0114,9545,3622,317,130,True,,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC) Special Offer !! New Staff!! Special Price!
30,02-08-2020 22:56:47,Tbilisi,LD5U,Marshydroo,3 gram + skunk auto шишки,,1,нет,Тбилиси,3 гр,0.0113,9913,3761,329,135,,,,True,,,,,,,3 gram + skunk auto shishki
31,02-08-2020 22:56:47,Tbilisi,LD5U,Marshydroo,Lsd-25 шишки 3gram,True,2,нет,Тбилиси,3 гр,0.0122,10647,4040,353,145,,,,,,,,,,,Lsd-25 shishki 3gram
32,02-08-2020 22:56:47,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm,True,3,нет,Тбилиси,3 гр,0.0071,6608,2507,219,90,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
