,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Varketili,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Дигоми,Vazisubani,Nadzaladevi,Tbilisis Zgva,€,Батуми,Центр,Кутаиси,desc_en
23,23,24-04-2020 05:20:39,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0501,30052,10900,987,400.0,,,,,,,,,,,,,,,,gashish evro 10g
24,24,24-04-2020 05:20:39,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0974,58375,21173,1918,777.0,,,,,,,,,,,,,,,,Gashish Evro 20gr
25,25,24-04-2020 05:20:39,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2374,150258,54500,4937,2000.0,,,,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
26,26,24-04-2020 05:20:39,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,9,Тбилиси,2 гр,0.0487,27723,10055,911,369.0,,,,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
27,27,24-04-2020 05:20:39,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0778,44326,16078,1457,590.0,,,,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
28,28,24-04-2020 05:20:39,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 4 штуки!",True,нет,39,Тбилиси,4 гр,0.0071,4463,1623,147,,True,True,True,True,True,True,True,True,True,True,True,55.0,,,,"""JoKer Express"" - Marki n boom 4 shtuki!"
29,29,24-04-2020 05:20:39,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0522,30052,10900,987,400.0,,,,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
30,30,24-04-2020 05:20:39,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0718,41321,14988,1358,550.0,,,,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
31,31,24-04-2020 05:20:39,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0222,12772,4633,420,170.0,,,,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
32,32,24-04-2020 05:20:39,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.026000000000000002,14951,5423,491,199.0,,,,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
33,33,24-04-2020 05:21:19,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.026000000000000002,14951,5423,491,199.0,,,,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
34,34,24-04-2020 05:21:19,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.026000000000000002,16453,5968,541,219.0,,,,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
35,35,24-04-2020 05:21:19,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.026000000000000002,14951,5423,491,199.0,,,,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
36,36,24-04-2020 05:21:19,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3002,190000,87429,6241,,,,,,,,,,,,,,,,,reagent 25i nbome. 5gr
37,37,24-04-2020 05:21:19,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3562,225387,81750,7406,3000.0,,,,,,True,True,,,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
