,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,desc_en
19,07-07-2020 07:18:17,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,,2,нет,Тбилиси,2 гр,0.0637,42805,16320,1460,,True,600,,,,,,,,,,VHQ BEST Cocaine 2g.
20,07-07-2020 07:18:17,Tbilisi,8B31,GEOWEEDSHOP,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,14,нет,Тбилиси,3 гр,0.0059,3924,1496,134,,True,55,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
21,07-07-2020 07:18:17,Tbilisi,8B31,GEOWEEDSHOP,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,26,нет,Тбилиси,5 гр,0.0074,4923,1877,168,,True,69,,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
22,07-07-2020 07:18:17,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",True,2,нет,Тбилиси,5 гр,0.0232,17122,6528,584,,,240,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
23,07-07-2020 07:18:17,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,,3,нет,Тбилиси,5 гр,0.1433,96239,36693,3282,,True,1349,,,,,,,,,,VHQ BEST Cocaine 5g.
24,07-07-2020 07:18:17,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,1,нет,Тбилиси,5 гр,0.0266,17835,6800,608,,,250,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
25,07-07-2020 07:18:17,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,,1,нет,Тбилиси,10 гр,0.0254,17050,6501,582,,True,239,,,,,,,,,,10 gr georgian weed. Package on magnet
26,07-07-2020 07:18:17,Tbilisi,8B31,GEOWEEDSHOP,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,6,нет,Тбилиси,10 гр,0.0138,9203,3509,314,,True,129,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
27,07-07-2020 07:18:17,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0464,32103,12240,1095,,True,450,,,,,,,,,,Gashish Evro 10gr
28,07-07-2020 07:18:17,Tbilisi,2LY77,SveetWeed,11+ GRAMM BEASTWEED NEW,,3,нет,Тбилиси,11 гр,0.0174,12841,4896,438,,True,180,,,,,,,,,,11+ GRAMM BEASTWEED NEW
29,07-07-2020 07:18:17,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0483,35670,13600,1217,,True,500,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
30,07-07-2020 07:18:17,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0069,4637,1768,158,,True,65,,,,,,,,,,Silver haze leaves list'ja 15gr sale
