,time_stamp,region,sell_code,sell_name,description,Батуми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Центр,Кутаиси,desc_en
0,10-03-2020 16:19:16,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,True,20,нет,Батуми,1 гр,0.0217,14404,5196,470,200,,,NZT-52 limited 1 g muka
1,10-03-2020 16:19:16,Batumi,CL7K,go420times,ORANGE PUNCH [1g],True,3,нет,Батуми,1 гр,0.0072,4321,1559,141,60,,,ORANGE PUNCH [1g]
2,10-03-2020 16:19:16,Batumi,XHR,420Factory,Power Africa 1g,True,2,нет,Батуми,1 гр,0.0054,3601,1299,118,50,,,Power Africa 1g
3,10-03-2020 16:19:16,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,True,12,нет,Батуми,2 гр,0.0391,25927,9353,847,360,,,NZT-52 limited 2g muka
4,10-03-2020 16:19:16,Batumi,Z9UT,Rainbow,Super Critical HIGHEST QUALITY 2G,,1,нет,Батуми,2 гр,0.012,7202,2598,235,100,True,,Super Critical HIGHEST QUALITY 2G
5,10-03-2020 16:19:16,Batumi,Z9UT,Rainbow,Super Critical HIGHEST QUALITY 5G,,2,нет,Батуми,5 гр,0.0299,18005,6495,588,250,True,,Super Critical HIGHEST QUALITY 5G
6,10-03-2020 16:19:16,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,True,1,нет,Батуми,50 гр,0.1794,108031,38970,3528,1500,,,Skunk! 50 gr.
7,10-03-2020 16:19:16,Batumi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - BATUMI - 0.27 G,True,нет,4,Батуми,0.27 гр,0.0326,19446,7015,635,270,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.27 G
8,10-03-2020 16:19:16,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,16,Батуми,5 гр,0.0217,14404,5196,470,200,,,Metamfetamin ratsemat 5 g. (MQ)
9,10-03-2020 16:19:16,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,2,Батуми,100 гр,0.2416,144042,51960,4704,2000,,,SUBOXIN - HQ - 100 G.
10,10-03-2020 16:19:16,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,3,Батуми,150 гр,0.1812,108031,38970,3528,1500,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
11,10-03-2020 16:19:16,Batumi,42AF,Leningrad6,курьер в Батуми,True,1,нет,Батуми,1 гр,0.0054,3601,1299,118,50,,,kur'er v Batumi
12,10-03-2020 16:19:16,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,True,1,нет,Батуми,5 гр,0.0272,18005,6495,588,250,,,Rabota kladmenom. Tol'ko shishki.
13,10-03-2020 16:19:16,Batumi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Батуми,10 гр,0.0163,10803,3897,353,150,,,Rabota na marki (kur'er)
14,10-03-2020 16:19:16,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,True,1,нет,Батуми,50 гр,0.0272,18005,6495,588,250,,,Ischu kur'era v Gruzii!
15,10-03-2020 16:19:16,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Батуми,400 гр,1.8105,1080312,389700,35277,15000,,,Vakansija optovogo kur'era na mef
16,10-03-2020 16:19:16,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",True,нет,2,Батуми,1000 гр,0.0598,36010,12990,1176,500,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
17,10-03-2020 16:20:25,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0163,10803,3897,353,150,,True,Rabota na marki (kur'er)
