,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Varketili,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
33,17-04-2020 14:18:28,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,True,5,нет,Тбилиси,10 гр,0.0147,8128,2968,267,,,,100,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
34,17-04-2020 14:18:28,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,10 гр,0.0105,6351,2325,209,85,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
35,17-04-2020 14:19:07,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0519,29885,10940,983,400,,,,,,,,,,,,gashish evro 10g
36,17-04-2020 14:19:07,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1008,58051,21251,1910,777,,,,,,,,,,,,Gashish Evro 20gr
37,17-04-2020 14:19:07,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2457,149424,54700,4917,2000,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
38,17-04-2020 14:19:07,Tbilisi,U26MW,Skyhigh,"ЧИСТЫЙ ГЕРОИН 999 КАМНИ 0,1",,нет,3,Тбилиси,0.1 гр,0.015,8293,3036,273,111,True,,,,,,,,,,,"ChISTYJ GEROIN 999 KAMNI 0,1"
39,17-04-2020 14:19:07,Tbilisi,U26MW,Skyhigh,"NEW NEW VHQ Cocaine Medelins Cartel 0,2g SALE SALE",True,нет,5,Тбилиси,0.2 гр,0.0051,2839,1039,93,38,,,,,,,,,,,,"NEW NEW VHQ Cocaine Medelins Cartel 0,2g SALE SALE"
40,17-04-2020 14:19:07,Tbilisi,U26MW,Skyhigh,NEW MDMA 0.25 G MELKIE KRISTALI,,нет,3,Тбилиси,0.25 гр,0.0047,2615,957,86,35,True,,,,,,,,,,,NEW MDMA 0.25 G MELKIE KRISTALI
41,17-04-2020 14:19:07,Tbilisi,U26MW,Skyhigh,VHQ KETAMINE 0.25G,,нет,2,Тбилиси,0.25 гр,0.0077,4259,1559,140,57,True,,,,,,,,,,,VHQ KETAMINE 0.25G
42,17-04-2020 14:19:07,Tbilisi,U26MW,Skyhigh,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,2,Тбилиси,1 гр,0.0057,3138,1149,103,42,True,,,,,,,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
43,17-04-2020 14:19:07,Tbilisi,U26MW,Skyhigh,ECSTASY BLUE GUCCI 1 PiECE 240 MG NEW SALE SALE,,нет,3,Тбилиси,1 гр,0.0053,2914,1067,96,39,True,,,,,,,,,,,ECSTASY BLUE GUCCI 1 PiECE 240 MG NEW SALE SALE
44,17-04-2020 14:19:07,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0504,27569,10092,907,369,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
45,17-04-2020 14:19:07,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0805,44080,16137,1451,590,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
46,17-04-2020 14:19:07,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0541,29885,10940,983,400,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
47,17-04-2020 14:19:07,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.0216,11954,4376,393,160,,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
48,17-04-2020 14:19:07,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0743,41092,15043,1352,550,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
49,17-04-2020 14:19:07,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.023,12701,4650,418,170,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
50,17-04-2020 14:19:07,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0269,14868,5443,489,199,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
51,17-04-2020 14:19:07,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0269,14868,5443,489,199,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
52,17-04-2020 14:19:07,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0269,16362,5990,538,219,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
53,17-04-2020 14:19:07,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0269,14868,5443,489,199,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
54,17-04-2020 14:19:07,Tbilisi,A3I9,Joookerrr,МДМА 5 гр!!!,True,нет,2,Тбилиси,5 гр,0.0515,28448,10388,936,,,,350,,,,,,,,,MDMA 5 gr!!!
55,17-04-2020 14:19:07,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3125,190000,87429,6255,,,,,,,,,,,,,reagent 25i nbome. 5gr
56,17-04-2020 14:19:07,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3686,224136,82050,7376,3000,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
57,17-04-2020 14:19:07,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.1186,64925,23767,2137,869,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
58,17-04-2020 14:19:07,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0258,14121,5169,465,189,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
59,17-04-2020 14:19:07,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0259,14195,5197,467,190,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
60,17-04-2020 14:19:07,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0668,36534,13374,1202,489,,,,,,,,,,,,💘✨5g. MDMA ✨💘
61,17-04-2020 14:19:07,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0258,14121,5169,465,189,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
62,17-04-2020 14:19:07,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1216,67241,24615,2213,900,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
63,17-04-2020 14:19:07,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0946,52298,19145,1721,700,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
64,17-04-2020 14:19:07,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0433,23908,8752,787,320,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
65,17-04-2020 14:19:07,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1081,59770,21880,1967,800,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
66,17-04-2020 14:19:07,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3007,166234,60854,5471,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
67,17-04-2020 14:19:07,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1978,108258,39630,3563,1449,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
68,17-04-2020 14:19:59,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1981,108258,39630,3563,1449,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
69,17-04-2020 14:19:59,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0505,27569,10092,907,369,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
70,17-04-2020 14:19:59,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0409,22339,8178,735,299,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
71,17-04-2020 14:19:59,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,1,1,Тбилиси,20 гр,0.0548,30258,11077,996,405,,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
72,17-04-2020 14:19:59,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0819,44752,16383,1473,599,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
73,17-04-2020 14:19:59,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1489,82183,30085,2705,1100,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
74,17-04-2020 14:19:59,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3249,179309,65640,5901,2400,,,,,,,,,,,,100 gr marijuana buds
75,17-04-2020 14:19:59,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2708,149424,54700,4917,2000,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
76,17-04-2020 14:19:59,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2735,149424,54700,4917,2000,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
77,17-04-2020 14:19:59,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3385,186780,68375,6147,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
78,17-04-2020 14:19:59,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.7988,440800,161365,14506,5900,,,,,,,,,,,,180 gr marihuana persoalno
79,17-04-2020 14:19:59,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4265,235342,86153,7745,3150,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
80,17-04-2020 14:19:59,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6228,343675,125810,11310,4600,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
81,17-04-2020 14:19:59,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0154,560339,205125,18440,7500,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
82,17-04-2020 14:19:59,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1508,635051,232475,20899,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
83,17-04-2020 14:19:59,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0246,14942,5470,492,200,,,,,,,,,,,,KURYER..500RUB.+BONUS
84,17-04-2020 14:19:59,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0271,14942,5470,492,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
85,17-04-2020 14:19:59,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0338,18678,6838,615,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
86,17-04-2020 14:19:59,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0493,1120679,410250,36881,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
87,17-04-2020 14:21:47,Batumi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,,5,нет,Батуми,1 гр,0.0026,1463,534,48,,,,18,,,,,,True,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
88,17-04-2020 14:21:47,Batumi,Z9UT,Rainbow,Super Critical HIGHEST QUALITY 5G,,2,нет,Батуми,5 гр,0.0405,22414,8205,738,300,,,,,,,,,True,,,Super Critical HIGHEST QUALITY 5G
89,17-04-2020 14:21:47,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2973,164366,60170,5409,2200,,,,,,,,,,True,,[100g] SPAIN HASH
90,17-04-2020 14:21:47,Batumi,F1CR,PvPalpha,Ск синий крис очень сильный 3гр,,нет,3,Батуми,3 гр,0.0405,24655,9026,811,330,,,,,,,,,True,,,Sk sinij kris ochen' sil'nyj 3gr
91,17-04-2020 14:21:47,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.273,149424,54700,4917,2000,,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
92,17-04-2020 14:21:47,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0123,7471,2735,246,100,,,,,,,,,,True,,kur'er v Batumi
93,17-04-2020 14:21:47,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0307,18678,6838,615,250,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
94,17-04-2020 14:21:47,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0307,18678,6838,615,250,,,,,,,,,,True,,Ischu kur'era v Gruzii!
95,17-04-2020 14:21:47,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0453,1120679,410250,36881,15000,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
96,17-04-2020 14:21:47,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0676,37356,13675,1229,500,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
97,17-04-2020 14:23:17,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0194,10833,3966,357,145,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
98,17-04-2020 14:23:17,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,2 гр,0.0488,27270,9983,897,365,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
99,17-04-2020 14:23:17,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.0368,20546,7521,676,275,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
