,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,08-02-2020 04:23:02,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,11,нет,Тбилиси,0.25 гр,0.0163,11425,4446,392,180.0,,,,,,,,,Metadon VHQ 0.25 24/7
1,1,08-02-2020 04:23:02,Tbilisi,32e645c201,"methadone 0,29 gr",,8,нет,Тбилиси,0.29 гр,0.0209,13329,5187,457,210.0,True,,,,,,,,"methadone 0,29 gr"
2,2,08-02-2020 04:23:02,Tbilisi,61df6a1c90,Метадон 0.30гр,True,6,нет,Тбилиси,0.3 гр,0.0162,12060,4693,413,190.0,,,,,,,,,Metadon 0.30gr
3,3,08-02-2020 04:23:02,Tbilisi,8a650ecf5f,"A PVP 0,33 VHQ",True,2,нет,Тбилиси,0.33 гр,0.0057,3808,1482,131,60.0,,,,,,,,,"A PVP 0,33 VHQ"
4,4,08-02-2020 04:23:02,Tbilisi,da96c34455,ALFA PVP in City 0.5g,True,4,нет,Тбилиси,0.5 гр,0.008,5078,1976,174,80.0,,,,,,,,,ALFA PVP in City 0.5g
5,5,08-02-2020 04:23:02,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,2,нет,Тбилиси,0.5 гр,0.011000000000000001,6982,2717,239,110.0,,,,,,,,,"Cocaine, 0.5 g"
6,6,08-02-2020 04:23:02,Tbilisi,be97026d1d,Columbia Cocaine VHQ 0.5 BTC SALE 5%,True,1,нет,Тбилиси,0.5 гр,0.0102,6665,2594,229,105.0,,,,,,,,,Columbia Cocaine VHQ 0.5 BTC SALE 5%
7,7,08-02-2020 04:23:02,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,12,нет,Тбилиси,0.5 гр,0.006,3808,1482,131,60.0,,,,,,,,,Ketamine 0.5g
8,8,08-02-2020 04:23:02,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0099,6918,2692,237,109.0,,,,,,,,,Pure COCAINE VHQ 0.5g
9,9,08-02-2020 04:23:02,Tbilisi,61df6a1c90,Метадон 0.6гр,True,3,нет,Тбилиси,0.6 гр,0.027999999999999997,19676,7657,675,310.0,,,,,,,,,Metadon 0.6gr
10,10,08-02-2020 04:23:02,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,12,нет,Тбилиси,0.8 гр,0.0119,7617,2964,261,120.0,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
11,11,08-02-2020 04:23:02,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,7,нет,Тбилиси,1 гр,0.0119,7617,2964,261,120.0,,,,,,,,,Apvp VHQ 1g 24/7
12,12,08-02-2020 04:23:02,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,2,нет,Тбилиси,1 гр,0.0221,13964,5434,479,220.0,,,,,,,,,"Cocaine, 1g"
13,13,08-02-2020 04:23:02,Tbilisi,8219f5e7b8,Ketamine 1g,True,13,нет,Тбилиси,1 гр,0.01,6347,2470,218,100.0,,,,,,,,,Ketamine 1g
14,14,08-02-2020 04:23:02,Tbilisi,be97026d1d,MDMA from Europe!!! 1.0g BTC SALE 5%,True,1,нет,Тбилиси,1 гр,0.0093,6030,2347,207,95.0,,,,,,,,,MDMA from Europe!!! 1.0g BTC SALE 5%
15,15,08-02-2020 04:23:02,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,1,нет,Тбилиси,1 гр,0.0452,31736,12350,1088,500.0,,,,,,,,,Metadon VHQ 1 24/7
