,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Nadzaladevi,€,Батуми,Центр,desc_en
10,10,16-06-2020 13:46:24,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,,2,нет,Тбилиси,5 гр,0.0181,12319,4708,418,175.0,,,,,,5x Extasy Duracell 223mg MDMA.
11,11,16-06-2020 13:46:24,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (КЛАДИ НА МАГНИТАХ),True,,19,нет,Тбилиси,5 гр,0.0101,6969,2663,236,99.0,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (KLADI NA MAGNITAH)
12,12,16-06-2020 13:46:24,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,True,,3,нет,Тбилиси,10 гр,0.0014,986,377,33,14.0,,,,,,GABAGAMA 10 shtuk
13,13,16-06-2020 13:46:24,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),True,,3,нет,Тбилиси,10 гр,0.0204,14009,5353,475,199.0,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
14,14,16-06-2020 13:46:24,Tbilisi,e56bb6ca93,"Отходы, листья и шишки. 🍃 Leafs and Buds (Good for making bubble hash)",True,,1,нет,Тбилиси,10 гр,0.0097,6617,2529,224,94.0,,,,,,"Othody, list'ja i shishki. 🍃 Leafs and Buds (Good for making bubble hash)"
15,15,16-06-2020 13:46:24,Tbilisi,83f3d55917,Химка !! 10 г %%5%% скидка новинка !!!!,,,2,нет,Тбилиси,10 гр,0.0064,4576,1749,155,65.0,,True,,,,Himka !! 10 g %%5%% skidka novinka !!!!
16,16,16-06-2020 13:46:24,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,,7,нет,Тбилиси,10 гр,0.0088,6688,2556,227,95.0,,,,,,"marki 25i-nbome 2,5mg (10sht)"
17,17,16-06-2020 13:46:24,Tbilisi,7bd1a5deba,11 - GRAMM BEASTWEED,True,,1,нет,Тбилиси,11 гр,0.0186,14079,5380,477,200.0,,,,,,11 - GRAMM BEASTWEED
18,18,16-06-2020 13:46:24,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,,1,нет,Тбилиси,12 гр,0.0465,35198,13450,1193,500.0,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
19,19,16-06-2020 13:46:24,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,,1,нет,Тбилиси,60 гр,0.2066,140790,53800,4773,2000.0,,,,,,Metamferamin ratsemat 60 g (mini-opt)
20,20,16-06-2020 13:46:24,Tbilisi,54915c4374,Сирец (геройн) очень сильный 1 гр (предзаказ на 10% дешевле!!!),True,,нет,20,Тбилиси,1 гр,0.0358,24638,9415,835,350.0,,,,,,Sirets (gerojn) ochen' sil'nyj 1 gr (predzakaz na 10% deshevle!!!)
21,21,16-06-2020 13:46:24,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,,нет,7,Тбилиси,2 гр,0.0382,25976,9926,881,369.0,,,,,,❄❄2g HQ COCAINE❄❄
22,22,16-06-2020 13:46:24,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,,нет,5,Тбилиси,3 гр,0.0599,40759,15575,1382,579.0,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
23,23,16-06-2020 13:46:24,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,,нет,7,Тбилиси,4 гр,0.0409,28158,10760,955,400.0,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
24,24,16-06-2020 13:46:24,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,,нет,5,Тбилиси,5 гр,0.0563,38717,14795,1313,550.0,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
25,25,16-06-2020 13:46:24,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,,нет,6,Тбилиси,5 гр,0.0241,16543,6322,561,235.0,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
26,26,16-06-2020 13:46:24,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,,нет,5,Тбилиси,5 гр,0.0246,16895,6456,573,240.0,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
27,27,16-06-2020 13:46:24,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,,нет,6,Тбилиси,5 гр,0.0235,16191,6187,549,230.0,,,,,,5 gr top buds white widow wishki THC 25% VHQ
28,28,16-06-2020 13:46:24,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,,нет,4,Тбилиси,5 гр,0.0246,16895,6456,573,240.0,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
29,29,16-06-2020 13:46:24,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,,нет,7,Тбилиси,5 гр,0.0246,16895,6456,573,240.0,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
